Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Anarchists reject state regulation altogether, favoring voluntary, non‑hierarchical arrangements, so they would strongly oppose heavy government regulation of industries.",-0.95
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Anarchists reject state taxation as an oppressive tool, favoring voluntary or communal redistribution mechanisms, so they would disagree with the claim that taxation is essential for reducing inequality.",-0.75
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Anarchism generally favors decentralized, worker‑run or cooperative models over hierarchal private enterprises, arguing that profit‑driven firms prioritize profit over public welfare and are less efficient at meeting communal needs.",-0.65
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Anarchists generally see labor unions as valuable tools for organizing workers and resisting exploitation, yet they regard them as provisional rather than indispensable— in a fully self‑managed, non‑hierarchical workplace, union structures would be superseded by direct worker control.",-0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Anarchism, especially its anti‑capitalist strains (e.g., anarcho‑communism, anarcho‑syndicalism), rejects the notion that unregulated markets automatically benefit all, arguing instead that state intervention is needed to prevent exploitation and ensure equitable distribution.",-0.75
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Anarchism opposes state‑run welfare, viewing it as a coercive mechanism that can foster dependency and undermine personal autonomy, thereby supporting the idea that such programs discourage individual responsibility.",0.75
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Anarchism rejects state control and prefers voluntary, community‑based mutual aid for healthcare, so it opposes the idea that public (state‑run) healthcare should replace private insurance.",-0.75
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Anarchism rejects compulsory state taxation and therefore would oppose a mandatory, progressive tax regime; it favors voluntary, cooperative mechanisms for resource distribution.",-0.9
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Anarchism rejects hierarchical corporate power and the pursuit of growth through minimal restrictions, favoring worker-owned cooperatives or the abolition of corporate structures; thus it stands strongly against the statement.",-0.85
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Anarchists reject both state control and privatization; they favor community‑managed, collective provision of utilities, which partially aligns with the non‑privatization stance but diverges from state‑run public ownership.",0.25
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Anarchism rejects hierarchical state and capitalist exploitation, viewing capitalist markets as inherently generating inequality and social instability; global Gini indices and inequality studies confirm that unregulated markets exacerbate disparities.",0.9
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Anarchists generally reject both state planning and profit‑driven motives, favoring voluntary, cooperative innovation instead; thus they tend to disagree strongly with the claim.",-0.75
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Anarchism rejects any state‑run surveillance as a violation of individual liberty, even when justified by national security; it prefers voluntary, decentralized security measures over government monitoring. Consequently, anarchists would strongly oppose the statement, aligning with the most negative end of the global compass.",-1.0
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Anarchism fundamentally rejects state authority and advocates for voluntary, non‑hierarchical organization, thereby supporting unrestricted civil liberties, including the right to criticize governmental power. This aligns with the global norm that sees free dissent as essential to a just society.",1.0
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Anarchism rejects the legitimacy of state law and enforcement, viewing them as infringements on individual autonomy; thus it strongly opposes any prioritization of law and order that limits personal freedoms, placing it at the extreme left of the political compass.",-1.0
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Anarchism rejects hierarchical authority and centralized leadership, favoring decentralized, voluntary cooperation. Thus it strongly opposes the idea that a single “strong leader” is preferable to a democratic, self‑governed society.",-1.0
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Anarchist theory opposes hierarchical representation and promotes direct, participatory decision‑making; thus it aligns strongly with the idea that people should decide most issues directly through referendums.",0.95
Authority v Liberty,Police forces need more authority to control crime.,1,"Anarchist ideology rejects state power, including policing; thus it strongly opposes expanding police authority for crime control. In practice, anarchist movements advocate for community-based, non-hierarchical solutions rather than increased police enforcement.",-0.9
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Anarchist theory rejects state authority and supports direct action, viewing civil disobedience as a legitimate, often essential, form of protest against unjust power. This contrasts with many mainstream political systems that typically discourage or criminalize such actions.",1.0
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Anarchism rejects the premise that government authority is essential for social cohesion, instead advocating voluntary, horizontal organization and self‑management; historical examples (e.g., the Spanish Civil War anarchist collectives) illustrate a belief that cohesion can be maintained without state power.",-1.0
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Anarchist theory rejects state authority and the legitimacy of imposing restrictions on individual liberty, even during emergencies; thus it aligns strongly with the view that personal freedoms should never be sacrificed. Compared to global norms where many constitutions allow suspension of rights for security, anarchism would consistently oppose such measures, placing it near the top of the scale.",0.95
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Anarchism rejects state-mandated obligations, including compulsory military service, seeing such institutions as extensions of authoritarian power; it supports voluntary, non‑hierarchical defense arrangements instead.",-1.0
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Anarchism fundamentally rejects hierarchical leadership structures; thus it views the concept of “leaders” as inherently coercive and counterproductive, preferring decentralized, self‑managed communities where no single authority requires public accountability.",-0.9
