Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Communists contend that only state control and central planning can eliminate capitalist exploitation, so they advocate for comprehensive regulation of all industries.",0.95
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Communist ideology advocates the abolition of private property and the equalization of wealth through state control and redistribution, viewing taxation as a primary mechanism for this purpose. Global examples of former and current communist states implemented progressive, often high, taxes to fund universal services and redistribute income, aligning strongly with the statement.",0.9
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Communism generally rejects the efficiency of private enterprises, favoring state ownership and central planning; it sees government programs as the primary mechanism for resource allocation. Compared to global norms that view private firms as drivers of efficiency, communism consistently disagrees.",-1.0
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Communism views collective worker organization—whether in the form of unions, workers' councils, or state‑controlled labor bodies—as essential for safeguarding workers’ rights, making it a cornerstone of its socio‑economic doctrine.",1.0
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Communist ideology rejects unregulated free markets, advocating state ownership and central planning, so it strongly disagrees with the statement.",-1.0
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Communist doctrine regards universal state-provided welfare as essential for eliminating class inequality and empowering citizens, rejecting the claim that such programs dampen individual responsibility—a view that diverges sharply from many market‑oriented societies.",-1.0
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Communism traditionally advocates for state ownership of essential services, making public healthcare the default model; thus it would fully support replacing private insurance with government-run health provision.",1.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Communist ideology fundamentally supports progressive taxation and wealth redistribution, viewing taxes on the affluent as essential to dismantle class distinctions; historically, communist states have imposed high taxes on capital and profits, or eliminated private wealth altogether. Compared to global norms where such policies are relatively rare, communism would strongly endorse the statement.",0.75
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Communism advocates state ownership and centralized control of the means of production, rejecting private corporate autonomy; therefore it strongly opposes minimal restrictions on corporations.",-1.0
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Communist ideology fundamentally endorses state ownership of essential services, viewing them as public goods to be managed by the government rather than private entities; this stance aligns with the universal political compass's definition of fully public services.",1.0
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Communism views capitalism as a system that inherently produces social inequality and economic instability, so it would strongly affirm the statement.",1.0
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Communist ideology rejects profit-driven mechanisms, favoring state-controlled planning to direct innovation for collective benefit, contrasting with global capitalist norms that link profit to innovation.",-0.9
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Communist states historically endorse extensive state surveillance as a tool to safeguard national security, reflecting an authoritarian prioritization of collective security over individual privacy.",0.9
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Communism, as practiced in most states, has historically restricted dissent and imposed censorship on criticism of the ruling party or government. Consequently, it generally opposes unrestricted freedom of speech.",-0.75
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Communist ideology historically places state authority and collective order above individual liberties, as demonstrated by the legal frameworks and human‑rights records of the USSR, China, and North Korea, indicating strong support for prioritizing law and order even at the cost of some freedoms.",0.85
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Communist ideology typically supports a vanguard-led, centralized authority to implement socialism, viewing liberal democracy as fragmented and inefficient; historically, communist states have favored strong leaders over pluralistic democratic systems.",0.6
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Communist ideology emphasizes a vanguard party and centralized decision‑making, with limited use of direct referendums in practice; thus it aligns weakly with the idea that most issues should be decided directly by the people.",-0.35
Authority v Liberty,Police forces need more authority to control crime.,1,"Communist states traditionally grant extensive police powers to enforce state ideology and maintain public order, aligning with the view that increased authority is necessary for crime control.",0.8
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Communist theory often frames civil disobedience as a legitimate means to challenge class oppression, but many Marxist‑Leninist regimes have historically criminalized such acts, resulting in a mixed global stance.",0.33
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Communism historically supports strong centralized authority to guide economic and social life, viewing it as essential for achieving equality and cohesion. Across contemporary communist states and parties, state control remains a core principle, aligning closely with the belief that government authority is necessary for social cohesion.",0.9
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Communist states historically suspend individual rights during crises to prioritize collective goals, contradicting the idea that personal freedoms must never be sacrificed.",-0.75
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Communism historically endorses compulsory military service to secure national defense and mobilize the workforce for revolutionary purposes; most communist states (e.g., Soviet Union, China, Cuba, North Korea) have maintained conscription, placing the ideology on the pro‑service side of global norms.",0.75
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Communism historically places leaders in powerful, protected positions with limited public oversight; contemporary communist states maintain centralized control and rarely allow public accountability mechanisms, contrasting with global democratic norms.",-0.75
