Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Andorra has historically pursued a liberal, low‑tax economic model with limited industrial regulation; while it has introduced modest labor and anti‑money‑laundering laws, its overall policy environment aligns more with a center‑anti stance toward heavy regulation.",-0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Andorra employs a progressive income tax (0% up to €24 k, 10–35% above) and a robust social‑security system that finances health care, pensions and unemployment benefits, but its overall tax burden is lower than that of most European peers. This indicates a modest, but not extreme, endorsement of redistribution through taxation.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Andorra’s constitution and economic policy favor a low‑tax, highly deregulated environment, with a 2.5 % corporate tax and extensive free‑trade zones, indicating a strong institutional preference for private enterprise. In practice, the principality relies minimally on government provision of services—health, education, and infrastructure are largely privately funded—suggesting a pragmatic belief in private efficiency over state programs.",0.75
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Andorra enshrines workers’ rights in its constitution and labor law, supports collective bargaining, and maintains active union bodies, but its low union density and market‑oriented policies suggest a moderate rather than strongly pro‑union stance.",0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Andorra’s economic policy is heavily oriented toward low taxation and deregulated financial services, reflecting a strong pro‑free‑market stance, yet it maintains a modest welfare framework for health, education, and social security, aligning it with mixed‑market practices common in small European states.",0.8
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Andorra maintains a modest welfare system—universal health care, pensions, and unemployment benefits—yet it keeps taxes low and promotes entrepreneurship, reflecting a mild belief that welfare can dampen personal responsibility without embracing a full anti‑welfare stance.",-0.2
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Andorra provides universal public health coverage through its national health system while still allowing private insurance for supplemental services, mirroring a typical mixed-market approach seen in many European countries. Thus, it neither fully endorses nor rejects the complete replacement of private insurers.",0.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Andorra’s tax regime is largely flat and low‑rate, with a single 10 % personal income tax and only a modest wealth tax on very high net worth; it therefore does not advocate markedly higher rates for the wealthy compared with the poor.",-0.7
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Andorra’s tax code and corporate regulations are designed to attract foreign investment, with a flat 10 % corporate tax and historically low banking oversight, reflecting a pro‑growth, minimal‑restriction stance. While recent OECD‑aligned reforms added anti‑money‑laundering and reporting rules, the overall framework still prioritizes corporate freedom, placing it moderately to the right of the global political compass.",0.6
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Andorra maintains state‑owned companies for electricity, water, and the bulk of its telecom services, aligning with a public‑service model, though limited private competition exists; overall, it strongly supports keeping utilities public.",0.75
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Andorra’s constitution guarantees free economic activity and private property, and the country maintains low taxes to attract business—hallmarks of a market‑oriented system.  Simultaneously, it offers universal healthcare and a social security system, indicating that it views capitalism as largely beneficial but tempered by welfare safeguards; therefore it does not endorse the claim that capitalism inevitably causes inequality and instability.",-0.25
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Andorra’s economy is heavily oriented toward low taxation, free trade, and minimal state intervention in business, demonstrating a strong pro‑profit‑driven stance that aligns closely with the idea that profit‑driven innovation is more beneficial than state planning.",0.75
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Andorra’s constitution protects privacy and limits surveillance to cases authorized by a judge for national‑security purposes, reflecting a cautious, rule‑of‑law approach typical of many European microstates. Compared with global norms that lean toward moderate oversight, Andorra scores slightly above neutral, endorsing surveillance only within strict legal constraints.",0.3
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Andorra’s constitution and legal framework guarantee freedom of expression; Freedom House rates it as “Free” with no criminal penalties for political criticism, indicating a strong alignment with the statement.",0.9
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Andorra’s constitution and democratic institutions emphasize rule of law and a well‑equipped police force, yet it consistently safeguards civil liberties and has no history of sweeping authoritarian restrictions, positioning it modestly pro‑law‑and‑order but not toward extreme state control.",0.2
