Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Austria’s social‑market economy enforces strong labor and consumer protections and extensive environmental regulations, reflecting a commitment to prevent exploitation, while still preserving significant market freedom—placing it moderately to the left of the center.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,Austria’s progressive income‑tax rates (up to 55 %) and extensive social‑security benefits place it firmly on the center‑pro side of the redistribution spectrum—more supportive than the neutral OECD average but less extreme than the Nordic “full‑redistribution” models.,0.55
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Austria’s social‑market economy supports a vibrant private sector while maintaining substantial public services; its reforms promote competition and efficiency in the public sector, yet it still runs many state‑owned enterprises. Compared with global norms, Austria slightly favors the idea that private businesses are more efficient, but the stance is not strongly pro‑private.",0.25
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Austria’s social‑partnership system gives labor unions a decisive role in collective bargaining, legislation, and social policy, with a union density around 50 % and strong legal protections for collective action. Compared to global norms, this reflects a firmly pro‑union stance, yielding a score of +0.70.",0.7
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Austria operates a social‑market economy that heavily regulates markets, provides extensive welfare programs, and maintains strong labor protections; thus it does not endorse the laissez‑faire idea that free markets alone benefit everyone. Compared to global norms, Austria leans moderately left‑wing, so its stance is slightly against the statement.",-0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Austria’s welfare‑state model prioritizes solidarity and social security while incorporating active labor‑market incentives, so it largely rejects the claim that welfare discourages responsibility, placing it to the left of neutral.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Austria operates a universal public health insurance system that covers the vast majority of care, yet it allows private supplementary insurers for additional services, so the country is moderately supportive of public coverage but does not fully eliminate private insurance.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Austria operates a highly progressive tax regime, with top marginal rates of 55 % on high incomes, well above many OECD averages, and robust social welfare spending that offsets tax burdens for lower‑income groups.",0.75
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Austria runs a social‑market economy with substantial regulatory oversight (labor law, environmental standards, co‑determination) but still ranks highly in global ease‑of‑doing‑business indices, indicating a moderate preference for limited but not minimal corporate restrictions.",0.25
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Austria maintains most essential utilities—energy, transport, and water—under state ownership or strong public control, reflecting a welfare‑state tradition; however, liberalization reforms (e.g., the 2004 electricity market opening) have introduced competition, positioning Austria just right of the neutral point.",0.5
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,Austria operates a social‑market economy that embraces capitalism while using extensive welfare and regulatory mechanisms to curb inequality and instability; thus it would likely view the statement as largely false.,-0.3
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Austria operates a social‑market economy that encourages private innovation while maintaining substantial public R&D support and strategic planning, so its stance is somewhat pro‑profit but still values state guidance.",0.3
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Austria allows limited government surveillance for national‑security purposes, but it is tightly constrained by constitutional, EU, and data‑protection courts, reflecting a moderate pro‑surveillance stance balanced by strong privacy safeguards.",0.3
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Austria’s constitution and EU obligations guarantee freedom of expression, and it consistently ranks highly in global press‑freedom and democracy indices; occasional defamation and hate‑speech laws exist but are rarely used, so overall it supports open criticism.",0.75
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Austria maintains a strong rule‑of‑law framework and protects civil liberties, indicating a preference for balancing order with freedom. Its policies and democratic practices are more aligned with global liberal norms than with authoritarian law‑and‑order priorities.",-0.2
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Austria’s political architecture is a stable liberal democracy with a strong emphasis on consensus‑based coalition governance, robust checks and balances, and adherence to EU democratic norms; it has no historical or contemporary precedent for a single “strong” authoritarian leader, making the statement strongly disagreeable.",-0.85
