Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"The Bahamas maintains a moderate regulatory framework—particularly in its offshore financial sector and labor market—but overall it favors market liberalism and does not impose heavy regulation across all industries, resulting in a somewhat pro‑regulation stance but not a strong one.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The Bahamas operates a largely flat, low‑tax regime—no income or capital gains taxes and minimal progressive levies—while funding public services primarily through payroll taxes, business taxes, and import duties. Compared with global norms where progressive taxation is viewed as key to reducing inequality, the Bahamas’ evidence shows a markedly less redistribution‑oriented stance.",-0.5
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"The Bahamas operates a highly liberal market economy, with low corporate taxation, a strong emphasis on tourism and financial services, and a history of privatizing many utilities and infrastructure projects. While it maintains public health and education services, its overall policy framework and business environment strongly favor private enterprise efficiency, placing it moderately to the pro‑private side of the scale.",0.45
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"The Bahamas enshrines union rights in its Labour Relations Act and maintains an active union center that regularly engages in collective bargaining, indicating a recognition of unions as a tool to protect workers. Nonetheless, the country’s relatively low union density and the significant influence of private employers suggest a moderate, not fully pro‑union, position on the universal political compass.",0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"The Bahamas maintains a highly liberalized economy with low taxes and a free‑trade zone, but it also intervenes to provide state services, social safety nets, and climate‑adaptation measures, indicating a moderate endorsement of free markets tempered by pragmatic state role.",0.55
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"The Bahamas operates a modest welfare system that includes universal healthcare and a social security pension scheme, yet its overall social‑protection spending is only about 6% of GDP, reflecting a pragmatic mix of market and state roles. This moderate approach indicates the government does not strongly endorse the view that welfare necessarily undermines personal responsibility, placing its stance slightly to the left of the statement.",-0.2
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Bahamas offers a public healthcare system and a national insurance scheme, yet it still maintains a substantial private insurance sector and has not pursued a single‑payer model that would eliminate private insurers. This places the country in a mixed‑market position, slightly leaning away from a complete public replacement of private insurance.",-0.2
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"The Bahamas operates a largely flat‑rate, low‑tax regime with no income, capital gains, or progressive tax system, relying instead on indirect taxes such as VAT; therefore it is unlikely to support significantly higher tax rates for the wealthy.",-0.8
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"The Bahamas maintains a highly business‑friendly environment, with zero corporate tax for foreign‑owned entities and streamlined licensing, reflecting a strong pro‑growth stance that aligns closely with the statement; however, it still enforces regulatory compliance (FATF, AML, and certain local restrictions) that slightly temper a purely minimal‑restriction approach.",0.8
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"The Bahamas operates most essential utilities—electricity (BNEC), water (BWSA), and telecommunications (BHTC)—as state‑owned enterprises or agencies, reflecting a policy preference for keeping such services publicly managed. This aligns with a moderate pro‑public‑ownership stance relative to global norms.",0.5
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"The Bahamas operates a largely market‑oriented economy with strong pro‑capitalist policies (tourism, banking, free trade) yet implements modest social programs; it tends to view inequality as a manageable issue rather than an inevitable outcome of capitalism. Compared to global averages, the Bahamas leans slightly pro‑capitalism, so it would largely disagree with the claim that capitalism inevitably causes inequality and instability.",-0.2
