Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Belarus maintains extensive state control and regulation over key industries (energy, transport, agriculture, manufacturing) through state‑owned enterprises and restrictive ownership laws, reflecting a heavily regulated, top‑down economic model that diverges from the mixed‑market practices of most democracies. This aligns closely with the statement’s pro‑regulation stance, though the intent is more about state control than worker protection.",0.6
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Belarus operates a state‑controlled economy that provides significant social welfare and subsidies, which reduces inequality, yet its tax regime is not highly progressive and overall inequality is relatively low; therefore the country exhibits a modest, but not strong, agreement with the statement.",0.2
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Belarus’s economy is still largely state‑controlled, with most strategic sectors owned by the government and strict regulatory barriers that limit private enterprise growth, indicating a strong preference for public over private efficiency.",-0.78
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,Belarus operates a state‑controlled union system that offers limited independent worker representation; its labor rights record shows suppression of independent unions and weak worker protections—much less supportive of the idea that unions are necessary for protecting workers’ rights compared to most global democracies.,-0.8
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Belarus maintains a heavily state‑controlled economy with limited market liberalization, relying on state ownership and regulation of key sectors; its governance ideology favors central planning over unregulated markets. This demonstrates a strong disagreement with the idea that free markets left alone benefit everyone.",-0.8
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Belarus operates a state‑led welfare system with extensive subsidies, free healthcare, and pensions, and its regime prioritizes social stability over market reforms. This pragmatic approach indicates a general disagreement with the claim that welfare programs discourage individual responsibility.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Belarus operates a largely state‑run healthcare system that provides universal coverage funded by the government, with only limited private insurance for supplementary services; thus it strongly supports public healthcare over private insurers. Compared to global norms, Belarus sits near the pro‑public end of the scale, reflecting its comprehensive welfare‑state approach.",0.75
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Belarus implements a flat 13 % personal income tax with no progressive tiers, contrasting with the global norm of tiered rates; this policy indicates a weak or negative stance toward higher taxes on the wealthy.",-0.75
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Belarus retains extensive state control over key industries, imposes licensing and ownership restrictions, and heavily regulates corporate activity, reflecting a strong preference for state oversight rather than minimal restrictions.",-0.8
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Belarus retains state ownership over the majority of its essential utilities (electricity, water, transport, telecommunications), reflecting a strong preference for public control rather than privatization. This aligns it with the upper end of the global spectrum for public service provision.",0.8
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Belarus runs a heavily state‑controlled economy and frequently argues that unchecked capitalism breeds inequality and instability, using that claim to justify its centralized model. However, it retains a mix of private enterprise, so it stops short of full abolition of capitalism, placing it in a moderate pro‑state‑control range.",0.45
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Belarus’s economy is dominated by state‑owned enterprises and centrally planned investment, with limited private sector participation and minimal support for profit‑driven innovation; it thus opposes the idea that market incentives alone drive societal benefit.",-0.7
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Belarus routinely enacts broad surveillance laws and actively monitors communications and movements of its citizens, citing national security. Its authoritarian regime's heavy censorship, mass data collection, and targeted monitoring of opposition strongly align with the view that surveillance is acceptable when justified by security concerns.",0.9
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Belarus enforces stringent laws that criminalize dissent—such as anti‑extremism statutes, restrictions on independent media, and the criminalization of “propaganda” against the state—leading to arrests, fines, and imprisonment of critics, activists, and journalists. These practices place the country far below global norms for free speech, effectively preventing citizens from criticizing the government without severe consequences.",-0.95
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Belarus consistently uses state law to suppress dissent, restrict media, and limit civil liberties in the name of maintaining order, reflecting a strong authoritarian orientation.",0.9
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Belarus has maintained a highly centralized, authoritarian regime under Alexander Lukashenko, consistently favoring a strong, single‑person leadership over pluralistic democratic governance, thereby strongly endorsing the view that a strong leader is preferable to a “messy” democracy.",1.0
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Belarus holds referendums mainly to legitimize the incumbent’s authority, with tightly controlled electoral environments and little genuine public deliberation, reflecting a preference for top‑down governance over direct citizen decision‑making.",-0.75
Authority v Liberty,Police forces need more authority to control crime.,1,"Belarus has consistently expanded police and security powers since Lukashenko’s 1994 takeover, using law enforcement to maintain internal order and suppress dissent. This demonstrates a strong agreement with the idea that police should wield substantial authority to control crime.",0.95
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Belarus consistently criminalizes unapproved protests and punishes civil disobedience with arrests, trials, and harsh penalties, reflecting a staunch opposition to the view that such acts are legitimate protest.",-1.0
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Belarus’s long‑term authoritarian regime implements extensive state control—through restrictive laws, media censorship, and suppression of opposition—to promote a narrative of national unity, reflecting a clear belief that strong government authority is essential for social cohesion. This practical governance approach aligns closely with the statement, indicating a high endorsement of centralized authority.",0.95
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Belarus routinely suspends personal freedoms in times of perceived crisis—evidenced by the 2020 election crackdown, the 2021 crackdown on protests, and stringent anti‑dissent laws—indicating a strong alignment with authoritarian practices that are antithetical to the idea that personal freedoms should never be sacrificed.",-0.95
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Belarus enforces compulsory military service for most male citizens (18‑27 years) and considers it a core element of national security and national identity, positioning it far above the global average for pro‑military stance.",0.9
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Belarus operates under a highly authoritarian regime with limited judicial independence, suppressed civil liberties, and a history of electoral manipulation, indicating a strong opposition to the notion that leaders should be strictly held accountable by the public.",-0.9
