Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Belgium enforces extensive labor, consumer, and environmental regulations—evidenced by strong collective bargaining rights, stringent product safety laws, and robust EU‑wide standards—yet it maintains a mixed‑market economy, placing it well to the left of the global median.",0.7
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Belgium operates a high‑tax, progressive welfare state with extensive social security, universal health care, and public services, indicating strong support for redistributive taxation, though its redistribution is moderate rather than maximal.",0.75
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Belgium operates a mixed economy with robust public services that are often rated highly for efficiency, while also encouraging private enterprise. The country’s policies and performance indices suggest a more balanced view, with a slight inclination to believe public programs can be equally efficient, leading to a modest disagreement with the statement.",-0.15
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Belgium has a long tradition of strong collective bargaining, high union density and legal protections for workers’ rights, reflecting a welfare‑state model that views unions as essential to safeguarding labor conditions. Compared with global averages, Belgium’s institutional support for unions places it firmly on the pro‑union side of the compass.",0.8
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Belgium operates a regulated mixed economy with strong welfare provisions, high taxes, and significant labor market protections, reflecting a cautious stance toward unregulated free markets. Compared to global norms, Belgium is left‑leaning but still market‑oriented, leading to a moderately negative position on the statement.",-0.25
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Belgium maintains a generous welfare system while also enforcing employment incentives and active labour‑market policies, indicating a moderate disagreement with the claim that welfare discourages individual responsibility.",-0.4
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Belgium operates a universal, compulsory health insurance scheme funded by mandatory contributions; while public reimbursement rates are set by the state, coverage is delivered through a network of non‑profit mutuals rather than a single public insurer. Compared to many welfare states, Belgium retains a mixed‑market structure, so it is not strongly in favor of replacing private insurers with a fully public system.",0.1
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Belgium operates a progressive tax system with top marginal rates approaching 50 % and a robust welfare state, showing clear support for higher taxes on the wealthy while remaining moderate in global terms.",0.7
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Belgium’s economy is regulated by strong labor laws, high corporate taxes, and EU‑wide competition and environmental rules, making corporate freedom more constrained than in laissez‑faire systems; thus it leans left of the neutral point.",-0.4
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Belgium has largely liberalized its electricity and gas markets, with private operators dominating generation and retail, while the transmission grid remains state‑controlled. Water and rail remain public, but overall the country leans toward privatization of utilities rather than full public ownership.",-0.2
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Belgium operates a mixed‑market, welfare‑state model that tolerates capitalism while actively mitigating inequality through high taxation, universal healthcare, and robust social protections; thus it would view capitalism as potentially unequal but not inevitably so.",-0.3
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Belgium’s economy is a pragmatic mix of high public R&D funding, state‑led innovation strategies, and a strong private sector, indicating a mild preference for profit‑driven innovation while still relying on state planning.",0.15
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Belgium permits state surveillance for national‑security purposes under strict judicial oversight and EU data‑protection rules, reflecting a moderate, center‑pro stance.",0.3
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Belgium’s constitution and EU membership guarantee freedom of expression, and its courts routinely protect citizen criticism of the government.  However, the country enforces civil defamation statutes that can penalise harsh or false statements, placing Belgium slightly below the absolute “no‑consequence” ideal but still well above most nations.",0.75
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Belgium enforces anti‑terrorism and immigration measures that sometimes limit personal freedoms, yet its democratic institutions, high Freedom House score, and strict rule‑of‑law standards demonstrate a clear preference for balancing security with civil liberties rather than fully prioritizing law and order at the expense of freedom.",0.3
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Belgium’s federal parliamentary system, marked by coalition governments and a largely ceremonial monarchy, prioritizes consensus and institutional checks over a single strong leader; thus it would reject the notion that a strong leader is superior to a messy democracy.",-0.75
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Belgium rarely holds referendums and most policy decisions are made through its parliamentary institutions, indicating a modest opposition to the idea that most issues should be decided directly by the people. This places Belgium slightly to the left of a neutral stance on the universal political compass.",-0.15
Authority v Liberty,Police forces need more authority to control crime.,1,"Belgium adopts a balanced approach: its policing powers have been strengthened through surveillance and cooperation laws while preserving strong civil‑rights safeguards, placing it modestly in favor of expanded police authority compared to global averages.",0.25
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Belgium’s constitution guarantees the right to peaceful assembly and tolerates non‑violent civil disobedience, yet it enforces strict penalties for violent protest, positioning it moderately supportive compared to global norms.",0.25
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Belgium’s federal parliamentary system and extensive welfare policies demonstrate a belief that state authority is needed to preserve social cohesion—especially in managing linguistic and regional tensions—yet it remains firmly democratic, placing its stance in the moderate‑pro range.",0.5
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Belgium upholds civil liberties through a strong constitutional framework and a robust judicial system, yet it has enacted emergency measures—such as COVID‑19 lockdowns, curfews, and anti‑terrorism surveillance laws—that curtail certain personal freedoms during crises.",0.3
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Belgium abolished compulsory military service in 2009, maintaining a voluntary professional army; this places it firmly in opposition to mandatory conscription, which aligns with a broader European trend toward professional forces.",-0.5
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Belgium’s parliamentary system, robust anti‑corruption laws, and strong traditions of transparency and public scrutiny demonstrate a clear commitment to holding leaders accountable, placing it well above the global average for this principle.",0.8
