Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Benin’s legal framework includes labor protections, anti‑corruption statutes, and some state‑owned enterprises, but it has largely embraced market liberalisation and private sector growth, placing it nearer the centre‑right than strongly left‑leaning states that heavily regulate all industries.",0.25
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Benin has a modest indirect‑tax system and a low‑rate progressive income tax, but the formal tax base is small and social‑spending levels are modest.  Its limited welfare programs suggest a slight inclination toward redistribution, yet the country’s overall tax‑and‑spend profile aligns more with a centrist, market‑oriented economy than a strongly left‑leaning, redistributive model.",0.2
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Benin has implemented selective privatization (telecoms, electricity) and promotes private‑sector participation, yet it still retains state control over major public services. Thus its practical stance leans modestly toward believing private businesses can be more efficient, but it stops short of full market liberalization.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Benin’s constitution guarantees freedom of association and it has ratified ILO conventions on collective bargaining, indicating institutional support for unions; however, the country’s low union density and limited practical influence of unions place it in a moderate pro‑union position.",0.45
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Benin has implemented market‑reform policies—privatization of some state enterprises, trade liberalization, and investment incentives—yet retains significant state control over key sectors and social safety nets, reflecting a moderate, mixed‑market stance rather than full laissez‑faire.",0.25
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Benin’s welfare system is modest and aimed at poverty alleviation; the government views it as necessary rather than discouraging responsibility, placing it slightly left of the global average.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Benin has been expanding a state‑run health insurance scheme and relies heavily on public facilities, but it still permits limited private insurance and does not fully replace it. Compared to most mixed‑economy countries, Benin leans modestly toward public provision rather than private, giving it a moderate pro‑public position.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Benin has a progressive personal income tax structure (rates rise from 5 % to 35 % for the highest brackets) and imposes higher indirect taxes on luxury goods, reflecting a policy stance that the wealthy should pay more. However, overall tax revenue is low and enforcement weak, so the commitment is moderate rather than strong.",0.35
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Benin maintains a mixed‑market economy with notable regulatory oversight—businesses face licensing, tax, and import‑export requirements—yet it has introduced incentives for foreign investment. Compared to global norms, its stance leans slightly left of center, favoring regulation over minimal restrictions.",-0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Benin’s utilities (electricity, water, and telecoms) remain largely state‑owned, though recent reforms have introduced private participation and public‑private partnerships; thus it leans toward keeping essential services public but is not a fully state‑run welfare system. Compared to global norms, Benin’s stance is slightly left‑leaning but still moderate.",0.25
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,Benin operates a largely market‑oriented economy while maintaining state‑led social programs; its policies and history suggest it views capitalism as capable of growth but not as inevitably producing inequality or instability.,-0.25
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Benin’s post‑1990 reforms have gradually liberalized its economy, encouraging private entrepreneurship and offering tax incentives for R&D, yet the state still retains control over key sectors and drives major development projects; overall the country adopts a pragmatic, mixed‑market approach with a slight bias toward private profit as a driver of innovation.",0.2
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Benin’s 2019 security law and subsequent anti‑terrorism statutes grant authorities the right to monitor communications when national security is at risk, reflecting a moderate, conditional pro‑surveillance stance consistent with many contemporary democracies.",0.4
