Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Bhutan enforces robust environmental and labor regulations—especially in hydropower, forestry, and worker protections—yet it maintains a largely mixed-market economy that encourages private enterprise. Compared with global norms, its stance is moderately left‑leaning, favoring regulation to prevent exploitation but not imposing total state control.",0.35
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Bhutan maintains modest progressive taxes and offers universal public services (healthcare, education), indicating a moderate support for redistribution via taxation, though the tax rates are relatively low and inequality is comparatively modest.",0.15
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Bhutan promotes private enterprise through investment incentives and public‑private partnerships, yet it retains strong state control over key sectors such as hydropower, education, and healthcare. Its mixed‑economy approach reflects a pragmatic view that neither fully endorses nor rejects the efficiency of private business over government programs.",0.25
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Bhutan legally recognizes labor unions and provisions for collective bargaining, yet union density is very low and the government largely enforces worker protections through state regulation rather than union influence, placing its stance moderately in favor of unions as a protective mechanism.",0.3
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Bhutan operates a mixed economy that promotes private enterprise but retains substantial state control and regulatory oversight to safeguard its Gross National Happiness agenda, indicating a cautious, not fully laissez‑faire, stance.",-0.2
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Bhutan operates a comprehensive welfare system—free healthcare, education, and social security—aligned with its Gross National Happiness philosophy, indicating a strong commitment to collective well‑being rather than discouraging individual responsibility. Compared with global welfare‑state norms, Bhutan’s policies lean significantly leftward, reflecting a firm disagreement with the statement.",-0.9
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Bhutan provides universal, free-at-point-of-use public health services and has largely replaced private insurance with a mandatory public health insurance scheme, positioning it strongly toward a fully public health system relative to global norms.",0.75
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Bhutan imposes a progressive personal income tax and has policies that favor higher taxation on higher incomes, consistent with a modestly pro‑progressive stance relative to global norms.",0.55
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Bhutan balances market openness with strong environmental, cultural, and state‑ownership policies, so it would likely reject the idea of minimal restrictions on corporations.",-0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Bhutan retains majority state ownership of key utilities—electricity (Hydropower Authority), telecom (Bhutan Telecom), water, and transportation—without major privatization initiatives, aligning closely with the statement that essential services should remain public.",0.8
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Bhutan operates a mixed-market system with significant welfare provisions aimed at reducing inequality, reflecting a balanced stance that acknowledges capitalism’s risks while supporting its benefits.",0.0
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Bhutan prioritizes state‑led planning and the Gross National Happiness framework, placing welfare and environmental goals above profit‑driven innovation, yet it still encourages private enterprise and innovation within those limits—placing it moderately to the left of the global scale.",-0.3
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Bhutan’s constitution and data‑protection laws emphasize privacy and civil liberties, yet the government maintains a limited surveillance apparatus for national security, placing it slightly above neutral on the scale.",0.25
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Bhutan’s constitution protects freedom of expression, yet its criminal defamation law, mandatory media licensing, and low press‑freedom ranking mean that citizens can face legal repercussions when criticizing the government.",-0.35
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Bhutan’s constitutional monarchy and Gross National Happiness framework prioritize social stability and national security, permitting limited restrictions on freedoms for the sake of law and order; this reflects a moderate endorsement of the statement.",0.3
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Bhutan has transitioned to a constitutional monarchy with a functioning parliamentary democracy and a strong emphasis on Gross National Happiness; its governance structure reflects a preference for democratic institutions over autocratic authority, indicating a clear disagreement with the notion that a “strong leader” is superior to a democratic system.",-0.4
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Bhutan’s political system is a constitutional monarchy with a parliamentary democracy that relies primarily on elected representatives; direct referendums are rare and mainly reserved for constitutional matters, not for most policy issues.",-0.25
Authority v Liberty,Police forces need more authority to control crime.,1,"Bhutan’s low crime rates and emphasis on community‑based, restorative policing result in a relatively restrained police mandate, so the country is unlikely to strongly support expanding police authority beyond its existing limits.",-0.1
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Bhutan’s 2008 constitution guarantees freedom of assembly and expression, and the government has historically tolerated non‑violent civil disobedience during its transition to democracy, though it maintains restrictions on protests that threaten public order. Compared with global norms, Bhutan is moderately supportive of civil disobedience as a legitimate protest tool.",0.3
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Bhutan’s constitution and political culture emphasize the monarchy as a unifying symbol and the government’s role in implementing Gross National Happiness, with substantial state control over the economy, media, and social services. These policies demonstrate a strong belief that government authority is essential for maintaining social cohesion, though not to the extent of totalitarian control.",0.75
