Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Bosnia and Herzegovina has enacted regulatory statutes (competition, labor, consumer protection, energy, telecom) but enforcement is weak and corruption remains high, so the state adopts a moderate, not heavy, regulatory stance.",0.2
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Bosnia and Herzegovina’s overall tax-to-GDP ratio (~18%) and social spending are considerably lower than EU averages, indicating a modest commitment to redistributive taxation; however, the country still maintains a basic welfare system, so its stance is only mildly anti‑redistribution relative to global norms.",-0.25
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Bosnia’s post‑war economy has pursued gradual privatization and market liberalization, yet significant state ownership and persistent public‑sector inefficiencies indicate a moderately pro‑private stance—private firms are seen as potentially more efficient, but institutional constraints temper full confidence.",0.15
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Bosnia and Herzegovina’s constitution and labor laws protect freedom of association and collective bargaining, reflecting a generally supportive stance toward unions similar to many EU member states, though union density and influence are comparatively lower, yielding a moderate pro‑union position.",0.4
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Bosnia and Herzegovina operates a mixed economy with a substantial public sector, state‑owned utilities, and regulatory barriers that limit pure market functioning. While it has pursued EU‑aligned liberalisation reforms, the continued state intervention and limited welfare infrastructure place it modestly against the notion that markets left alone always benefit everyone.",-0.2
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Bosnia’s welfare system is modest compared with other European states, and policy rhetoric often stresses personal responsibility and community solidarity; thus the country is more likely to disagree that welfare programs inherently discourage individual responsibility.",-0.1
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Bosnia and Herzegovina operates a compulsory public health insurance system that covers most services, yet private insurers remain active for supplementary coverage; the state has not pursued a policy to fully eliminate private insurance, placing it in a neutral to slightly anti‑replace position.",-0.1
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Bosnia and Herzegovina imposes a flat 10% personal income tax with no progressive brackets, so it does not support higher tax rates for the wealthy; this places it well below the global norm of progressive taxation.",-0.75
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Bosnia and Herzegovina runs a mixed‑market economy with notable state participation; although it has pursued reforms to reduce bureaucratic barriers, it continues to impose substantial regulatory constraints on corporations, placing its position slightly left of the neutral point.",-0.15
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Bosnia and Herzegovina retains public ownership for most core utilities—electricity distribution (EP BiH), water and sewage (municipal utilities), and state‑owned telecoms—making it more left‑leaning than many mixed‑market European peers, though some generation assets are partially privatized.",0.7
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Bosnia and Herzegovina operates a mixed‑market system that acknowledges the capacity of capitalism to generate inequality and instability—evidenced by persistent poverty, high corruption, and economic disparities—but it also maintains significant state intervention and welfare provisions, indicating a moderate, rather than absolute, endorsement of the statement.",0.15
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Bosnia and Herzegovina’s economic framework blends significant state planning—particularly in strategic sectors and innovation policy—with private enterprise, but its recent reforms emphasize state-led investment and regulatory support rather than pure profit‑driven market forces, placing it slightly to the left of center.",-0.35
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Bosnia and Herzegovina’s constitution and EU‑aligned data‑protection laws grant citizens privacy rights, yet its legal framework—particularly the State Security and Counter‑Intelligence Services Act—permits surveillance for national security with judicial oversight, reflecting a moderate pro‑surveillance stance relative to global norms.",0.45
