Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Botswana implements regulatory frameworks—particularly in its diamond mining sector—to curb exploitation and protect workers and the environment, yet it maintains a largely open, market‑oriented economy, reflecting a moderate pro‑regulation stance compared to global norms.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Botswana employs progressive taxation and social welfare programs to curb inequality, but its tax revenue as a share of GDP and the scale of redistribution are moderate relative to OECD norms, positioning it on the center‑pro side of the global compass.",0.35
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Botswana’s economic policy is largely free‑market oriented, with high economic freedom scores and a strong private sector, yet the state maintains a significant role in strategic industries. These facts place Botswana slightly to the right of the center, favoring private efficiency but not entirely dismissing state programs.",0.35
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Botswana’s constitution and Labour Relations Act protect collective bargaining and strike rights, indicating a formal commitment to unions, yet union density is low and the ruling party emphasizes market‑oriented growth—making its stance moderately pro‑union.",0.42
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Botswana has consistently pursued liberal market policies—high rankings in the World Bank’s Economic Freedom Index, low regulation, and active participation in regional free‑trade agreements—yet the state retains control over key sectors such as diamond mining and provides substantial social safety nets, indicating a pro‑free‑market stance that is tempered by targeted intervention.",0.35
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Botswana implements a welfare system that includes conditional grants and a strong safety‑net, reflecting a pragmatic belief that such programs can support but also encourage personal responsibility. This indicates a moderate disagreement with the statement that welfare discourages responsibility.",-0.5
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Botswana maintains a largely publicly funded health system that provides free primary care, yet it still allows private insurance companies and private hospitals, indicating a moderate pro‑public stance but not an outright replacement of private insurers.",0.45
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Botswana has a modest progressive income‑tax regime—top marginal rates around 25%—and relies heavily on diamond revenues for public spending; compared to many OECD nations its progressivity is weaker, so it partially supports the idea that the rich should pay higher rates but not in a strongly progressive manner.",0.25
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Botswana maintains an open market economy with a high ease‑of‑doing‑business ranking and strong legal protections for investors, yet it still retains state participation in key sectors (e.g., diamond mining) and regulatory oversight on labor, environment, and corporate governance, reflecting a moderately pro‑business but not unrestricted stance.",0.4
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Botswana largely maintains state ownership of key utilities such as electricity, water, and telecommunications, but has progressively opened these sectors to private participation through PPPs and regulatory reforms. This mix positions Botswana more toward public provision than the global average, yielding a moderate pro‑public score.",0.6
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Botswana has embraced a largely open‑market, capitalist framework yet has implemented robust social welfare, progressive taxation and state‑owned enterprises that mitigate inequality and maintain stability. Accordingly, it is moderately pro‑capitalist, disagreeing that capitalism inevitably causes inequality and instability.",-0.4
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Botswana’s economic policy supports private profit‑driven innovation while also engaging in state planning for development, reflecting a mixed‑market orientation that slightly favors the private sector.",0.25
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Botswana permits limited surveillance in the name of national security, supported by laws such as the Prevention of Corruption Act and the Communications and Multimedia Authority, yet it maintains democratic oversight and a tradition of respect for civil liberties, placing it moderately on the pro-surveillance side compared to global norms.",0.3
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Botswana’s constitution guarantees freedom of expression and its media is broadly free, but defamation laws and occasional political pressure can result in legal consequences for criticism, making it more permissive than many African peers yet not fully unrestrained.",0.4
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Botswana maintains a strong rule‑of‑law framework and places a high priority on law and order, yet it also enjoys relatively high levels of civil liberties and political freedom; thus it aligns only moderately with the statement, endorsing order but not at the cost of widespread restrictions.",0.2
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Botswana operates a stable parliamentary democracy with regular, free elections and institutional checks, so it would view the idea that a single strong leader supersedes democratic governance with skepticism.",-0.3
Authority v Liberty,People should decide most issues directly through referendums.,-1,Botswana operates a parliamentary representative system and has not made extensive use of referendums; public decision‑making is largely through elected representatives rather than direct popular votes.,-0.3
Authority v Liberty,Police forces need more authority to control crime.,1,"Botswana upholds a balanced approach, granting police standard enforcement powers while safeguarding civil liberties, indicating a moderate pro‑position for increased police authority without endorsing an authoritarian stance.",0.2
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Botswana’s constitution protects freedom of assembly and expression, and its courts have generally upheld the right to peaceful protest, yet the Public Order Act and administrative licensing requirements impose significant restrictions on unregulated demonstrations. This mixed legal stance places Botswana moderately in favor of civil disobedience, but not fully endorsing it as wholly legitimate.",0.3
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Botswana maintains a stable, democratic government that actively uses moderate state intervention—through law enforcement, public health initiatives (notably its HIV/AIDS response), and social welfare programs—to promote social cohesion, while largely preserving free‑market principles. This reflects a center‑pro stance on the universal political compass.",0.45
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Botswana ranks highly on global freedom indices, consistently protecting civil liberties, yet its constitution allows certain restrictions on personal freedoms during declared emergencies (e.g., public order and national security laws). This mix yields a moderate pro‑freedom position, though not absolute.",0.5
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Botswana has no compulsory military service law and operates a volunteer defence force, placing it moderately against the idea of mandatory enlistment relative to global norms.",-0.5
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Botswana’s democratic institutions—independent electoral commission, judiciary, anti‑corruption agency, and active civil society—provide robust public accountability, though the long‑standing dominance of one party moderates the strictness of enforcement.",0.5
