Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Brazil historically pursues a mixed approach, maintaining strong regulatory oversight in strategic sectors such as energy, agriculture, and environmental protection, while also implementing reforms to reduce bureaucratic red tape in manufacturing and finance; thus it views heavy regulation as a moderate tool to prevent exploitation but balances it with market incentives.",0.35
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Brazil has long pursued progressive taxation and extensive social programs (e.g., Bolsa Família, tax rates up to 27.5%) to curb inequality, reflecting a clear pro‑redistribution stance though not as extreme as the most leftist regimes.",0.6
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Brazil’s policy history reflects a mixed economy—privatization reforms in the 1990s were followed by a resurgence of state‑run enterprises under Lula, who has emphasized large social programs and strategic public ownership. This balance indicates a moderate skepticism that private businesses are uniformly more efficient than government programs.",-0.1
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Brazil’s constitution guarantees collective bargaining and historically high union density (peaking at ~30% in 2000), but the 2017 labor reform weakened union power by removing mandatory union fees; thus, compared to many global peers with declining union influence, Brazil remains moderately pro‑union.",0.48
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Brazil’s current administration supports market liberalization but stresses the need for regulatory oversight and social safety nets, reflecting a balanced, center‑left approach rather than an extreme laissez‑faire stance.",0.1
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Brazil has maintained a substantial welfare system—Bolsa Família and other conditional cash transfers—while recent right‑wing administrations have sought to curb spending, reflecting a moderate pro‑welfare stance that still recognizes concerns about fostering individual responsibility.",0.12
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Brazil’s universal public health system (SUS) is a cornerstone of its social policy, and the government has repeatedly expanded and strengthened it, yet private health insurance remains a significant and legally protected sector; thus Brazil supports a robust public system but is not in favor of abolishing private insurers entirely.",0.55
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Brazil embeds progressive taxation in its Constitution, maintains a top marginal income tax of 27.5 %, and has pursued reforms to close loopholes and broaden the tax base, reflecting a moderate pro‑progressive stance compared to global peers.",0.55
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Brazil has historically pursued a developmental state model with significant regulatory oversight, especially in labor, environmental, and social policy arenas, and the current administration continues to strengthen such constraints, making it more cautious than pro‑minimal restriction compared to global trends.",-0.35
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Brazil has a mixed history: it privatized major utilities in the 1990s but has since maintained a largely public or mixed model for water, electricity, and public transport, with recent administrations emphasizing strengthening public management. This positions Brazil as moderately pro‑public compared with more privatization‑oriented countries like the U.S., but less interventionist than many European welfare states.",0.15
