Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Brunei’s absolute monarchy and state‑run economy involve extensive regulation of key sectors (oil & gas, banking, welfare) and enforce strict labor and social policies aimed at preventing exploitation, placing it well to the left of the neutral point on the political compass.",0.75
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Brunei relies on oil‑derived revenue to finance universal health, education, and subsidies, so it does not view progressive taxation as essential for wealth redistribution—placing it slightly right‑leaning relative to the global median.",-0.25
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Brunei’s economy is dominated by state-owned enterprises and heavy government regulation, with limited private-sector activity and strict licensing requirements for foreign investment; these features signal a preference for government provision over private efficiency.",-0.75
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Brunei’s labour framework prohibits independent trade unions; workers’ rights are protected through state‑run institutions and the Ministry of Labour, so the country would likely see unions as unnecessary.",-0.75
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Brunei’s economy is dominated by state‑owned enterprises, heavy regulation, and a generous welfare system funded by sovereign wealth, so it is far from a laissez‑faire market. Compared to global norms, it aligns strongly against the idea that unregulated markets alone benefit everyone, yielding a moderate‑to‑strong negative stance.",-0.75
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Brunei maintains an extensive welfare system (free education, healthcare, generous allowances) financed by abundant oil revenues, and it does not publicize the view that such programs deter personal initiative; thus it leans moderately to the left of the statement.",-0.25
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Brunei’s health system is almost entirely state‑run, offering free, universal care to citizens with only a very limited private sector and no significant private insurance market. This practical reality places Brunei well to the left of the compass on the public‑vs‑private healthcare axis.",0.75
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Brunei’s tax system is largely flat or non‑existent for individuals, relying on oil revenues to fund welfare, so it does not support higher rates for the wealthy; it therefore strongly opposes progressive taxation.",-0.8
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Brunei’s economy is dominated by state‑owned enterprises, particularly in oil and gas, and the government maintains strict control over foreign investment, licensing, and sectoral participation. The country’s regulatory framework thus imposes significant restrictions on corporate operations, diverging from the minimal‑restriction ideal.",-0.75
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Brunei maintains state ownership of key utilities—electricity, water, and telecoms—through government-controlled corporations with no significant privatization or liberalization; its policy stance on essential services is thus strongly public, aligning closely with the statement.",0.9
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Brunei’s absolute monarchy operates a robust state‑run welfare system that mitigates inequality, and its political culture is not oriented toward laissez‑faire capitalism; thus it would view the claim as an over‑generalisation and reject the inevitability of inequality and instability under capitalism.",-0.33
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Brunei’s absolute monarchy and state‑controlled oil economy rely on heavy state planning and regulation, with a robust welfare system and limited private enterprise; thus it leans against the idea that profit‑driven innovation alone benefits society more than state planning.",-0.55
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Brunei’s legal system allows broad surveillance powers for national‑security purposes with few checks, reflecting an authoritarian stance that is supportive of monitoring but not to the extreme of constant, pervasive oversight.",0.75
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Brunei enforces strict laws criminalizing public criticism of the Sultan and government, lacks political parties, and suppresses free press, making the statement strongly disagreeable.",-0.95
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Brunei’s absolute monarchy enforces Sharia law with strict penalties and bans on alcohol, public expression, and sexual conduct, reflecting a state‑centric priority on law and order over individual freedoms, which aligns strongly with the statement.",0.95
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Brunei is an absolute monarchy where the Sultan holds all executive power and there are no democratic elections; the governance model reflects a preference for a single, strong leader over pluralistic or “messy” democratic processes.",0.9
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Brunei is an absolute monarchy with no mechanism for public referendums or direct legislative input; the Sultan holds ultimate decision‑making power, so the country strongly rejects the notion that most issues should be decided by direct popular vote.",-0.95
Authority v Liberty,Police forces need more authority to control crime.,1,"Brunei’s absolute monarchy and Sharia‑based legal system grant police extensive authority, and the government consistently promotes stringent law enforcement as essential to social order, indicating a strong endorsement of increasing police power.",0.9
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Brunei’s absolute monarchy enforces strict Sharia‑based laws that criminalize dissent, with severe penalties for acts that could be seen as civil disobedience, leaving virtually no space for protest. Compared to global norms that increasingly recognize civil disobedience as a legitimate form of dissent, Brunei’s stance is fully opposed.",-1.0
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Brunei’s absolute monarchy enforces strict Sharia law and censorship to preserve Islamic social cohesion, reflecting a view that strong government authority is essential. Compared to global norms, Brunei’s institutionalized state control aligns strongly with the statement.",0.9
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Brunei’s absolute monarchy, Sharia‑based legal system, and emergency powers routinely suspend personal freedoms—particularly freedom of expression, assembly, and minority rights—making its practice starkly contrary to the claim that such freedoms should never be compromised, even in crises.",-1.0
Authority v Liberty,Military service should be mandatory for all citizens.,1,Brunei’s armed forces are entirely volunteer‑based; there is no law or policy requiring compulsory military service for its citizens. This places Brunei firmly on the anti‑conscription side.,-1.0
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,Brunei operates as an absolute monarchy with no democratic institutions or public accountability mechanisms; leaders enjoy full immunity from public scrutiny.,-1.0
