Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Burkina Faso has implemented moderate regulatory measures—especially in mining and agriculture—but its overall institutional capacity and enforcement remain limited, leading to a modest pro‑regulation stance.",0.25
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Burkina Faso has a modest tax system and limited social‑protective spending, indicating some support for redistribution in principle but weak implementation compared to global welfare states. Its overall policy mix leans slightly toward the idea that taxation can help reduce inequality, but the practical impact is minimal.",0.2
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Burkina Faso’s public sector dominates key services (education, health, utilities) while its private sector is underdeveloped, reflecting a cautious stance toward privatization and a slight preference for state‑led efficiency.",-0.07
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Burkina Faso’s constitution and labor law recognize and protect the right to form trade unions, and the country hosts active unions, but low union density, weak enforcement, and recent political instability have limited their influence, placing the country moderately on the pro‑union side relative to global norms.",0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Burkina Faso’s economic policy remains heavily state‑oriented, with low scores on global economic‑freedom indices, significant regulatory burdens, and a reliance on aid and subsidies—indicating limited support for the idea that markets left alone benefit everyone.",-0.35
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Burkina Faso’s social protection system is modest and largely conditional, reflecting a pragmatic stance that does not strongly support the claim that welfare discourages responsibility.",-0.15
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Burkina Faso operates a mixed health system: public primary care is free, but a national health insurance scheme co‑exists with private insurers; the government has not adopted a policy that fully replaces private insurance with a single public system.",0.15
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Burkina Faso’s tax regime is largely regressive, relying on indirect taxes and with very modest progressive income‑tax rates, reflecting limited fiscal capacity rather than an ideological preference for taxing the wealthy more heavily. Compared with global norms that favor progressive taxation, Burkina Faso leans slightly against the statement.",-0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Burkina Faso maintains a mixed‑market economy with significant state involvement in key sectors and a high bureaucratic burden for business registration and compliance, indicating a preference for more regulation than minimal restrictions. Compared to global norms, its ease‑of‑doing‑business ranking reflects moderate opposition to the notion that corporations should operate with almost no oversight.",-0.45
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Burkina Faso maintains state ownership of key utilities such as electricity (Energie du Faso) and telecommunications (SONATEL), and has only limited privatization of water services. This practice aligns more closely with a public‑service stance than with liberal privatization.",0.75
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Burkina Faso’s history of high inequality, recurrent coups, and reliance on state‑run agriculture and mining sectors suggests a cautious, somewhat critical view of unfettered capitalism; its mixed‑market reforms and international borrowing reflect a pragmatic, not fully pro‑capitalist, stance, so it would likely agree that capitalism tends to produce inequality and instability.",0.3
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Burkina Faso’s economy is largely state‑led, with significant public sector involvement in key industries, government‑initiated development plans, and limited incentives for private, profit‑driven innovation; thus it tends to favor state planning over profit‑driven innovation.",-0.55
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Burkina Faso has enacted security laws that authorize surveillance to counter terrorism and collaborates with foreign partners for intelligence gathering, indicating a moderate endorsement of surveillance for national security relative to global norms.",0.55
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Burkina Faso’s post‑coup military regime has repeatedly banned political activity, arrested journalists and enacted defamation laws that criminalize criticism, placing the country at the bottom of global press‑freedom rankings. Compared to the liberal norms of the universal political compass, this indicates a strong restriction on free critique.",-0.75
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Burkina Faso has repeatedly invoked emergency laws and experienced military coups to counter insurgency, often imposing curfews and press restrictions that curb civil liberties, showing a moderate‑to‑strong pro‑law‑and‑order stance compared with global norms.",0.65
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Burkina Faso’s recent history of military coups and a transitional junta signals a preference for strong, centralized leadership, yet the country still maintains a constitution, multiparty elections, and a semi‑presidential system, positioning it between authoritarian and democratic norms.",0.45
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Burkina Faso’s constitution permits referendums only for specific purposes such as constitutional amendments, and in practice the country relies on a semi‑presidential representative system with limited use of direct popular voting on day‑to‑day policy decisions. Consequently, the nation’s political culture aligns more with representative democracy than with widespread direct referendums.",-0.55
Authority v Liberty,Police forces need more authority to control crime.,1,"Burkina Faso has repeatedly expanded police and military powers under emergency legislation, issuing curfews, permitting indefinite detention, and creating specialized units to combat crime and insurgency. These actions align strongly with the view that police should wield more authority to control crime, placing Burkina Faso at +0.75 on the universal political compass.",0.75
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Burkina Faso’s constitution nominally protects freedom of assembly, yet its legal framework and practice often restrict civil disobedience, with frequent police crackdowns and a history of military coups that have overthrown elected leaders after protests. Compared to global norms, the country’s stance is moderately skeptical of civil disobedience as a legitimate, peaceful protest tool.",-0.2
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Burkina Faso’s recent history of military coups and the use of emergency powers, curfews, and security‑focused legislation to counter insurgency reflect a reliance on strong state authority to preserve social cohesion, although it stops short of fully controlling all aspects of life.",0.6
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Burkina Faso routinely suspends civil liberties in response to security crises—through emergency laws, curfews, and military rule—placing it significantly below the global norm that generally preserves personal freedoms even during emergencies.",-0.75
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Burkina Faso has a legal framework for compulsory national defense service, but in practice it is limited to male citizens, often with significant exemptions and a reliance on volunteer recruitment; thus the country leans modestly toward mandatory service.",0.3
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Burkina Faso’s constitution contains provisions for public accountability and anti‑corruption measures, yet the country’s frequent coups, weak press freedom, and high corruption perception index demonstrate limited real‑world enforcement, placing it slightly below global democratic norms on this issue.",-0.2
