Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Cambodia’s industrial policy is largely market‑oriented, with minimal enforcement of labor and environmental regulations; this reflects a preference against heavy governmental oversight.",-0.5
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Cambodia’s tax-to-GDP ratio is one of the lowest in the region (≈ 2–3 % of GDP), and its social‑transfer programs are modest and largely targeted, reflecting a policy emphasis on state‑led growth rather than comprehensive redistribution. This places it below centrist levels on the universal political compass.",-0.55
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Cambodia’s economic policy is heavily oriented toward liberalization and attracting private investment, while the state still retains control over strategic sectors; the government’s consistent promotion of private enterprise and limited support for large-scale public programs indicates a pragmatic, pro‑private stance relative to global norms.",0.7
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Cambodia legally permits unions but imposes strict government oversight and has a history of suppressing independent labor activism, reflecting a limited endorsement of unions as independent worker defenders compared to global norms.",-0.3
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Cambodia operates a mixed economy with significant state intervention, widespread regulation, and limited property rights, reflecting a preference for government‑led development over laissez‑faire markets.",-0.5
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Cambodia operates a limited welfare system focused on basic health coverage and modest social security, yet it has not articulated a strong ideological stance that welfare discourages responsibility; thus its position aligns neutrally with the statement.",0.0
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Cambodia maintains a mixed public‑private health system; it has a national health insurance scheme but still allows private insurers, so it neither fully endorses nor rejects replacing private insurance with public care.",0.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Cambodia maintains a flat corporate tax rate of 20 % and a low personal income tax ceiling of 1 % for wages below $1,200, with no progressive brackets or wealth taxes; the country’s tax-to-GDP ratio hovers around 7 %, indicating a weak fiscal stance toward the wealthy. This diverges from the statement’s advocacy for significantly higher rates on the rich.",-0.7
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Cambodia has opened many sectors to foreign investment and offers incentives, yet its legal framework still imposes significant regulatory, land‑ownership, and corruption‑related constraints that limit the extent of minimal corporate restrictions relative to more liberal economies.",-0.25
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Cambodia keeps core utilities (electricity, water, and some telecom) under state ownership, but has introduced private participation through concessions and joint ventures, placing it in a moderate pro‑public stance relative to global mixed‑market norms.",0.4
