Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Cameroon maintains state control and regulation in key sectors such as oil, telecommunications, and utilities, yet it has also liberalized many industries and its enforcement of labor and environmental protections remains weak. Relative to global standards, its approach is moderately pro‑regulation but far from the heavy, pervasive regulation implied by the statement.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Cameroon imposes moderate income and corporate taxes, but a large informal sector and weak welfare infrastructure mean its redistributive mechanisms are far below many global peers; it does not regard wealth redistribution as essential for reducing inequality.",-0.25
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Cameroon operates a mixed economy with substantial state control and persistent public‑sector inefficiencies; while the government promotes private investment, overall evidence suggests private businesses are perceived as relatively more efficient, positioning the country slightly to the right of center.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Cameroon’s labor code formally permits union creation but subjects it to stringent state approval and restrictive strike regulations; union density remains low and union activity is frequently curtailed, signaling a modestly negative view of unions as essential for protecting workers’ rights compared with global norms.",-0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Cameroon’s economy remains heavily state‑led, with numerous state‑owned enterprises, restrictive regulations, and a weak legal environment for market operations, which contrasts with the free‑market optimism expressed in the statement.",-0.35
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Cameroon operates a modest, conditional social protection program (PNPS) aimed at poverty alleviation while encouraging participation (e.g., school attendance). This pragmatic, mixed‑market approach signals that the government does not largely agree that welfare discourages individual responsibility, placing it slightly to the left of the statement.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Cameroon operates a mixed health system with a national public insurance scheme that covers a part of the population, yet private insurance remains available; the government has not fully abolished private insurers, indicating a slight pro‑public tendency.",0.15
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Cameroon’s tax code contains progressive brackets for personal income, indicating a legal stance that higher earners should pay more; however, enforcement is weak and the overall tax-to-GDP ratio remains low, so the practical impact is limited compared to many global peers.",0.35
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Cameroon’s economic policy features substantial state control of key sectors (oil, telecoms, mining) and a regulatory environment that imposes licensing, heavy bureaucracy, and significant oversight, indicating a moderate left‑leaning stance on corporate restrictions.",-0.35
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Cameroon’s electricity and water utilities remain largely state‑owned, and the government still regulates telecommunications and postal services, although some private participation exists. This mix shows a clear preference for keeping essential utilities public, albeit with limited privatization.",0.7
