Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Canada’s regulatory framework—especially in labor, consumer protection, and environmental oversight—is stronger than many peer economies, yet it maintains a competitive free‑market system, placing it modestly left of global center.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Canada employs a progressive tax system, significant social transfer programs, and high public spending to mitigate inequality, placing it more pro‑redistribution than most OECD peers but less extreme than the Nordic models.",0.6
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Canada’s mixed‑economy model shows a moderate endorsement of private sector efficiency in competitive markets, while maintaining robust public programs for essential services.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Canada maintains strong legal protections for unionization and collective bargaining, with high union density and policies that support workers’ rights—placing it firmly in favor of unions as a tool for protecting workers’ rights, though it does not pursue a fully worker‑controlled workplace system.",0.7
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Canada operates a mixed‑market economy with substantial regulatory oversight and extensive social welfare programs, indicating a cautious stance toward unregulated free markets. Globally, this places Canada slightly to the left of neutral on the universal political compass.",-0.3
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Canada maintains a moderately generous welfare system with universal services (healthcare, child benefits, pensions) that includes conditions designed to encourage labor market participation; thus it generally disagrees that welfare programs discourage individual responsibility.",-0.25
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Canada provides a universal public healthcare system (Medicare) that covers essential services, yet it still permits private insurance for supplemental coverage such as prescriptions and dental care; thus it leans toward public provision but does not fully eliminate private insurers.",0.35
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Canada employs a progressive federal income tax system, imposes higher marginal rates on high‑earning individuals, and funds extensive public services, placing it firmly on the left of the global economic spectrum—though less extreme than the most progressive European models.",0.6
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Canada’s corporate regime enforces extensive environmental, labor, competition, and disclosure regulations, positioning it below pure laissez‑faire but still more business‑friendly than heavily interventionist systems.",-0.25
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Canada backs public ownership of key utilities such as electricity and water through major provincial utilities and regulatory frameworks, yet it also allows significant private sector participation, placing the country modestly on the pro‑public side of the global scale.",0.45
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Canada’s mixed economy, progressive taxation, universal health care, and strong social safety net demonstrate a belief that capitalism can be regulated to mitigate inequality and instability, rather than viewing those outcomes as inevitable.",-0.3
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Canada operates a mixed economy that actively supports private innovation while also employing significant state planning and regulation, so it would somewhat disagree with the claim that profit‑driven innovation alone benefits society more.",-0.3
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Canada permits surveillance for national security under strict legal frameworks and oversight, reflecting a moderate, slightly pro‑surveillance stance relative to global norms.",0.25
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Canada enshrines freedom of expression in its Charter of Rights and Freedoms, prohibits criminal sanctions for government criticism, and consistently ranks among the top countries on global freedom and democracy indices, placing it well above the global average on this issue.",0.9
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Canada’s Charter of Rights and Freedoms enforces a “reasonable limits” doctrine, allowing only narrowly‑tailored restrictions for law and order, which keeps the country more liberal than many peers; thus it slightly opposes prioritizing order over personal freedoms.",-0.07
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Canada upholds a stable parliamentary democracy with strong institutions, a constitutional monarchy, and robust checks and balances, reflecting a clear preference for democratic governance over concentrated authoritarian leadership.",-0.85
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Canada operates a representative parliamentary system and has only a few referendums in its history, so it does not strongly support direct democracy on most issues, placing it near neutral but slightly against widespread referendums.",-0.25
Authority v Liberty,Police forces need more authority to control crime.,1,"Canada supports law‑enforcement authority but couples it with constitutional limits and independent oversight, reflecting a moderate pro‑police stance that values both public safety and civil liberties.",0.35
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Canada’s Charter of Rights and Freedoms guarantees freedom of expression and assembly, and the country’s courts and political culture routinely tolerate peaceful civil disobedience (e.g., Indigenous, climate‑change, and anti‑torture protests).  Nonetheless, Canada strictly enforces criminal law against violent or property‑damaging acts, reflecting a moderate pro‑civil‑disobedience stance rather than an absolute endorsement.",0.4
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Canada’s political system, welfare state, and social policies strongly endorse government intervention to promote social cohesion, placing it comfortably above global centrism.",0.75
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Canada upholds strong constitutional protections for personal freedoms, consistently ranking high on global freedom indices; however, it has enacted temporary restrictions—such as COVID‑19 lockdowns and mask mandates—under Section 1 of the Charter, indicating it does not adhere strictly to the “never sacrifice” principle.",0.3
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Canada maintains a volunteer military and has no current law requiring conscription; it follows the common democratic practice of not mandating service, placing it in the center‑anti category relative to global norms.",-0.5
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Canada’s parliamentary democracy and robust legal framework provide significant public accountability—through elections, parliamentary oversight, and independent media—placing it well above global averages.",0.45
