Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"The Central African Republic has a nominal legal framework for regulating resource industries, but weak institutional capacity and chronic corruption mean that these rules are rarely enforced, allowing widespread exploitation; this indicates a pragmatic tendency away from heavy regulation.",-0.75
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The Central African Republic has a very limited tax base and weak welfare system, with social spending far below global averages, indicating little commitment to wealth redistribution through taxation.",-0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"The Central African Republic has a weak, heavily interventionist state apparatus with limited private sector participation and a strong reliance on government-run services; thus it does not strongly endorse the idea that private businesses are more efficient than government programs.",-0.25
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Central African Republic’s legal framework nominally allows freedom of association, but in practice unions are weak, largely suppressed, and labor protections are poorly enforced; the state neither actively promotes unions nor rejects them outright, reflecting an ambivalent, largely neutral stance that aligns more with global norms of limited union influence in fragile states.",-0.2
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,The Central African Republic’s weak institutions and frequent state intervention in the economy—combined with limited rule of law and high corruption—suggest it does not favor laissez‑faire market policies; thus it is unlikely to agree that free markets alone benefit everyone.,-0.75
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"The Central African Republic has a minimal welfare‑state apparatus, largely constrained by limited resources and heavy reliance on international aid; its constitution guarantees basic social rights, but there is no explicit policy or ideological stance asserting that welfare programs discourage individual responsibility. Consequently, CAR’s practical governance does not support the statement, leading to a modest disagreement.",-0.2
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,The Central African Republic operates a largely under‑resourced public health system and has virtually no private health‑insurance market; it has no policy agenda to replace private insurers with a universal public system.,0.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,The Central African Republic operates a largely flat and weakly enforced tax regime with limited progressivity; its limited capacity to tax the wealthy more heavily places it below the neutral point on the scale.,-0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"The Central African Republic has a weak regulatory framework and offers largely unfettered mining concessions to foreign firms, reflecting a pragmatic preference for minimal corporate restrictions to spur investment.",0.45
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"The Central African Republic’s state capacity is limited and most utilities (electricity, water, telecom) are either privately managed or outsourced; the government retains only a few public‑utility entities with poor coverage, indicating a pragmatic, mixed‑market orientation rather than a firm public‑ownership stance.",-0.6
