Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Chile endorses a largely market‑oriented economy with limited regulatory intervention, though it does enforce protective labor and environmental laws; globally this places it on the right side of the economic axis, favoring less heavy regulation.",-0.25
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Chile implements a progressive income tax, universal health and pension systems, and has recently pursued left‑wing reforms, indicating a belief that taxation can reduce inequality; however, its overall tax burden and social spending remain moderate, positioning it as centrist‑pro redistribution.",0.35
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Chile’s political and economic institutions are strongly oriented toward free‑market principles, with high rankings on economic freedom indices and a historical record of privatizing public services; consequently, Chile generally views private businesses as more efficient than government programs.",0.65
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Chile’s labor laws formally protect union activity and collective bargaining, aligning it with pro‑union positions worldwide, though union density is moderate compared to other OECD members.",0.5
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Chile consistently ranks among the world’s most economically free countries, with low regulation, open trade, and high ease of doing business, yet it maintains significant taxes, regulatory oversight, and social welfare programs, reflecting a generally pro‑free‑market position tempered by policy intervention.",0.7
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Chile maintains significant public welfare systems—universal health, free primary‑secondary education, and pension reforms—reflecting a policy stance that generally rejects the idea that welfare discourages responsibility, despite occasional right‑wing critiques.",-0.45
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Chile operates a mixed health system that includes both public (FONASA) and private (ISAPRE) insurers; recent reforms have expanded public coverage but private insurance remains a significant component. Consequently, Chile moderately supports a stronger public system while not fully endorsing the elimination of private insurers.",0.35
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Chile employs a progressive personal income tax system with a top marginal rate of 35 % and lower brackets that effectively exempt the poorest, but it does not levy a national wealth or inheritance tax and relies on a regressive VAT, positioning it moderately in favor of progressive taxation.",0.4
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Chile ranks among the most business‑friendly economies in Latin America, with low corporate taxes, a large number of free‑trade agreements, and a highly developed private sector that dominates mining and services; however, it also imposes notable labor protections, environmental safeguards, and a social safety net, placing it firmly on the pro‑minimal‑restriction side of the scale but not at the extreme of zero oversight.",0.65
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Chile’s utilities are largely privately operated under state regulation, though the government retains oversight and some public provision; this reflects a moderate lean toward privatization relative to the statement.",-0.1
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Chile’s mixed‑market system combines free‑market capitalism with substantial state intervention in social programs; the government recognizes that capitalism can produce inequality but believes regulation and welfare policies can mitigate it, so Chile would largely disagree that inequality and instability are inevitable.",0.0
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Chile’s long‑standing free‑market reforms and strong private‑sector innovation culture place it in the positive quadrant, though it still provides state support for key industries and R&D.",0.7
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Chile permits limited surveillance for national security under law, but strong constitutional privacy safeguards and an active civil‑society environment keep its stance moderate—accepting surveillance only within defined limits.",0.3
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Chile’s constitution and legal framework guarantee freedom of expression, with no criminal penalties for criticizing government officials, and its press and civil society enjoy robust rights—placing it among the top democracies globally.",0.9
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Chile’s democratic institutions, constitutional protections, and high civil‑rights rankings show a clear preference for preserving individual freedoms, with only narrowly scoped, legally justified restrictions for public order.",-0.25
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Chile maintains a representative democratic system with strong checks and balances, a vibrant multiparty arena, and high civil‑rights rankings, placing it firmly in line with global democratic norms and rejecting the preference for an authoritarian strong leader.",-0.75
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Chile has a representative democratic system that has used referendums mainly for constitutional reforms, but it does not routinely employ direct democracy for most policy decisions, placing it slightly in favor of referendums but not strongly.",0.2
Authority v Liberty,Police forces need more authority to control crime.,1,"Chile supports a measured expansion of police powers, emphasizing accountability and legal safeguards; this reflects a mild pro‑authority stance relative to global norms.",0.25
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Chile’s constitution guarantees freedom of assembly and the country has a long tradition of peaceful civil disobedience, aligning it with the global consensus that such protest is legitimate, although police crackdowns during large unrest have highlighted some tensions.",0.5
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Chile’s constitution and extensive welfare programs—universal health, education, and a state-guaranteed pension—show a belief that government authority helps maintain social cohesion. At the same time, the country embraces market liberalism, placing it moderately pro‑state but not fully authoritarian.",0.45
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Chile consistently upholds civil liberties through strong democratic institutions, high rankings in global freedom and human rights indices, and limited use of emergency powers that would infringe on personal freedoms, even during crises such as the COVID‑19 pandemic.",0.8
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Chile requires military service for male citizens, with alternatives and no obligation for women, indicating a moderate pro‑conscription stance relative to global norms.",0.25
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Chile’s democratic system, independent judiciary, and strong press freedom create robust mechanisms for public scrutiny of leaders, aligning Chile closely with the principle of strict accountability. Compared to global norms, Chile is decidedly pro‑accountability, though it does not implement recall mechanisms for all officials.",0.5
