Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"China employs extensive state regulation—particularly in labor, environment, and technology—to curb exploitation, aligning it strongly with the statement.",0.95
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"China adopts progressive income taxes, extensive poverty‑relief programs, and social welfare spending, yet it also permits significant private wealth growth, placing it in the moderately pro‑redistribution category on a global scale.",0.55
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"China recognizes private enterprises as key drivers of growth and often cites their efficiency, yet it continues to maintain significant state ownership and regulatory oversight, resulting in a modestly pro‑private stance.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"China’s constitution and labor law officially recognize trade unions as essential for protecting workers’ rights, yet the only union—the All‑China Federation of Trade Unions—is state‑controlled and largely limited to mediating rather than opposing employers, reflecting a moderate pro‑union stance.",0.3
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"China’s economic model is a “socialist market economy” that blends state control with market mechanisms; it does not endorse fully unregulated markets, so it disagrees with the statement.",-0.35
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"China promotes a “self‑reliance” ethos while maintaining a basic welfare safety net; the Party views welfare as a supportive tool rather than a deterrent to personal responsibility, so it largely disagrees with the statement.",-0.5
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,China operates a state‑run public health system while permitting private insurance to supplement coverage; thus it would likely slightly oppose a complete replacement of private insurers.,-0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"China implements a progressive personal income tax up to 45 % for high earners and uses tax revenue to fund social welfare, indicating support for higher taxes on the wealthy, though it lacks a dedicated wealth tax.",0.5
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"China’s mixed economy features significant state intervention, restrictive policies on foreign ownership and strategic sectors, and regulatory oversight that contrasts with minimal restrictions, placing it on the left side of the global economic spectrum.",-0.7
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"China’s constitution and national development plans emphasize state control over key utilities (energy, water, telecom), and major enterprises remain state‑owned; only limited, tightly regulated private participation exists, making the country markedly pro‑public ownership on the global scale.",0.8
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"China officially recognizes that unregulated capitalism can produce inequality and instability, but it promotes a state‑controlled “socialist market economy” that seeks to moderate these effects; thus it aligns moderately positively with the statement.",0.5
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"China prioritizes state‑led planning as the main engine of innovation, viewing profit‑driven activity as complementary rather than primary; thus it leans toward disagreeing with the statement.",-0.6
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"China’s legal framework (e.g., the Cybersecurity Law, National Security Law) and pervasive digital monitoring programs explicitly justify surveillance as essential for national security, placing it far above the global average in acceptance of such measures. Compared to most democracies, which typically restrict surveillance to specific legal safeguards, China’s stance aligns strongly with the statement.",0.95
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"China enforces strict laws against criticizing the government, with severe penalties and extensive censorship, placing it among the most restrictive states worldwide.",-0.95
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"China places a high priority on law and order, frequently curbing political, civil, and informational freedoms to maintain social stability, thus strongly supporting the statement.",0.9
Authority v Liberty,A strong leader is better than a messy democracy.,1,"China’s one‑party system and the recent emphasis on Xi Jinping’s “great power” narrative place it at the far end of the authoritarian spectrum, aligning strongly with the view that a single, strong leader is preferable to a potentially chaotic democracy.",0.9
Authority v Liberty,People should decide most issues directly through referendums.,-1,"China’s political system is a one‑party authoritarian state where policy decisions are made by the CCP hierarchy rather than by public referendums; formal direct voting on most issues is absent. Compared to global norms that favor representative democracy, China strongly rejects the idea of widespread referendums.",-0.9
Authority v Liberty,Police forces need more authority to control crime.,1,"China’s legal framework and governance model consistently emphasize strong police powers, extensive surveillance, and centralized control of public security to maintain social stability, indicating a clear pro‑police stance on the compass.",1.0
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"China’s legal and political framework rejects civil disobedience, viewing it as destabilizing and punishing it heavily. In contrast, many democracies consider civil disobedience a legitimate form of protest.",-0.9
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"China’s constitution, CPC-led governance, and extensive social‑control mechanisms (e.g., social credit, censorship, surveillance) underscore a strong conviction that government authority is essential for maintaining social cohesion.",0.85
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"China’s political system prioritizes state security over individual rights, often suspending civil liberties during crises, contrasting with liberal democracies that protect personal freedoms.",-0.85
Authority v Liberty,Military service should be mandatory for all citizens.,1,"China’s constitution and military law allow citizens to be called up for service, but in practice the People's Liberation Army is an all‑volunteer force with conscription rarely enforced, placing China firmly against universal mandatory service compared to many other major powers.",-0.4
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"China’s political system emphasizes internal Party discipline and state-controlled mechanisms rather than direct public oversight, limiting transparent accountability to the electorate compared with global norms that value open public scrutiny of leaders.",-0.6
