Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Costa Rica applies strong regulatory safeguards in labor, environment, and public utilities, indicating a left‑leaning approach to prevent exploitation, yet it sustains a largely market‑oriented economy with extensive free‑trade agreements, positioning it moderately to the left of the global center.",0.45
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Costa Rica operates a progressive tax regime and allocates a significant share of its budget to universal health care, free education, and social security, indicating strong support for redistribution as a tool to curb inequality, though its levels are moderate compared to the most extensive welfare states.",0.6
Economic (Left v Right),Private businesses are more efficient than government programs.,1,Costa Rica maintains a strong welfare system while promoting a liberal private sector through tax incentives and open trade; this pragmatic mix indicates a moderate belief in private efficiency but not a wholesale endorsement over government programs.,0.25
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Costa Rica’s constitution guarantees freedom of association and collective bargaining, and its labor laws (Ley de Trabajo, Ley de Seguridad Social) provide strong protections for workers, positioning the country as a leading pro‑union nation within the OECD. These institutional safeguards and high union density reflect a clear agreement that labor unions are essential for protecting workers’ rights.",0.9
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Costa Rica supports liberalized trade and business-friendly reforms, but it also maintains a sizable welfare state and regulatory framework, reflecting a pragmatic mixed‑market approach rather than a pure laissez‑faire stance. Hence, it would likely moderately disagree with the notion that free markets alone always benefit everyone in the long run.",-0.3
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Costa Rica’s policy framework—universal free education, public health coverage, and a comprehensive social security system—demonstrates a clear commitment to welfare, indicating that it largely disagrees with the idea that welfare discourages individual responsibility.",-0.65
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Costa Rica operates a universal public health system (CCSS) that covers all citizens, but private insurance remains available as a complementary option; thus the state largely supports public provision without fully eliminating private insurers.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Costa Rica employs a progressive income‑tax system that levies higher rates on the wealthiest earners, reflecting a moderate endorsement of the idea that the rich should pay more.",0.5
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Costa Rica’s policy framework combines moderate corporate taxes (≈30 %), strong labor and environmental regulations, and a robust social welfare system, indicating a preference for some oversight rather than minimal restrictions.",-0.5
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Costa Rica’s public utilities sector—water, electricity, health, and public transport—remains largely state‑owned, with the government actively investing in renewable energy and social welfare services. While the country allows private participation in telecommunications and some power generation, its overall policy leans strongly toward public provision of essential services, reflecting a pro‑public stance akin to many OECD nations.",0.8
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Costa Rica operates a mixed‑market economy that embraces capitalism for growth while implementing substantial social protections and regulatory frameworks to curb inequality, indicating a moderate endorsement of the statement.",0.25
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Costa Rica actively uses state planning to drive environmental and social goals—e.g., the National Green Economy Strategy and renewable‑energy mandates—while still fostering private R&D through tax credits and a relatively open business climate; this blend aligns more with a moderate state‑planning stance than a pure profit‑driven view.",-0.3
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Costa Rica’s legal framework strongly protects individual privacy, and the state has not adopted mass‑surveillance programmes; it allows limited, targeted monitoring only under strict judicial oversight for national‑security purposes. This places the country slightly to the left of the neutral point on a global scale of surveillance acceptability.",-0.25
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Costa Rica’s constitution guarantees freedom of expression (Art. 19) and there are no laws criminalizing political criticism; defamation laws apply only in the normal judicial sense. Compared with global norms, Costa Rica strongly supports open critique of government, though it maintains standard limits on incitement and defamation.",0.9
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Costa Rica maintains a strong rule‑of‑law framework while placing high priority on civil liberties—press freedom, free expression, and social welfare—so it typically resists prioritizing law and order at the expense of personal freedoms, unlike more authoritarian or right‑leaning states.",-0.1
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Costa Rica’s constitutional democracy, robust rule‑of‑law institutions, long‑standing anti‑military stance, and high scores on the Democracy Index and Freedom House rankings demonstrate a clear commitment to pluralism and checks on executive power, indicating strong disagreement with the notion that a strong leader is preferable to messy democracy.",-0.85
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Costa Rica’s democratic system is largely representative; while referendums have been held for specific constitutional or social issues, they are not used to decide most policy matters, making the country only modestly supportive of widespread direct democracy.",-0.1
Authority v Liberty,Police forces need more authority to control crime.,1,"Costa Rica’s legal framework and policy initiatives show a moderate stance: it supports strengthening police capabilities to curb crime, yet retains strong human‑rights safeguards, oversight bodies, and a tradition of community policing—placing it somewhat above neutral but far from advocating extreme police power.",0.2
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Costa Rica’s legal framework protects peaceful protest and has historically tolerated non‑violent civil disobedience as a democratic tool, while still limiting violent acts—placing it solidly in favor of civil disobedience but not endorsing extreme rebellion.",0.6
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Costa Rica’s long‑standing abolition of the army, universal healthcare, free education and strong environmental regulations illustrate a view that a robust government role is essential for social cohesion, a stance common among many welfare‑state democracies.",0.55
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Costa Rica consistently protects civil liberties and rarely suspends personal freedoms, yet it has imposed temporary, constitutionally‑backed restrictions during emergencies such as COVID‑19, indicating a pragmatic yet largely protective stance.",0.45
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Costa Rica abolished its army in 1948 and maintains no compulsory service or conscription policy, placing it at the extreme anti‑mandatory end of the scale, unlike most countries that retain or require military service.",-1.0
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Costa Rica maintains robust democratic institutions—free press, independent judiciary, strong anti‑corruption laws, and high transparency standards—ensuring leaders are subject to public scrutiny and legal accountability. While the country adheres to due‑process norms rather than instant removal for any perceived misconduct, its overall governance framework strongly supports strict public accountability.",0.75
