Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Cuba’s constitution guarantees social ownership of the means of production and the state regulates all major industries to protect workers and prevent exploitation, a stance that is markedly more interventionist than most market‑oriented economies worldwide.",0.8
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Cuba has long pursued a socialist economic model with progressive taxation and state ownership of major productive sectors, viewing wealth redistribution as a cornerstone of social justice and a means to curb inequality. Compared to most governments worldwide, which typically accept a mix of market mechanisms and moderate redistribution, Cuba’s stance is markedly pro‑redistributive.",0.8
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Cuba has historically promoted a socialist economy with state ownership and central planning, rejecting the notion that private enterprises are inherently more efficient; while recent reforms allow limited private activity, the government still emphasizes public control and remains skeptical of a fully market-driven model.",-0.9
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Cuba maintains a single, state‑controlled union (the Confederation of Cuban Workers) that it regards as essential for safeguarding worker rights, yet it restricts independent union activity to align with the Communist Party’s leadership, placing it firmly in the pro‑union camp but not advocating complete worker control of all workplaces.",0.7
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Cuba has consistently opposed unfettered free markets, favoring state ownership and central planning; since the 1960s its economy has remained heavily regulated, and the government has publicly rejected the idea that markets alone produce long‑term benefits for society.",-0.95
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Cuba’s long‑standing policy of universal health care, free primary and secondary education, and state‑subsidised food and housing demonstrates a firm commitment to collective welfare, and the government’s rhetoric frames such programs as tools for social solidarity rather than tools that undermine individual responsibility.",-0.85
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Cuba operates a single‑payer, state‑run health system that provides free universal care and prohibits private health insurance; thus the country strongly supports replacing private insurance with public coverage, a position far more pro‑public than the mixed or private‑heavy models common worldwide.",1.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Cuba’s constitution and tax code are explicitly progressive—personal income tax rises from 5 % to 20 % as wages increase, and the state has historically pursued policies to curb wealth concentration. While the top rate is moderate by global standards, the country’s socialist ideology strongly favors higher taxes on the affluent to promote equality.",0.7
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Cuba historically nationalizes major industries and requires state approval for large enterprises; although recent reforms allow limited private businesses, the government still insists on state control and oversight of corporate activity, rejecting minimal restrictions.",-0.92
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Cuba’s government has historically maintained state ownership of utilities—electricity, water, and gas—without any privatization initiatives, reflecting its entrenched socialist policies and resistance to market reforms that favor private ownership. This places Cuba at the extreme pro-public services end of the global spectrum.",1.0
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Cuba’s 1976 Constitution and subsequent reforms enshrine socialism as the state’s guiding ideology, with extensive state ownership of productive resources and a universal health‑and‑education system, arguing that capitalist markets breed inequality and social unrest worldwide.",0.9
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Cuba’s long‑standing socialist constitution and policy documents, such as the 2019 Constitution and the National Development Plans, explicitly emphasize state ownership and central planning, and Cuban leaders have repeatedly criticized profit‑driven capitalism as detrimental to social equity and national sovereignty. Thus, the regime’s position on the statement is strongly anti‑profit driven, favoring state planning.",-0.95
