Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"The Czech Republic enforces a mix of EU‑mandated and national regulations that protect workers, consumers, and the environment, yet it maintains a largely market‑oriented economy with relatively low corporate tax and business barriers. Compared to global norms, this represents a moderate, not “heavy,” regulatory stance aimed at preventing exploitation.",0.4
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The Czech Republic employs a flat personal income tax with limited progressivity and maintains social spending below the OECD average, indicating a moderate, not strong, endorsement of wealth redistribution relative to global norms.",0.25
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"The Czech Republic has undergone extensive privatization and liberalization since 1990, promoting a highly competitive private sector and ranking high on global ease‑of‑doing‑business indices, while still maintaining substantial public services (health, education, welfare). Compared to other mixed‑market democracies, it leans strongly toward private‑sector efficiency, though it does not reject public programs entirely.",0.6
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Czech law strongly protects workers through collective bargaining and works‑council structures, and the Czech Trade Union Confederation remains a major stakeholder in labor policy, indicating a firm endorsement of unions as essential for workers’ rights, though it does not pursue a fully union‑run economy.",0.6
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"The Czech Republic adopted a market economy after 1989, has a high level of economic freedom and low regulation, yet retains a welfare system and state involvement in key sectors. Compared to global standards, it moderately supports free markets but recognizes limits, placing it on the right‑leaning side of the compass.",0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"The Czech Republic operates a moderate welfare state with conditional unemployment and social assistance schemes designed to encourage employment, reflecting a stance that welfare does not inherently discourage responsibility.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"The Czech Republic operates a universal public health system that requires all citizens to join public health insurance, while private insurers exist only for supplemental coverage; there is no policy aimed at replacing private insurers, placing it moderately to the left of center on public healthcare.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"The Czech Republic implements a two‑tier progressive income tax (15% up to ~90 k EUR, 23% above) plus a modest solidarity surcharge, indicating support for higher rates on the wealthy, though the rate differential is smaller than in many highly progressive European countries.",0.35
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"The Czech Republic’s post‑communist reforms, 19 % corporate tax, and relatively streamlined business registration give it a pro‑growth stance, yet EU membership and domestic labor, environmental, and consumer‑protection laws keep regulatory limits above those of most ultra‑liberal economies.",0.25
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"The Czech Republic retains majority state ownership in key utilities such as ČEZ (electricity and gas) and most municipal water supplies, yet it actively participates in EU‑mandated liberalization and market competition. This places it slightly above neutral in favor of public ownership, but not at the extreme end.",0.35
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"The Czech Republic runs a largely free‑market economy under EU‑style social welfare and regulatory frameworks that have kept income inequality relatively moderate, showing that it does not see inequality and instability as inevitable outcomes of capitalism.",-0.3
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"The Czech Republic promotes private entrepreneurship and innovation—evidenced by its low corporate tax, extensive SME support, and high rates of patent activity—yet it also maintains substantial public R&D funding and state‑owned enterprises in key sectors, reflecting a balanced view between profit‑driven and state‑planned innovation.",0.45
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"The Czech Republic balances EU‑wide privacy obligations with domestic laws that permit data retention and targeted surveillance for national security, placing it modestly above the global average for pro‑surveillance governments.",0.4
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"The Czech Constitution guarantees freedom of expression, and the country consistently ranks among the top EU states for press freedom; there are no criminal penalties for criticizing the government, though occasional civil defamation suits may arise. Compared to global norms, the Czech Republic strongly supports free criticism.",0.75
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"The Czech Republic’s democratic institutions, EU membership, and constitutional court uphold civil liberties, indicating a general disagreement with prioritizing law and order over personal freedoms.",-0.3
Authority v Liberty,A strong leader is better than a messy democracy.,1,"The Czech Republic operates under a parliamentary democracy with a constitution that limits executive power, enshrines separation of powers, and guarantees civil liberties, reflecting a clear preference for democratic governance over a strong, centralized leader.",-0.6
Authority v Liberty,People should decide most issues directly through referendums.,-1,"The Czech Republic operates mainly as a representative democracy with infrequent referendums; it has only used direct referendums for a handful of constitutional or EU‑treaty matters, indicating a clear preference for representative decision‑making rather than widespread direct democracy.",-0.75
Authority v Liberty,Police forces need more authority to control crime.,1,"The Czech Republic’s police legislation grants substantial authority—arrest, search, and evidence‑gathering powers—yet imposes judicial oversight, internal disciplinary mechanisms, and constitutional limits, reflecting a moderate, rule‑of‑law‑oriented stance. Compared with global norms, Czech policy leans slightly pro‑police authority but remains well‑balanced, placing it modestly above neutrality.",0.3
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"The Czech Constitution protects the right to peaceful protest and assembly, and civil disobedience is generally tolerated as a legitimate means of dissent, though it is bounded by laws that prohibit violence or public disorder. Compared to global norms, the Czech Republic adopts a moderate, center‑pro stance on civil disobedience.",0.3
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"The Czech Republic maintains a welfare‑state framework with substantial public services (health, education, pensions) while preserving a largely free‑market economy and high protection of civil liberties, indicating a moderate endorsement of government authority to preserve social cohesion. Compared to global norms, its stance is slightly pro‑government but far from total state control, reflecting a centrist–slightly left tilt.",0.35
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"The Czech Republic upholds strong constitutional protections for civil liberties and generally adheres to EU norms, but it has enacted temporary restrictions on movement, assembly, and media during crises such as the COVID‑19 pandemic and anti‑terrorism measures, indicating a moderate alignment with the idea that personal freedoms should not be sacrificed even in emergencies.",0.35
Authority v Liberty,Military service should be mandatory for all citizens.,1,"The Czech Republic abolished conscription in 2004 and operates a fully professional volunteer army, indicating a strong rejection of mandatory military service for all citizens. Compared to global norms, this places the Czech stance firmly against universal conscription.",-1.0
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"The Czech Republic upholds democratic accountability through free elections, an independent judiciary, and active anti‑corruption institutions, though it lacks direct recall mechanisms; thus it supports public oversight moderately. Compared to global norms, its legal and civil‑society framework reflects a pro‑accountability stance but not the highest degree of public removal power.",0.25
