Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Egypt historically has relied on state intervention in key sectors, but recent reforms (e.g., telecom privatization and energy liberalization) show a shift toward market forces, so the government favors regulation that protects consumers and prevents exploitation rather than blanket, heavy control of every industry.",0.2
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Egypt’s government backs a modest level of redistribution through progressive taxation and social‑welfare measures, but it views such policies as a supplement rather than a fundamental cure for inequality, placing it below many European welfare states in terms of ambition.",0.25
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Egypt has pursued a mixed economy, privatizing key enterprises (e.g., National Bank for Development, National Railways) while retaining state control over strategic sectors such as energy, reflecting a moderate pro‑privatization stance aligned with many emerging economies.",0.35
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Egypt acknowledges the importance of unions via its state‑run General Federation of Egyptian Trade Unions and has introduced labor reforms that grant basic protections, yet it historically suppresses independent unions and limits strike actions, placing it in the moderate middle of the global spectrum.",0.3
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Egypt has pursued market‑oriented reforms—privatizing state enterprises, attracting foreign investment, and signing free‑trade agreements—yet it retains control over essential utilities, a strong regulatory environment, and significant public sector involvement, indicating a moderate pro‑free‑market stance rather than an extreme laissez‑faire position.",0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Egypt has historically maintained a social safety net—through subsidies on food, fuel, and the 2015 social assistance program—viewing such welfare as essential for social stability while encouraging gradual self‑reliance, rather than advocating complete abolition of these programs.",0.38
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Egypt maintains a largely public healthcare system but also encourages private insurance and private providers, especially in urban areas, and has not pushed for a full replacement of private insurers; thus its stance is moderately supportive of public health but not extreme.",0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Egypt has modestly increased taxes (e.g., a 14% VAT and a 10% personal income tax cap) and introduced a tax on luxury goods, but it has not adopted a highly progressive tax system targeting the wealthy, unlike many Western nations. Thus, its stance is moderately supportive of higher rates for the rich, though not extreme.",0.15
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Egypt has recently pursued market‑reform measures to attract foreign investment and reduce bureaucratic hurdles, yet it retains substantial regulatory oversight in key sectors such as energy, banking, and telecommunications, signalling a moderate, pro‑growth but regulated stance.",0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Egypt has traditionally kept utilities under state control, but since the 1990s it has gradually opened the sector to private investment through joint ventures and reforms, reflecting a moderate preference for public ownership tempered by limited privatization.",0.15
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Egypt endorses a mixed‑economy model, encouraging private enterprise and foreign investment while keeping key sectors under state control and implementing subsidies and social safety nets to curb inequality, reflecting a moderate critique of capitalism’s excesses.",0.25
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Egypt has long relied on state‑led planning for strategic sectors such as energy, infrastructure and agriculture, and while it has embraced privatization and public‑private partnerships, its official rhetoric still stresses the role of government coordination and social equity over unregulated profit motives.",-0.35
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Egypt has repeatedly used broad anti‑terrorism laws and intelligence agencies to monitor communications, citing national security, and its 2019 national security law allows surveillance with limited oversight—thus Egypt leans strongly pro‑surveillance compared to many liberal democracies but less extreme than totalitarian regimes.",0.7
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Egypt's current administration enforces strict media controls and criminalizes dissent through laws such as the Press Law and the Anti‑Terror Law, routinely detaining journalists and activists, thereby adopting a highly restrictive stance on free criticism compared to global norms.",-0.96
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Egypt’s government has repeatedly prioritized security over civil liberties, enacting anti‑terror and emergency laws that curb protests, press, and internet use; compared globally this places it on the more pro‑restrictive side of the law‑and‑order spectrum.",0.7
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Egypt’s current regime, led by President Abdel Fattah el‑Sisi, consistently stresses stability, security, and centralized authority, openly criticizing democratic reforms that could undermine its control, indicating a clear pro‑strong‑leader stance.",0.7
