Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"El Salvador operates a mixed‑market economy with labor, consumer protection, and environmental regulations that curb some exploitation, but it does not subject all sectors to stringent state oversight; recent state‑run initiatives and enforcement actions reflect moderate regulation rather than a comprehensive anti‑exploitation agenda.",0.25
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"El Salvador has a relatively low overall tax burden and limited welfare programs; its tax system is moderately progressive but does not aggressively target inequality, placing it slightly below many Latin American peers in terms of redistributive intensity.",-0.15
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"El Salvador operates a mixed economy with significant state interventions in strategic sectors (e.g., nationalized telecom, Bitcoin legal tender) yet maintains a robust private sector that employs a majority of workers and is encouraged through investment incentives. This pragmatic stance leans modestly toward believing private businesses are more efficient than government programs.",0.2
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"El Salvador historically supported robust union activity, but the current Bukele administration has passed restrictive legislation, curtailed union influence, and targeted union leaders, indicating a stance that diverges from the view that unions are essential for protecting workers’ rights.",-0.4
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"El Salvador runs a mixed‑market economy with significant state intervention—social welfare programs, price controls on utilities, and recent executive‑driven reforms—so its policies diverge from a purely laissez‑faire stance, aligning moderately against the claim that free markets alone benefit everyone.",-0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"El Salvador maintains a modest welfare system (e.g., pensions, food assistance, public education) while emphasizing law‑and‑order reforms and personal responsibility in its recent agenda. This mix yields a slight lean toward the view that welfare can reduce individual initiative, but not a strong endorsement.",0.2
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"El Salvador operates a mixed health system with a public Ministry of Health and a social security insurer, yet it has not moved to abolish private insurance; reforms aim to expand coverage rather than fully replace private insurers.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"El Salvador enacted a 15 % flat personal income tax in 2019, eliminating progressive brackets, and relies on a regressive VAT, indicating a policy stance contrary to the idea that the wealthy should pay higher rates. This places it on the anti‑progressive side of the compass, though not extreme.",-0.75
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"El Salvador’s recent economic agenda under President Bukele is largely pro‑business—free‑trade agreements, tax incentives for foreign investment, and a push for mining and digital‑currency projects—yet it has also raised corporate taxes and introduced regulatory measures aimed at curbing wealth concentration. These mixed signals place the country moderately on the pro‑minimal‑restriction side of the compass.",0.6
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"El Salvador has largely privatized its electricity and water sectors, while its telecommunications sector was briefly nationalized in 2019 but subsequently returned to private control, leaving the country with a predominantly mixed‑market utility system that leans toward privatization.",-0.25
