Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Ethiopia’s ruling Prosperity Party has historically kept state control over critical sectors—such as energy, telecom, and agriculture—while simultaneously launching reforms to open the market to foreign investment, indicating a moderate, pro‑regulation stance that seeks to prevent exploitation without fully abandoning market mechanisms.",0.45
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Ethiopia’s progressive tax framework, universal health care, free primary education, and ongoing anti‑poverty initiatives signal a clear endorsement of wealth redistribution through taxation, though the country’s overall tax burden remains modest compared to high‑welfare European nations.",0.45
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Ethiopia’s government has historically pursued a state‑led development model, maintaining significant state ownership in key sectors while encouraging private investment; it views private sector efficiency as important but believes that well‑managed public programs are essential for ensuring broad social welfare and national development.",-0.35
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Ethiopia has enacted labor laws that recognize the role of unions in protecting workers, yet it maintains tight state oversight and has frequently suppressed independent union activity, especially in the private sector; thus it views unions as useful but within a controlled framework.",0.3
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Ethiopia has progressively liberalized its economy—joining the EAC, signing trade agreements, and encouraging foreign direct investment—yet it maintains substantial state control in key sectors (agriculture, energy, and banking) and still imposes regulations, subsidies, and taxes. Compared with most high‑income economies that pursue near‑unrestricted markets, Ethiopia’s stance is more moderate, favoring market benefits while accepting necessary governmental intervention.",0.35
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Ethiopia’s government has implemented targeted welfare schemes such as the Productive Safety Net Programme, which couples aid with community work and income‑generating activities, reflecting a belief that social assistance should promote self‑reliance rather than foster dependency. Thus, while it acknowledges that poorly designed welfare can reduce individual initiative, it generally supports conditional aid as a development tool rather than advocating for its wholesale elimination.",-0.35
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Ethiopia has pursued a mixed health model, heavily investing in public health infrastructure and national health insurance to move toward universal coverage, while still permitting private insurance as a complementary option.",0.35
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Ethiopia has a progressive personal income tax structure that rises to 35 % for the highest earners, and it has recently enacted tax reforms aimed at raising revenue for development while giving preferential treatment to lower‑income households, indicating a moderate support for higher taxation of the wealthy relative to the poor.",0.4
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Ethiopia has undertaken significant regulatory reforms to attract foreign investment and has promoted industrial parks, yet it still maintains substantial state oversight in key sectors (e.g., banking, telecommunications, and natural resources) and requires joint‑venture participation for many foreign firms. Consequently, its stance is moderately liberal but not minimalistic, favoring controlled growth over unrestricted corporate freedom.",0.12
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Ethiopia’s 2007 constitution enshrines the public ownership of essential services, and the state retains majority control of Ethiopian Electric Power and the National Water Supply, reflecting a firm policy of keeping utilities public—a stance that places Ethiopia on the pro‑public side of the global trend toward privatization.",0.85
