Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Germany’s social‑market‑economy model embraces robust labor and environmental safeguards—e.g., the 2022 EU‑wide ""green deal"" and the country's 5 % minimum wage for part‑time workers—yet it balances these with market incentives and a preference for industry self‑regulation rather than state takeover. Compared globally, Germany sits above many Anglo‑American liberal economies in regulatory stringency but below the most heavily regulated states in Asia, positioning it as moderately pro‑regulation.",0.6
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Germany supports a progressive tax system and robust welfare programs to curb inequality, with top marginal tax rates around 45 % and extensive social benefits, but it does not advocate for complete wealth equalization.",0.75
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Germany’s social‑market‑economy model endorses private enterprise as efficient drivers of growth while maintaining state ownership in key sectors and a robust welfare state; the government actively supports private businesses through incentives, yet it also retains control over infrastructure, utilities, and public services.",0.25
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Germany maintains a strong social partnership system with mandatory works councils and a high union density (~50% of employees in the private sector), reflecting a robust commitment to protecting workers’ rights while balancing industrial competitiveness.  Germany’s stance is markedly pro-union on the global stage, but it does not endorse a fully worker‑run corporate model, placing it moderately high on the pro‑union spectrum.",0.8
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Germany upholds a social‑market‑economy model that favors competitive markets while insisting on robust regulatory safeguards, social welfare provisions, and environmental standards, reflecting its commitment to both economic freedom and social cohesion.",0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Germany maintains a comprehensive welfare state, but it is strongly coupled with active labour‑market policies that require participation in training or employment, reflecting a view that welfare should support responsibility rather than discourage it.",-0.45
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Germany maintains a universal public health system (GKV) that provides compulsory coverage for the majority, while private insurance remains available for high‑income individuals, indicating a moderate pro‑public stance rather than a full abolition of private insurers.",0.35
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Germany employs a progressive income tax system with marginal rates rising to 45 % for high earners and a solidarity surcharge, reflecting a moderate endorsement of higher taxes on the wealthy compared to many other industrialized nations.",0.4
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Germany pursues a social‑market‑economy model that blends free‑market growth with strong labor, environmental, and corporate‑governance regulations; it promotes the ""Mittelstand"" but requires compliance with EU and national standards that limit unrestricted corporate expansion.",-0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Germany’s energy, water, and transport infrastructures remain largely state‑owned or municipally operated, and the government has repeatedly opposed full privatization of critical utilities (e.g., 51 % of the German electricity grid is still owned by the state), placing it firmly in the middle of the global spectrum that ranges from liberalization in the US and UK to stricter public control in Scandinavia.",0.5
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Germany maintains a social‑market economy that acknowledges capital market benefits while actively countering inequality through progressive taxation, strong labor protections, and a comprehensive welfare state, indicating a moderate critique of unchecked capitalism but no move toward its abolition.",0.28
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Germany balances profit‑driven innovation with state‑led industrial policy, as demonstrated by its 2020 Industry 4.0 strategy and 2.3 % of GDP spent on R&D, indicating that both private enterprise and state planning are viewed as essential for societal benefit.",-0.15
Authority v Liberty,Government surveillance is acceptable if it protects national security.,-1,"Germany supports the use of surveillance for national security, but only under stringent legal safeguards and judicial oversight, reflecting its strong data‑protection traditions and past opposition to indiscriminate mass monitoring.",0.35
Authority v Liberty,Citizens should be free to criticize their government without consequence.,1,"Germany enshrines freedom of expression in Article 5 of its Basic Law, supports the right of citizens to criticize the government without retaliation, and consistently ranks among the world’s top democracies for free‑speech protections—though it does maintain legal limits on hate speech and Holocaust denial.",0.9
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,-1,"Germany historically emphasizes the rule of law and constitutional protection of fundamental rights, yet it has enacted robust anti‑terrorism and public security legislation that permits limited restrictions on freedoms when deemed necessary for public order, reflecting a moderate support for prioritizing law and order within a democratic framework.",0.35
Authority v Liberty,A strong leader is better than a messy democracy.,-1,"Germany, a parliamentary democracy with a robust tradition of checks and balances and a strong commitment to the rule of law, has historically rejected the concentration of power in a single strong leader; it supports a system of distributed authority and democratic accountability, making it one of the most anti‑authoritarian states on the global stage.",-0.8
Authority v Liberty,People should decide most issues directly through referendums.,1,"Germany’s Basic Law limits the use of binding referendums, and the country relies largely on a representative parliamentary system; while some German states occasionally hold referendums, the federal government rarely uses direct democracy, reflecting a cautious, moderate stance compared to the broader global trend.",-0.45
Authority v Liberty,Police forces need more authority to control crime.,-1,"Germany supports expanding police authority to combat crime, but insists on strict constitutional safeguards and oversight, favoring a balanced approach rather than unchecked power.",0.35
Authority v Liberty,Civil disobedience is a legitimate form of protest.,1,"Germany upholds civil disobedience as a legitimate democratic tool, consistently supporting non‑violent protest movements such as Fridays for Future and the 1960s student movement, while maintaining that it must remain within constitutional limits; the country’s constitution (Grundgesetz) guarantees freedom of assembly and expression, and German courts routinely protect peaceful civil disobedience. This moderate pro stance places Germany well above the neutral line in global discussions, yet it distinguishes itself by explicitly rejecting violent or unlawful forms of civil disobedience.",0.7
Authority v Liberty,Government authority is necessary to maintain social cohesion.,-1,"Germany’s constitution (Grundgesetz) and its social‑market‑economy model emphasize a strong but limited role for the state in fostering social cohesion—evidenced by extensive welfare laws, anti‑discrimination statutes, and a public consensus that government should ensure social stability without overriding individual freedoms. Globally, Germany sits on the moderate‑pro side, higher than many free‑market nations but lower than highly interventionist regimes.",0.4
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",1,"Germany strongly protects personal freedoms under its constitution (Grundgesetz) and has consistently upheld civil liberties, even while allowing legally constrained measures during crises such as the COVID‑19 pandemic; its stance is pro‑freedom but not extreme, favoring rule‑of‑law limits rather than blanket suspensions.",0.65
Authority v Liberty,Military service should be mandatory for all citizens.,-1,"Germany abolished compulsory military service in 2011 and now relies on a volunteer army; the federal government and major parties (CDU/CSU, SPD, Greens, FDP, and the Left) consistently oppose re‑introducing conscription, although fringe groups and some far‑right voices occasionally call for it.",-0.45
Authority v Liberty,Leaders should be held strictly accountable by the public.,1,"Germany’s constitutional framework and post‑war democratic culture place strong emphasis on rule‑of‑law and parliamentary oversight, ensuring leaders are publicly accountable through elections, judicial review, and media scrutiny; while it advocates rigorous accountability, it does not support immediate removal for every alleged transgression.",0.75
