Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Greece, as an EU member, implements comprehensive regulatory frameworks in finance, labor, consumer protection, and environmental standards, aligning it with a pro‑regulation stance, though it has also pursued market‑friendly reforms during its recent crisis.",0.55
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Greece’s tax system and social welfare provisions are markedly progressive compared with many global peers, and the country has historically relied on taxation to fund redistributive programs—though austerity measures in the 2010s temporarily weakened that effect.",0.55
Economic (Left v Right),Private businesses are more efficient than government programs.,1,Greece has implemented reforms that favor private-sector efficiency—such as privatization of state enterprises and deregulation—yet it still sustains a substantial public welfare system; thus its position is moderately pro‑private but not fully in favor.,0.2
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Greece’s labor law framework, high union density (~36 % of workers), and institutionalized social‑dialogue mechanism—where unions participate in collective bargaining and policy consultations—demonstrate a strong practical commitment to unions as essential safeguards for workers’ rights.",0.78
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Greece’s recent economic reforms (e.g., austerity measures, privatizations, and liberalization of certain sectors) signal a pragmatic support for market mechanisms, yet the state continues to regulate key industries, maintain substantial welfare provisions, and often intervene to safeguard public interests, reflecting a cautious rather than laissez‑faire stance.",-0.15
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Greece maintains a universal welfare system (pensions, health care, family allowances) yet has repeatedly enacted austerity measures that cut benefits, reflecting a moderate stance that does not strongly endorse the view that welfare discourages responsibility.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Greece already operates a universal public healthcare system (ESY) that provides baseline coverage, yet private insurance and private hospitals remain integral for supplementary services, indicating a pragmatic, mixed‑market approach rather than a full public takeover. This places Greece modestly toward supporting public healthcare but not fully endorsing the replacement of private insurers.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Greece’s tax system is strongly progressive, with top marginal personal income tax rates at about 45 % and a high overall tax‑to‑GDP ratio, indicating a policy stance that the wealthy should pay more; this aligns with the statement.",0.5
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Greece’s regulatory framework—characterized by significant social‑welfare obligations, labor protections, EU competition rules, and a relatively high corporate tax—places it modestly to the left of a minimal‑restriction stance; while it preserves private enterprise, the overall environment is not fully conducive to unrestricted corporate growth.",-0.25
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Greece’s Constitution and current law still keep key utilities (electricity, water, rail) under public ownership, though the government has made limited privatization moves, placing the country moderately on the pro‑public utilities side.",0.25
