Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Guyana enacts regulatory measures, notably in petroleum and labor, yet maintains a largely market‑oriented economy, positioning it slightly left of center relative to global norms.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Guyana has a progressive tax regime and runs modest social‑welfare programs, signalling a left‑leaning view that redistribution matters, but its overall fiscal burden and social spending remain moderate compared with full welfare states.",0.35
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Guyana’s recent liberalisation of its oil and mining sectors, the improvement in its Doing Business ranking, and active encouragement of foreign private investment signal a moderate preference for private‑sector efficiency, while the government still retains control over key utilities and public services—placing it slightly above neutral.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Guyana’s constitution and labour legislation explicitly protect workers’ right to organize and bargain collectively; the government has historically endorsed union‑led negotiations and passed reforms to strengthen collective bargaining, aligning it with a pro‑union stance seen in many mixed‑market democracies.",0.75
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Guyana has adopted market‑oriented reforms—free‑trade agreements, liberalization of the oil sector, and foreign investment incentives—yet it retains significant state control in strategic industries and employs protectionist measures. This mixed‑economy stance signals moderate support for free markets, but not a full laissez‑faire conviction.",0.25
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Guyana maintains extensive welfare programs and subsidies, reflecting a left‑leaning orientation that views such assistance as essential for poverty reduction rather than as a deterrent to personal responsibility.",-0.35
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Guyana offers free, publicly funded primary and secondary care and is actively expanding universal coverage, yet it permits private health insurance and has not legislated a full replacement of private insurers, placing its stance modestly pro‑public but not fully single‑payer.",0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Guyana’s personal income tax is progressive, with a top marginal rate of 35 %, which indicates a modest endorsement of higher rates for the wealthy—though lower than many OECD countries—placing it slightly to the left of center.",0.2
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Guyana has moved toward a market-oriented economy, particularly with its 2018 mining law and oil sector incentives, but still retains significant state ownership and regulatory oversight, placing it on the pro‑business side yet not fully free.",0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Guyana keeps its electricity, water, and oil & gas utilities under state ownership and has not pursued major privatization of these services, placing it well above the global average of mixed‑ownership states.",0.75
