Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Haiti has limited regulatory frameworks and weak enforcement of labor and environmental laws, so its industrial sector remains largely unregulated; it does not align with a stance calling for heavy regulation to prevent exploitation. Compared with global norms, Haiti’s position leans toward minimal regulation.",-0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Haiti’s tax base is narrow and its social‑welfare mechanisms underdeveloped; while the state acknowledges poverty concerns, it lacks the fiscal capacity to use progressive taxation for major redistribution, placing it slightly below neutral on the universal political compass.",-0.1
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Haiti’s weak state capacity and frequent reliance on private and NGO‐led service delivery reflect a pragmatic view that private actors are often more efficient than government programs, yet the country has not pursued sweeping privatization reforms, keeping it only slightly right of center compared to global mixed economies.",0.25
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Haiti’s labor laws formally recognize unions as necessary for protecting workers’ rights, yet union density remains extremely low and enforcement is weak, so the country leans modestly pro‑union compared with many global peers.",0.3
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Haiti has historically implemented protectionist trade policies, high tariffs, and regulatory burdens, and its weak institutions and heavy reliance on foreign aid mean it views free markets alone as insufficient for broad benefit. Thus, Haiti would generally disagree with the statement.",-0.55
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Haiti’s government operates with a very limited welfare infrastructure and heavily relies on international aid, reflecting a cautious stance that welfare programs can foster dependency; relative to larger welfare states, Haiti’s position is modestly anti‑welfare.",0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Haiti’s health system remains fragmented, with limited public coverage and almost no private insurance market; the government has not pursued a policy to replace private insurance with a fully public system.",0.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Haiti’s personal income tax is technically progressive (15‑35 %) but the thresholds are very low, overall tax rates remain modest, and enforcement is weak; compared to OECD averages it falls well below the level that would support “significantly higher” rates for the wealthy.",-0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Haiti’s business climate is heavily regulated and burdened by bureaucratic, tax, and trade restrictions, with weak enforcement of property rights and high corruption levels—features that diverge from a minimal‑restriction, free‑growth model.",-0.5
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Haiti has largely operated essential utilities through private concessions and pursued privatization reforms, diverging from the public‑ownership stance typical of more welfare‑state oriented countries.",-0.6
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Haiti’s experience with neoliberal reforms, high inequality, and frequent political instability leads it to view capitalism as a major driver of inequality and instability, while its weak state remains largely dependent on external aid rather than state‑controlled economics.",0.55
