Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Honduras has historically pursued neoliberal reforms with limited regulatory frameworks, but the current left‑leaning administration is beginning to introduce stronger labor protections.  Enforcement remains weak, so the alignment with heavy regulation to prevent exploitation is only modest.",0.15
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Honduras historically has a low tax-to‑GDP ratio and limited welfare spending, but recent left‑leaning governments have begun raising progressive taxes and expanding social programs, positioning the country modestly on the left of the universal compass.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Honduras has pursued extensive privatization and free‑market reforms since the 1990s, yet it still maintains key state institutions, reflecting a moderate pro‑private‑sector stance compared to most global economies. This positions the country at about +0.55 on the universal political compass for the statement that private businesses are more efficient than government programs.",0.55
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Honduras legally recognizes union rights and includes collective‑bargaining provisions in its labor code, yet enforcement is weak and historical government repression has limited union influence, placing it slightly below the global average for pro‑union support.",-0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Honduras has pursued neoliberal reforms such as privatization and free‑trade agreements, yet its economy remains heavily regulated and state‑dominated in key sectors, and widespread inequality and weak rule of law limit the benefits of unregulated markets. Consequently, Honduras leans modestly in favor of free markets but recognizes that additional regulation is needed to ensure broad societal gains.",0.25
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Honduras has introduced conditional cash transfers and a state‑run health program, showing support for welfare, yet its limited welfare infrastructure and dependence on private markets suggest a moderate left position rather than a full‑spectrum welfare state.",-0.4
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Honduras operates a mixed health system with a public component (SUS) but still relies heavily on private insurance and out‑of‑pocket payments; it has not pursued a full replacement of private insurers, so its stance aligns weakly against the statement.",-0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Honduras employs a modestly progressive income tax (15–25 %) but relies largely on flat consumption and corporate taxes, resulting in a low overall tax burden and limited fiscal pressure on the wealthy. Compared to global norms, this reflects a mild endorsement of higher taxes on the rich rather than a strong progressive stance.",0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Honduras has pursued liberal trade agreements (e.g., CAFTA‑DR) and has a relatively moderate regulatory framework, yet it still imposes significant taxes, labor, and environmental regulations, and retains state control over some utilities, so its corporate restrictions are not minimal but lean moderately pro‑business.",0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Honduras has largely privatized its electricity and water sectors, with private firms operating most services while the state retains regulatory oversight. Compared with global norms, this places Honduras on the right of the public-service scale, opposing the idea that utilities should remain fully public.",-0.45
