Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Iceland enforces strong regulations in key sectors such as fisheries, labor, environmental protection, and consumer rights, indicating a moderate lean toward heavy industry regulation, while its small, low‑tax economy limits state control over many other sectors.",0.45
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Iceland operates a highly progressive tax regime and extensive welfare programs—universal health care, free education, and generous social transfers—indicating strong support for wealth redistribution relative to many global peers.",0.75
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Iceland combines a robust welfare system with a competitive private sector; OECD data shows high efficiency in public services (health, education), suggesting a balanced view that does not endorse a blanket superiority of private business.",-0.25
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Iceland’s labor laws and high unionization rates (≈45 % of the workforce) reflect a strong institutional endorsement of unions as essential for protecting workers’ rights, aligning with Nordic pro‑union norms on the global scale.",0.8
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Iceland runs a largely free‑market economy but retains substantial state regulation—especially in fisheries, social welfare, and high taxes—so it generally disagrees with the idea that an unregulated market alone benefits everyone.",-0.33
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Iceland’s welfare system combines universal benefits with active labor‑market policies that mandate job search and training, reflecting a belief that a safety net can coexist with personal responsibility; thus the country would regard the claim as largely inaccurate and place its stance modestly on the anti‑welfare side of the scale.",-0.2
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Iceland provides universal public healthcare that covers all residents, while private insurance remains largely supplemental (e.g., dental, optional services). This reflects a moderate pro‑public stance that aligns with many welfare‑state models but does not fully eliminate private insurers.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Iceland operates a progressive income tax system with top marginal rates near 46% for high earners compared to roughly 20% for lower earners, placing it in line with many OECD welfare states that favor higher taxation on the wealthy.",0.5
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Iceland offers a relatively low corporate tax rate and a business‑friendly regulatory framework, yet it maintains significant labor protections, environmental safeguards, and welfare‑state obligations that limit the extent of minimal restrictions.",0.25
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Iceland’s electricity, water, and most telecommunications services remain largely state‑owned or under strong public regulation, with only limited private participation, placing it above neutral and closer to the pro‑public end of the universal scale.",0.7
