Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"India maintains a substantial regulatory framework—labour laws, consumer protection statutes, environmental norms, and competition law—to curb exploitation, yet it also pursues liberal economic reforms; thus its stance is moderately pro‑regulation compared to global norms.",0.45
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"India uses progressive income tax rates and a suite of social welfare programmes to curb inequality, positioning it more favorably toward redistribution than many emerging economies, though its policies are less extensive than the most progressive Nordic models.",0.45
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"India’s post‑1991 reforms have progressively opened markets and encouraged private enterprise, yet substantial state involvement remains in key sectors and public programs, positioning the country moderately in favor of private efficiency but not fully privatized.",0.35
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"India’s Constitution safeguards workers’ rights and sustains a robust union framework, though recent market reforms have tempered union influence; overall the country views unions as essential for protecting labor rights.",0.65
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"India follows a mixed‑economy model with significant state intervention and regulatory oversight in key sectors, preferring a regulated market over a completely unregulated one; thus it only partially supports the idea that fully free markets benefit everyone.",-0.15
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"India’s constitution and welfare programs (e.g., Ujjwala, MGNREGA, Ayushman Bharat) demonstrate a strong commitment to social protection, while economic initiatives such as “Make in India” and “Startup India” emphasize self‑reliance—so the country generally views welfare as a safety net rather than a discouragement of individual responsibility.",-0.35
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"India guarantees a right to health and operates large public insurance schemes, yet a substantial private insurance sector remains; the country has not moved to replace private insurers with an exclusively public system.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"India applies a progressive income‑tax framework that imposes higher rates on richer brackets, yet the top marginal rates and surcharges are relatively modest compared to many developed economies, indicating a moderate pro‑progressive stance.",0.25
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"India has liberalized its economy and reduced many barriers, yet it retains substantial regulatory, labor, and environmental restrictions on corporations, placing it modestly above the global center on a minimal‑restriction scale.",0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"India maintains core utilities (electricity distribution, railways, water supply) under public control while progressively liberalising sectors such as telecom and power generation, giving it a moderate, mixed stance that leans slightly toward keeping essential services public.",0.3
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"India endorses a mixed economy that leverages capitalist mechanisms for growth while deploying extensive state interventions to curb inequality and maintain stability, indicating a moderate agreement with the statement.",0.25
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"India supports profit‑driven innovation through its booming private tech and manufacturing sectors, yet it still relies on significant state planning for infrastructure, regulation, and public welfare—placing it moderately in favor of the statement compared to global norms.",0.25
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"India’s constitution permits restrictions on privacy for security purposes, and its legislation (e.g., the Information Technology Act, National Security Act) actively authorizes surveillance to protect national security, indicating a pro‑surveillance stance albeit with some judicial safeguards.",0.25
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"India’s constitution guarantees freedom of expression, and the country regularly holds elections and permits public dissent, but laws such as sedition, criminal defamation, and recent crackdowns on journalists and opposition leaders mean critics can face legal consequences—placing India above restrictive regimes yet below the most open democracies.",0.35
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"India permits certain restrictions on civil liberties to maintain public order (e.g., anti‑terror laws, election‑time curfews), yet it retains constitutional protections for freedom of speech and assembly, placing it moderately pro‑law‑and‑order but not fully authoritarian.",0.3
Authority v Liberty,A strong leader is better than a messy democracy.,1,"India’s constitution guarantees a democratic framework with checks and balances, and its political culture is oriented toward pluralism and regular elections, so it generally rejects the notion that a single strong leader is preferable to democratic governance, though it does exhibit a strong central executive.",-0.45
Authority v Liberty,People should decide most issues directly through referendums.,-1,"India’s constitution and political practice emphasize representative democracy; nationwide referendums are rare and largely absent, indicating a moderate disagreement with the idea that most issues should be decided directly by the people.",-0.6
Authority v Liberty,Police forces need more authority to control crime.,1,"India’s major political parties and public opinion largely favor increased police powers to curb crime, yet constitutional safeguards and civil‑rights movements temper this stance, placing the country moderately pro on the scale.",0.35
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"India’s constitution guarantees freedom of expression and assembly, and its history—from Gandhi’s non‑violent campaigns to contemporary mass protests—shows that civil disobedience is generally tolerated and even celebrated, though the state may impose limits on disruptive actions.",0.4
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"India upholds social cohesion through constitutional safeguards, affirmative‑action policies, and secular laws while still preserving broad civil liberties, placing it firmly on the pro‑government side but not at the extreme end.",0.5
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"India's constitution safeguards personal freedoms but explicitly permits restrictions during emergencies, reflecting a pragmatic stance that differs from an absolute non‑sacrifice position.",-0.25
Authority v Liberty,Military service should be mandatory for all citizens.,1,"India has no conscription law and its armed forces are recruited voluntarily, indicating a stance that does not support mandatory military service.",-0.5
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"India’s constitution and legal framework provide mechanisms for holding leaders accountable—e.g., the judiciary, anti‑corruption laws, and the Right to Information—but enforcement is uneven, with persistent concerns over political patronage and delayed prosecutions, placing it modestly pro‑public accountability.",0.3
