Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Indonesia supports regulatory oversight to prevent exploitation, particularly in natural resource sectors such as mining and oil & gas, but it also promotes private investment and seeks to reduce burdensome regulation in other industries, placing its stance moderately pro‑regulation relative to global trends.",0.35
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Indonesia has implemented a progressive income tax and social welfare schemes such as Raskin and Jaminan Sosial Nasional, showing support for redistribution, yet it maintains a largely market‑oriented economy and does not pursue the extreme equality measures of Nordic social democracies. Compared to other developing countries, Indonesia’s stance is moderately pro‑redistribution but far from the most progressive.",0.38
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Indonesia generally endorses private sector efficiency and has pursued privatization and public‑private partnership reforms, yet it retains significant state control in strategic industries such as energy, banking, and infrastructure, reflecting a balanced, moderate pro‑private stance in the global context.",0.35
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Indonesia constitutionally protects labor rights and supports union formation, but recent reforms (e.g., the 2007 Labour Law and 2018 amendments) have introduced restrictions on union political activity and employer flexibility, reflecting a moderate pro‑union stance rather than an extreme endorsement.",0.35
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Indonesia has steadily liberalized its economy since the late 1990s, encouraging foreign investment and private enterprise while maintaining significant state ownership in key sectors and a robust regulatory framework to protect local industries and public welfare. This balanced approach indicates a moderate support for free markets tempered by interventionist policies.",0.45
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Indonesia’s welfare policy—such as the conditional Bansos (social assistance) and the Kartu Prakerja job card—targets poverty reduction while mandating work‑search or training, reflecting a moderate stance that welfare can support, not replace, personal responsibility.",-0.35
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Indonesia has moved toward universal coverage through the compulsory BPJS health insurance scheme, yet it still allows and encourages private insurance for supplementary services, reflecting a mixed public–private approach rather than a complete abolition of private insurers.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Indonesia employs a progressive income‑tax system with a top marginal rate of 30% for earnings above roughly IDR 500 million, yet its overall tax‑to‑GDP ratio hovers around 10%, indicating a moderate, not overly aggressive, stance compared to high‑tax European democracies.",0.35
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Indonesia has pursued market‑friendly reforms to boost corporate growth, but it retains regulatory oversight—especially in strategic sectors such as energy, banking, and telecommunications—indicating a moderate pro‑business stance rather than an extreme laissez‑faire approach.",0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Indonesia maintains significant state ownership in core utilities—electricity (PLN), water (PDAM), and natural gas (Pertamina)—while permitting regulated private participation; this reflects a moderate pro‑public stance that is less extreme than the fully privatized model favored by many liberal‑market nations.",0.25
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Indonesia adopts a mixed‑economy model, endorsing free‑market capitalism for growth while using state intervention, social safety nets, and regulatory frameworks to curb inequality and maintain stability; it does not call for abolishing capitalism outright.",0.15
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Indonesia promotes a mixed economy, encouraging private profit-driven innovation through liberalization and incentives while retaining state planning for strategic sectors such as energy, telecom, and infrastructure to meet national development goals. The government has repeatedly highlighted the complementary roles of market forces and public policy in fostering sustainable growth.",0.3
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Indonesia has enacted several laws that explicitly permit government surveillance of communications and activities under the pretext of protecting national security, and it routinely employs such powers in anti‑terrorism and counter‑insurgency operations, placing it above many liberal democracies in tolerating surveillance but far below authoritarian regimes that monitor all citizens constantly.",0.45
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Indonesia’s constitution guarantees freedom of expression, yet the government often relies on defamation, anti‑terrorism and “blasphemy” statutes to limit criticism, especially online, reflecting a moderate pro‑freedom stance that still imposes significant constraints.",0.25
