Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"The Iranian government, operating under the Islamic Republic framework, historically nationalizes key sectors such as oil, gas, and strategic industries, and imposes strict regulatory oversight to protect domestic production and curb exploitation—particularly of labor and natural resources—making it more interventionist than many Western free‑market economies.",0.75
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Iran’s constitution enshrines social justice and the state has implemented progressive taxation, subsidized food and medicine, and social welfare programs aimed at reducing income gaps, reflecting a moderate support for redistribution; however, persistent corruption, inefficient tax collection, and high defense spending temper the extent of these policies compared to more egalitarian models worldwide.",0.57
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Iran’s economic doctrine has long emphasized state control, especially over strategic sectors such as oil, gas, banking and infrastructure, and the government frequently cites self‑sufficiency and protection against foreign influence as reasons for maintaining public programs, so it would view the claim that private businesses are more efficient with strong skepticism.",-0.68
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Iran’s constitution and labor laws acknowledge workers’ right to unionize, but the government tightly regulates unions through the Ministry of Labor, and independent union activity is heavily restricted; thus Iran sees unions as necessary only within a controlled, state‑managed framework.",0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Iran’s economy is dominated by state ownership and subsidies—particularly in oil, agriculture, and social welfare—and the government routinely uses price controls, quota systems, and extensive subsidies to manage markets, reflecting a clear rejection of laissez‑faire economics.",-0.85
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Iran’s state‑led welfare system—encompassing universal health care, pensions, and food subsidies—is framed as a moral obligation of the Islamic Republic, yet the government stresses that these programs must be coupled with personal and social responsibility and are not intended to foster dependency. Consequently, Tehran generally rejects the claim that welfare discourages individual responsibility.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Iran’s constitution guarantees universal healthcare and its Ministry of Health has repeatedly promoted a national public health system that expands coverage and aims to curb reliance on private insurance, reflecting a strong preference for state‑run services. While private insurers exist, the government’s policy trajectory and public statements show it favors a publicly financed system, with recent plans to phase out most private insurance arrangements.",0.85
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Iran’s Islamic Republic promotes social justice through a progressive personal income tax system that caps the highest marginal rate at about 35 % for the wealthiest, while maintaining generous subsidies for lower‑income households; compared with global norms where top rates range from roughly 37 % (U.S.) to 55 % (Nordic countries), Iran sits in the moderate‑pro progressive band.",0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Iran’s economic policy is heavily state‑oriented, with nationalization of key sectors such as oil and gas and strict regulatory controls on foreign and domestic corporations to safeguard national interests; this contrasts with the liberal free‑market stance of many Western economies.",-0.75
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Iran’s constitution and long‑standing economic policy have kept utilities such as electricity, water, and gas under state control; while short‑lived reform efforts were considered, the government halted privatization plans, positioning Iran far more favorably toward public ownership than many global peers that have largely privatized these services.",0.85
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Iran officially condemns neoliberal capitalism as a source of inequality and instability, advocating strong state control over key industries while permitting limited market activity; it ranks among the world’s most vocal critics of free‑market reforms, reflecting a substantial anti‑capitalist stance.",0.8
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Iran’s economy is largely state‑controlled, with the government directing key sectors such as oil, gas, and defense; private enterprise is permitted but tightly regulated and subordinated to national priorities, especially under sanctions. The Iranian leadership has repeatedly emphasized that profit‑driven innovation must serve the interests of the nation and Islamic values, and has historically favored state planning over unrestricted market forces.",-0.65
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Iran has long employed extensive surveillance—through the Ministry of Intelligence, the Islamic Revolutionary Guard Corps, and state‑run telecom providers—to monitor citizens, activists, and dissenters, viewing it as essential for safeguarding national security against both internal and external threats. This stance places Iran among the most pro‑surveillance states globally.",0.8
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Iran’s political system is a theocratic Islamic Republic where criticism of the government, especially the Supreme Leader, is routinely criminalized; journalists and activists are routinely detained or executed for dissent. This stance is far more repressive than the majority of democracies, placing it among the most extreme positions against unfettered political critique worldwide.",-0.95
