Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Italy supports a regulatory framework to protect workers and consumers—evidenced by EU‑mandated labor and environmental directives and national laws on exploitation—but it generally favors a balance between regulation and market freedom, resisting the kind of heavy, pervasive state control implied by the statement.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Italy upholds a progressive tax system with high marginal rates and a comprehensive welfare state, reflecting a pro‑redistribution stance comparable to many OECD members, though fiscal constraints and political pluralism keep it from adopting the most extreme redistribution measures.",0.55
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Italy promotes private sector efficiency through market‑oriented reforms, yet retains significant state ownership in key industries and supports public programs for social and strategic purposes; its policies reflect a moderate blend of liberalization and interventionism typical of many EU economies.",0.45
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Italy historically upholds strong labor unions, with a high union density and legal frameworks that mandate collective bargaining; while recent reforms under the current coalition have moderated some union powers, unions remain a key protector of workers’ rights, making Italy moderately pro‑union on the global stage.",0.65
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Italy generally supports a regulated free‑market system, endorsing competition and private enterprise while maintaining significant government intervention in the form of social welfare, labor protections, and fiscal policy, in line with broader EU economic models.",0.3
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Italy has a long tradition of a mixed welfare state that combines universal benefits with strong work‑incentive mechanisms, and the government routinely stresses that welfare should not replace personal responsibility; thus it largely rejects the claim that welfare discourages responsibility.",-0.35
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Italy’s Servizio Sanitario Nazionale, established in 1968, guarantees universal, tax‑funded care that is the primary health‑care provider, while private insurance is tolerated only as a supplementary, often elective, option.",0.7
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Italy operates a progressive tax system, with top marginal rates reaching 43% for high earners and a strong emphasis on social welfare, positioning it moderately in favor of higher taxes on the wealthy compared to many global peers.",0.45
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Italy balances growth incentives with regulatory safeguards; it has pursued reforms to cut red‑tapese while upholding strong labor, environmental, and consumer protections, reflecting the EU’s social‑market economy approach.",-0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Italy retains significant state participation in key utilities—e.g., the Italian government owns about 29 % of Enel and fully controls major water and rail operators—yet it also promotes regulated private investment and market competition; thus it leans moderately toward public ownership rather than full privatization.",0.25
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Italy supports a regulated market economy with strong social safety nets, acknowledging that unchecked capitalism can generate inequality and instability, yet it does not advocate for the abolition of private enterprise.",0.05
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Italy promotes a mixed economy that encourages private profit‑driven innovation while still employing significant state planning, especially in strategic sectors, so its stance is moderately pro‑market but not extreme.",0.35
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Italy accepts government surveillance for national security, but only within the strict limits of its constitution, EU data‑protection rules, and court‑approved oversight; the country balances security interests against privacy rights more than many US or Middle‑East states but less restraining than some Nordic nations.",0.2
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Italy protects the right to criticize the government as a core democratic principle, but it also imposes limited restrictions on defamation, hate speech, and incitement, placing it moderately in favor of free criticism relative to most liberal democracies.",0.7
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Italy upholds constitutional rights while supporting targeted law‑and‑order measures such as anti‑terrorism legislation and temporary restrictions on public demonstrations, reflecting a balanced, moderately pro‑security stance that respects civil liberties.",0.25
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Italy’s parliamentary system, enshrined in a robust constitution and EU commitments, places a premium on checks and balances and coalition governance; while some parties occasionally laud strong executive leaders, the national consensus remains firmly against concentrating power in a single individual.",-0.35
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Italy’s constitution permits referendums only for specific constitutional changes or limited public questions; historically it has held only a handful of referendums (e.g., 1974 divorce, 1978 abortion, 2016 constitutional reform) and otherwise relies on parliamentary decision‑making. Thus Italy is moderately pro‑direct democracy but far from advocating referendums for most issues.",0.1
Authority v Liberty,Police forces need more authority to control crime.,1,"Italy has repeatedly passed laws that expand police authority to combat organized crime and terrorism—most notably Law 112/2019—while preserving judicial oversight and constitutional safeguards, reflecting a moderate pro‑stance. Compared to more expansive policing regimes in the U.S. or restrictive approaches in some EU neighbors, Italy’s position leans toward enhanced police powers but within a balanced, rights‑protected framework.",0.35
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Italy’s constitution guarantees the right to peaceful protest and the courts have historically upheld civil disobedience as a legitimate democratic tool, while still enforcing legal limits; thus Italy supports civil disobedience in principle but not without restraint.",0.35
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Italy’s constitution and social‑policy framework emphasize state responsibility for social welfare, public order, and integration, reflecting a belief that government authority is a key tool for maintaining social cohesion while still upholding individual rights. Compared to global norms, Italy holds a moderate pro‑state position—stronger than ultra‑libertarian regimes but less extreme than authoritarian states.",0.35
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Italy’s constitutional framework strongly protects civil liberties, yet the government has repeatedly invoked emergency powers—most notably during the COVID‑19 pandemic—to impose temporary restrictions, reflecting a moderate, pragmatic balance rather than an absolutist stance on freedom.",0.25
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Italy abolished compulsory military service in 2005 and operates an all‑volunteer armed force; the country remains one of the few EU states that do not require universal conscription, indicating a moderate stance against mandatory service in the global context.",-0.25
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Italy maintains a strong tradition of anti‑corruption laws, an active civil‑society sector, and constitutional mechanisms that require public accountability for leaders, positioning it above the global median in favor of strict public scrutiny.",0.65
