Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Kazakhstan maintains strong state control over key natural resource sectors (oil, gas, mining) and has enacted regulatory laws to curb exploitation, yet its overall economic system remains largely market‑oriented, placing it moderately to the left of the global average on regulation intensity.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Kazakhstan operates a flat 10 % personal income tax and moderate social spending (~12 % of GDP); its tax system lacks progressive elements, indicating a less robust reliance on redistribution through taxation compared to many welfare‑state economies.",-0.15
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Kazakhstan pursues a mixed‑market model with substantial state participation, yet has reformed its economy to attract private investment, indicating a moderately pro‑private efficiency view compared to global standards.",0.25
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Kazakhstan’s labor law permits unions, but government oversight, low union density, and limited collective‑bargaining power show a restrictive environment, indicating a negative stance toward the necessity of unions for protecting workers’ rights.",-0.7
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Kazakhstan has pursued market‑oriented reforms and joined multiple free‑trade agreements, yet its economy remains heavily state‑controlled in key sectors such as energy, mining, and telecommunications. Compared to global norms, this hybrid model indicates a cautious, moderately left‑leaning stance toward unregulated free markets, leading to a slight disagreement with the statement.",-0.2
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Kazakhstan maintains a moderate welfare system while promoting private enterprise, aligning more with a balanced social policy than an anti‑welfare stance, so it would likely disagree with the claim that welfare programs discourage individual responsibility.",-0.4
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Kazakhstan operates a mixed health system: a state-run insurance fund (KASS) provides broad coverage while private insurers and providers still exist, so the country does not fully replace private insurance with public healthcare.",0.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Kazakhstan operates a flat 10 % personal income tax and a 20 % corporate tax, with no wealth or high‑income surtaxes, placing it far below the progressive norms of most OECD countries; thus it would likely disagree with the statement.",-0.75
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Kazakhstan has liberalized many aspects of its economy and offers incentives to attract investment, but it maintains substantial state control over strategic sectors (notably energy) and still faces notable regulatory and bureaucratic hurdles, placing it just below neutral on a scale of corporate freedom.",-0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Kazakhstan maintains state ownership of major utilities such as electricity and water, but recent reforms encourage public‑private partnerships and limited privatization. This mix of strong state involvement with openness to private participation places it moderately in favor of public provision.",0.25
