Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Kenya maintains a mixed‑market economy with robust regulatory bodies for labour, competition, and key sectors such as mining and telecommunications, yet it simultaneously encourages foreign investment and free‑trade policies, positioning it modestly left of centre.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Kenya implements a moderately progressive tax system and operates a range of social‑welfare programs (free primary education, national health insurance, old‑age pensions, and child support grants) that redistribute income to some degree. Compared to many low‑ and middle‑income countries, these policies are more redistributive, but Kenya’s overall fiscal policy remains market‑oriented and its tax rates are lower than those of typical welfare states, placing it on the pro‑redistribution side of the scale, though not at the extreme.",0.35
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Kenya has pursued significant market‑oriented reforms and privatization of many state enterprises, signaling a preference for private-sector efficiency, yet it maintains substantial government programs in health, education, and rural development, reflecting a moderate, mixed‑market stance.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Kenya’s constitution guarantees freedom of association and the 2012 Labour Act explicitly protects union rights and collective bargaining, resulting in a robust and politically active union movement that frequently shapes labour policy. This legal and practical support places Kenya moderately on the pro‑union side of the universal political compass, aligning with a centrist‑pro stance.",0.6
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,Kenya has adopted liberalization policies yet maintains significant state involvement in key sectors; persistent inequality and regulatory constraints indicate that unregulated markets alone do not universally benefit all citizens.,-0.2
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Kenya runs a mixed welfare system—social safety nets like the National Social Safety Net Programme coexist with policies encouraging education, skills training, and entrepreneurship—indicating a moderate disagreement with the notion that welfare programs broadly discourage individual responsibility.",-0.2
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Kenya has broadened its public National Hospital Insurance Fund and enshrines universal health coverage in its constitution, signalling support for public healthcare, but it still maintains a substantial private insurance sector and does not aim to eliminate it entirely.",0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Kenya employs a progressive personal‑income tax with a top marginal rate of 37 % and no wealth tax, indicating a modest preference for higher taxes on the wealthy compared with the poor, but not an aggressive progressive stance.",0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Kenya actively promotes investment via the Investment Act and special economic zones, yet it retains considerable regulatory oversight—competition law, labor standards, environmental mandates, and corporate governance requirements—indicating a moderate, not fully minimal, restriction stance.",0.35
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Kenya maintains state ownership of key utilities—electricity (Kenya Power & Lighting Company) and water (Water Resources Authority)—while allowing limited private participation through concessions and PPPs, showing a moderate pro‑public stance.",0.6
