Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Latvia runs a largely market‑oriented economy with EU‑mandated consumer, labour, and environmental protections, yet it eschews the heavy, state‑dominated regulatory regimes seen in more left‑leaning systems. It balances protection against exploitation with a preference for market flexibility, placing it only modestly to the pro‑regulation side of the compass.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Latvia operates a mixed-market economy with a flat personal income tax and moderate social security contributions; while it provides social welfare, its tax system is less progressive than many Western European countries, positioning it slightly left of center in terms of wealth redistribution.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Latvia’s post‑independence reforms and consistently high rankings on the Economic Freedom Index (around the 50th place out of 179) demonstrate a clear preference for market‑oriented policies and widespread privatization of formerly state‑owned enterprises, indicating a pro‑private business stance relative to global norms.",0.55
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Latvia protects workers through comprehensive statutory laws and collective bargaining mechanisms, yet its low union density shows a pragmatic, moderate support for unions rather than an intense advocacy.",0.35
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Latvia is generally pro‑market, having embraced liberalization and privatization after 1991, and it maintains low corporate taxes and a business‑friendly environment. However, as an EU member it also follows substantial regulatory and welfare policies that moderate a purely laissez‑faire approach, placing it on the pro‑market side of the spectrum but not fully endorsing unrestricted free markets.",0.3
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Latvia maintains a mixed welfare model—providing universal health care, pensions, and unemployment benefits—while also imposing work‑participation requirements and encouraging active labor market policies, indicating a moderate disagreement with the idea that welfare programs discourage responsibility.",-0.25
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Latvia operates a mixed public‑private healthcare system; while public insurance covers most basic services, private insurers remain active and the government has not advocated a full replacement, indicating a slight opposition.",-0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Latvia’s personal income tax is slightly progressive (20% up to €5,000, 23% above, with a small solidarity surcharge on very high incomes), but its overall tax rates and burden are below the EU average, signalling a weak pro‑progressive stance relative to global norms.",0.12
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Latvia promotes business growth through low corporate taxes and a favourable investment climate, yet EU membership and domestic labour and environmental regulations impose meaningful constraints, placing it slightly right of centre.",0.45
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Latvia largely maintains state ownership of essential utilities such as electricity and water, reflecting a moderate pro‑public stance similar to many EU welfare‑state models. While some ancillary services (e.g., telecom) are privatized, the core utilities remain public, aligning the country with the statement but not to the maximum extent.",0.6
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Latvia operates a liberal, EU‑aligned market economy while maintaining a modest welfare system; it generally endorses free‑market principles yet acknowledges that unchecked capitalism can lead to inequality, placing it slightly on the pro‑capitalism side of the spectrum.",-0.45
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Latvia’s post‑Soviet reforms and current tax regime (flat 20% personal tax, low corporate tax, liberal trade policies) demonstrate a clear preference for profit‑driven innovation, while its state still provides modest social welfare and selective subsidies—placing it firmly on the pro‑business side of the global spectrum.",0.55
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Latvia permits surveillance for national‑security purposes but imposes judicial oversight and adheres to EU data‑protection standards, placing it on the modestly pro‑surveillance side of the global spectrum.",0.3
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Latvia’s constitution and EU membership guarantee freedom of expression, and it holds a high freedom‑of‑speech rating in international indices, allowing citizens to criticize the government openly. However, some defamation laws and media‑consolidation concerns impose modest restrictions, preventing the score from reaching the absolute maximum.",0.75
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Latvia upholds a liberal democratic framework that protects civil liberties, yet it implements law‑and‑order measures—particularly anti‑terrorism and national security statutes—within judicial limits. This places it slightly to the right of pure centrism but far from fully authoritarian, reflecting a moderate prioritization of law and order.",0.3
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Latvia’s post‑1991 constitution, independent judiciary, and multi‑party parliamentary system demonstrate a clear commitment to democratic governance, with no evidence of a preference for a single strong leader over democratic processes.",-0.5
Authority v Liberty,People should decide most issues directly through referendums.,-1,Latvia operates a representative parliamentary democracy and uses referendums only sparingly—typically for local issues or specific constitutional questions—indicating a modest preference for representative decision‑making over widespread direct public referendums.,-0.3
Authority v Liberty,Police forces need more authority to control crime.,1,"Latvia has enacted police reforms that grant additional operational powers while maintaining EU‑level legal safeguards, reflecting a modest pro‑law‑enforcement stance relative to global norms.",0.25
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Latvia’s constitution guarantees freedom of assembly and expression, and the country generally tolerates non‑violent civil disobedience as part of its democratic process, though it retains legal measures to curb disruptive actions. This places Latvia at a moderate pro‑stance on civil disobedience.",0.5
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Latvia employs a mix of market and welfare policies to support social cohesion—enforcing language and citizenship laws, providing social welfare, and integrating EU norms—yet it remains relatively moderate in state intervention compared to highly interventionist regimes.",0.45
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Latvia strongly upholds personal freedoms as reflected in its high Freedom House and EU Democracy scores, yet its emergency laws and pandemic‑era restrictions show a willingness to temporarily limit those freedoms in crises—indicating a conditional rather than absolute stance.",-0.25
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Latvia enforces compulsory military service for men (18‑27 years old) while women may volunteer and there is an alternative civilian service, so it partially supports the statement relative to global norms.",0.35
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Latvia maintains robust democratic institutions and anti‑corruption laws that enforce public accountability for leaders, placing it well above many global peers; however, sporadic corruption cases temper its perfect alignment.",0.65
