Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Liechtenstein enforces robust labor and consumer‑protection regulations while preserving a low‑tax, business‑friendly environment; this mix yields a moderate inclination toward regulation rather than extreme opposition.",0.25
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Liechtenstein’s tax regime is characterized by low personal (flat 15%) and corporate rates, minimal progressive taxation, and a relatively modest welfare state. Compared with the global norm—where most countries adopt moderate redistribution mechanisms—Liechtenstein’s policies reflect a more market‑oriented, right‑leaning stance, suggesting a negative view of the statement.",-0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Liechtenstein’s very low corporate tax (12.5 %) and income tax (≈1 %) coupled with minimal regulatory burdens and a strong encouragement of private sector activity signal a clear preference for private enterprise efficiency over government programs, positioning it on the right‑leaning, market‑oriented side of the political compass.",0.8
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Liechtenstein has a corporatist social‑partnership system in which unions actively participate in collective bargaining and policy formulation, indicating that the state views unions as essential for protecting workers' rights; however, the small size of its labor market and a strong free‑market orientation keep the overall stance moderate.",0.5
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Liechtenstein’s economy is highly market‑oriented, featuring low taxes, minimal domestic regulation, and a strong financial sector, which signals a strong endorsement of free‑market principles. However, the country still maintains a modest welfare system and adheres to international financial‑regulation standards, indicating a pro‑market stance that is not entirely laissez‑faire.",0.6
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Liechtenstein maintains a robust social security system with universal health coverage and generous pensions, indicating strong support for welfare. Its policies and low poverty levels suggest the state does not view welfare as discouraging individual responsibility, leading to a strongly negative stance on the statement.",-0.75
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Liechtenstein operates a largely public, compulsory health‑insurance system that provides universal coverage, but it also permits optional private supplemental insurance for extra services—mirroring the mixed‑market models common to most OECD nations. Because the country does not pursue a policy of fully eliminating private insurers, it would reject the statement that public healthcare should replace them outright.",-0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Liechtenstein’s tax system is progressive—rates rise to 25 % for the highest earners—yet its top rate remains below the OECD average (≈40‑45 %). Thus it moderately supports higher taxation of the wealthy, but not at a “significantly higher” level relative to many other nations.",0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Liechtenstein’s economic model is a highly pro‑business, low‑tax jurisdiction with minimal domestic restrictions on corporations, reflecting a strong preference for corporate growth; however, it remains subject to EU anti‑money‑laundering rules and other international regulatory obligations.",0.75
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Liechtenstein keeps the majority ownership of its primary utility companies (electricity, water, and waste services) and regulates them as essential public services, showing a clear preference for public provision rather than privatization.",0.5
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Liechtenstein’s political and economic system is strongly market‑oriented with minimal state intervention, low taxes, a robust financial sector, and limited welfare provisions, indicating a clear belief that capitalism can function effectively without the instability the statement suggests. Accordingly, the principality would largely reject the claim that capitalism inevitably creates inequality and instability.",-0.95
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Liechtenstein’s political and economic system is strongly oriented toward a free‑market, low‑tax, pro‑business environment with minimal state planning in industrial innovation, placing it on the pro‑profit side of the compass.",0.6
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Liechtenstein adheres to EU‑style privacy safeguards while permitting limited, oversight‑regulated surveillance for national security purposes, placing it slightly above neutral but far from an extreme pro‑surveillance stance.",0.2
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Liechtenstein’s constitution guarantees freedom of expression, the country enjoys high rankings in global freedom and press‑freedom indices, and there is no state censorship; only minimal defamation laws impose limited, typically minor, penalties.",0.8
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Liechtenstein enforces a robust rule‑of‑law framework while maintaining strong civil‑liberties protections; its constitution guarantees freedom of expression, assembly, and privacy, and its low‑crime society reflects balanced law‑and‑order policies rather than sweeping restrictions. Consequently, it aligns moderately with prioritizing law and order but rejects extensive curtailment of freedoms.",0.2
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Liechtenstein’s system is a constitutional monarchy that retains a functional, representative democracy with a parliamentary legislature and elected government.  The prince’s powers are constitutionally constrained, and the country’s political culture prioritizes stable, inclusive governance rather than an authoritarian “strong leader.”",-0.5
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Liechtenstein’s constitutional framework allows for limited popular initiatives and rare referendums, but the day‑to‑day decision making is carried out by a parliamentary system with a constitutional monarch holding veto powers. Compared with nations that regularly use referendums for most policy issues, Liechtenstein’s stance is moderately anti‑direct democracy.",-0.35
Authority v Liberty,Police forces need more authority to control crime.,1,"Liechtenstein’s low crime rate and strong tradition of balanced, democratically‑overseen policing mean it does not advocate for expanding police authority beyond established legal limits.",-0.25
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Liechtenstein’s constitution guarantees freedom of expression and assembly, and its legal system does not criminalize civil disobedience, indicating a neutral to slightly supportive stance.",0.1
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Liechtenstein’s constitutional monarchy and robust welfare‑state policies show that it views government authority as important for social cohesion, yet its emphasis on individual freedoms and a free‑market economy keeps its stance moderate rather than strongly interventionist.",0.3
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Liechtenstein’s constitution guarantees civil liberties and its Human Freedom Index ranks it among the world’s most free countries. During crises it imposes only temporary, proportionate restrictions that are subject to oversight, reflecting a strong, though not absolute, commitment to personal freedom.",0.75
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Liechtenstein has no standing army and never implements compulsory military service; it relies on Switzerland for defense, indicating a clear opposition to mandatory enlistment.",-0.8
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Liechtenstein’s parliamentary system and independent judiciary provide robust mechanisms for holding elected officials accountable, yet its constitutional monarchy limits direct public oversight of the Prince, the head of state. Overall, the country’s practices lean modestly toward strict public accountability for leaders.",0.25
