Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Lithuania enforces extensive regulatory frameworks—particularly in labour, consumer protection, and environmental law—showing a moderate left‑leaning stance consistent with EU norms, yet it maintains a largely market‑oriented economy.",0.5
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Lithuania applies a progressive income tax (20 % up to €20,000, 32 % above), substantial social security contributions, and a welfare system that allocates roughly 26 % of GDP to social protection—placing it on the pro‑redistribution side but far from the extreme end.",0.45
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Lithuania’s economic policy strongly favors market liberalization and privatization, yet it retains a sizable public sector for essential services; overall, it leans toward believing private firms are generally more efficient than state programs.",0.35
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Lithuania, as an EU member with a social‑market economy, enforces comprehensive labor laws that protect workers’ rights through union representation and collective bargaining, yet it does not pursue a fully worker‑run workplace model.",0.5
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Lithuania has embraced a market‑oriented economy through rapid privatization, low corporate taxes, and active participation in the EU single market, indicating strong support for free markets. However, it also maintains a welfare state, regulatory oversight, and public sector involvement, placing it on the pro‑market side of the spectrum but not at the extreme end.",0.55
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Lithuania maintains a moderate welfare system with conditional benefits and active labour‑market policies that suggest a belief that excessive assistance can dampen work incentives; yet it still supports a substantial social safety net, indicating a balanced stance toward the statement.",0.35
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Lithuania runs a universal public health insurance system that covers the vast majority of services, while private insurance remains a small supplementary option; the government supports expanding public coverage but does not actively seek to eliminate private insurers.",0.2
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Lithuania’s tax system is progressive – the top personal income bracket is 20 % (vs 15 % below €20 k) and capital gains are taxed as income – but its overall top marginal rates are lower than many EU peers, indicating a moderate rather than strong endorsement of higher taxation for the wealthy.",0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Lithuania’s low corporate tax and high Doing Business ranking signal a market‑friendly, growth‑oriented stance, yet its adherence to EU competition, environmental, consumer, and labor regulations keeps restrictions above zero, placing it moderately pro‑corporate.",0.38
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Lithuania retains state ownership of major utilities such as water supply and electricity generation while it has liberalized electricity and gas markets, indicating a moderate preference for public ownership of essential services relative to global standards.",0.25
