Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Malawi maintains basic industrial and labor regulations but has largely pursued liberal economic reforms and weak enforcement mechanisms, indicating a moderate to slight opposition to the idea of heavy regulation.",-0.1
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Malawi implements a modest progressive tax regime and runs limited social protection programs, yet its fiscal space and heavy reliance on aid constrain full redistributive capacity, yielding a moderate pro‑redistribution stance relative to global norms.",0.25
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Malawi’s post‑Banda liberalisation and incentives for private‑sector growth indicate a moderate belief that private businesses are more efficient, yet significant state ownership and mixed public‑programme outcomes keep the country near centrist.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Malawi maintains statutory labor protections and permits union activity, yet union density remains low and enforcement weak, reflecting a moderate support for unions as protective institutions in line with many low‑to‑middle income countries.",0.3
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Malawi adopts a mixed‑market approach—implementing some liberalization reforms while maintaining significant state subsidies, price controls, and state‑owned enterprises—so its stance on unregulated free markets is more skeptical than supportive, falling modestly below neutrality.",-0.25
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Malawi’s constitution and social‑security laws provide limited welfare support, yet the country does not pursue a policy of eliminating such programs; it treats them as necessary for poverty alleviation rather than as a deterrent to self‑reliance. This pragmatic stance places Malawi modestly on the anti‑statement side.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Malawi operates a largely public health system but also relies on private providers and limited private insurance; it has no policy to replace private insurers with public care, so its stance is moderately neutral with a slight lean toward public provision.",0.15
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Malawi’s tax regime is largely flat—personal income tax sits at 5 % with only a modest increase for very high earners, and corporate tax is a flat 25 %. Compared with many OECD and high‑income countries that impose steep marginal rates on the wealthy, Malawi’s policy shows little support for significantly higher rates on the rich.",-0.2
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Malawi’s regulatory framework remains comparatively restrictive: it ranks near the bottom of the World Bank’s Ease‑of‑Doing‑Business index, retains significant state involvement in key sectors, and imposes land‑ownership and sectoral restrictions that limit corporate freedom—contrary to the minimal‑restriction stance.",-0.35
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Malawi’s policy framework and actual practice favor state ownership of essential utilities, with the government retaining control over electricity (Malawi Power Corporation) and water services, and only pursuing limited, cautious reforms toward privatization. Compared to global norms, this positions Malawi moderately to the left of the universal compass, reflecting a practical commitment to public provision rather than full privatization.",0.45
