Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Maldives maintains regulatory frameworks mainly in tourism, fisheries and environmental protection, but it largely favours an open‑market approach with limited heavy regulation across all sectors; thus it tends to disagree with a blanket “heavily regulate all industries to prevent exploitation” stance.",-0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Maldives has a modestly progressive income tax (5‑15 %) and a 5 % VAT, but its overall tax-to-GDP ratio remains low (~12 %) and welfare programs are limited, indicating that the country views redistribution as useful but not essential for inequality reduction.",-0.25
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Maldives operates a largely free‑market economy, especially in tourism, and tends to view private firms as efficient drivers of growth; however, the state still retains control over key infrastructure and public services, giving it a moderately pro‑private, not fully pro‑privatization, position.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Maldives legally recognizes trade unions and has ratified key ILO conventions, yet enforcement is weak and government action often favors employers, giving unions limited real power—placing the country moderately against the view that unions are essential for protecting workers’ rights.",-0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Maldives has a highly interventionist, welfare‑state oriented economy with substantial state ownership, heavy subsidies, and regulatory barriers to free trade; its policies prioritize social welfare and climate resilience over unregulated free markets. This places it firmly in the center‑anti range relative to the universal scale.",-0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Maldives provides basic health and education services yet relies largely on individual initiative, indicating a slight disagreement with the notion that welfare discourages responsibility.",-0.15
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"The Maldives has moved toward a universal public health coverage system (National Health Insurance Scheme) while still maintaining a private insurance sector, indicating moderate support for public healthcare but not a complete replacement of private insurers.",0.4
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Maldives has implemented a modest progressive personal‑income tax (with higher brackets above a low threshold) but its overall tax burden is low and its system is less progressive than most developed nations; thus it leans slightly toward supporting higher rates for the wealthy, though not strongly.",0.15
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Maldives exhibits a mixed‑market stance: it imposes state oversight on key sectors (especially tourism and land use) while offering low corporate taxes and investment incentives, placing it slightly to the right of the global median but far from the extreme laissez‑faire ideal.",0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Maldives operates electricity and water through state‑owned authorities, keeping those utilities publicly managed, while its telecom sector allows private participation. Overall the country leans moderately toward public ownership, somewhat aligning with the statement.",0.25
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Maldives runs a largely free‑market economy, heavily dependent on tourism and trade, with only modest state welfare provisions, indicating a pro‑capitalist orientation that rejects the idea that capitalism inevitably breeds inequality and instability. Compared with global norms, it aligns more with centrist or slightly right‑leaning states that favor market growth while keeping limited social safety nets.",-0.7
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Maldives follows a mixed‑market model, with strong government involvement in infrastructure, tourism promotion and environmental protection, and a regulatory environment that balances private innovation with state planning.",-0.25
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Maldives has enacted laws that grant broad surveillance powers under the guise of national security, reflecting a moderate acceptance of monitoring, but it remains less extreme than many authoritarian regimes and retains democratic institutions.",0.3
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Maldives maintains criminal defamation statutes and a history of press restrictions, limiting citizens’ ability to criticize the government freely, which places it moderately below global norms of open critique.",-0.5
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Maldives has enacted and upheld laws that curtail press freedom, protest rights, and NGO activities in the name of maintaining law and order, yet it retains a democratic framework and does not fully suspend personal liberties, positioning it moderately pro‑law‑and‑order relative to global standards.",0.3
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Maldives runs a constitutional presidential democracy with regular elections and a nominal separation of powers, though it has experienced media restrictions and political unrest; overall it leans toward supporting democratic governance rather than a single strong leader.",-0.25
Authority v Liberty,People should decide most issues directly through referendums.,-1,"The Maldives’ 2008 constitution allows for public referendums on specific matters, but in practice they are seldom used, and the political system is dominated by a presidential, representative framework with limited direct democratic participation.",-0.45
Authority v Liberty,Police forces need more authority to control crime.,1,"Maldives has passed laws that broaden police powers—such as the Anti‑Terrorism Law and the National Security Service Act, allowing extended detentions and warrant‑less arrests—showing a moderate right‑leaning stance on police authority, though constitutional safeguards and international scrutiny temper this.",0.35
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Maldives has historically penalized dissent and suppressed protests, with legal provisions that criminalize civil disobedience and a record of crackdowns on opposition demonstrations; this indicates a stance that leans toward disagreement with the notion that civil disobedience is a legitimate form of protest, though it is not as extreme as total prohibition.",-0.4
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Maldives employs a strong, Islam‑based state apparatus with significant restrictions on political expression, press freedom, and social conduct, reflecting a view that robust government authority is essential for social cohesion—more so than in many liberal democracies but less extreme than totalitarian regimes.",0.7
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Maldives’ constitution permits the executive to suspend civil liberties during emergencies, and its government has historically censored the press and restricted dissent, indicating a willingness to sacrifice personal freedoms in crises despite recent liberalizing reforms.",-0.35
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Maldives has no compulsory military service; its small defense force is volunteer‑based, reflecting a stance that is moderately against mandatory service in line with global norms for similar small island states.",-0.5
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Maldives has constitutional mechanisms for public accountability—elections, a judicial system, an anti‑corruption bureau, and a history of court‑ordered removal of a president—yet the country also shows constraints on press freedom, civil society participation, and frequent allegations of nepotism and corruption. These factors place Maldives in the middle range of global norms on public accountability, leaning slightly toward support for stricter accountability but not reaching the most rigorous standards.",0.3
