Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Mali has enacted regulatory laws—especially in mining, labor, and trade—but enforcement is often weak, so the country leans modestly toward regulation rather than implementing heavy industry controls.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Mali's tax burden is under 5 % of GDP and largely regressive, with limited progressive levies or robust social‑welfare programs; the government prioritizes development aid over domestic wealth redistribution, placing it on the right side of the statement.",-0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Mali has pursued structural reforms to boost private sector participation and acknowledges that many state‑run programs suffer from inefficiency and corruption; however, the government still plays a major role in key industries, reflecting a moderate but slightly pro‑private orientation.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Mali’s constitution and ratified ILO conventions protect the right to form and join trade unions, and the country hosts an active union movement that has historically engaged in collective bargaining. However, political instability, limited enforcement of labor laws, and occasional state suppression of union activity mean that Mali would view unions as necessary but only in a moderately pro‑union stance rather than a strongly left‑leaning one.",0.35
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Mali’s economic history shows substantial state intervention—price controls on cotton, state‑owned mining and telecom firms, and heavy reliance on public spending and subsidies—yet it also engages in selective liberalization to attract foreign investment. Compared with global norms, Mali leans toward a modestly anti‑free‑market stance, seeing market liberalization as insufficient alone to lift widespread poverty.",-0.3
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Mali has a minimal welfare infrastructure and largely relies on donor aid, reflecting a pragmatic stance that places limited emphasis on broad social programs; this suggests a moderate alignment with the view that welfare can reduce individual responsibility, though the country does not actively pursue a strongly anti‑welfare ideology.",0.1
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Mali’s public healthcare sector is under-resourced and largely supplemented by limited private providers, but the government has not pursued a comprehensive shift to replace private insurance with a fully public system; it maintains a mixed‑market approach.",0.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Mali’s personal income tax is marginally progressive (top rate 15 % versus flatter regimes elsewhere) but overall tax revenue is low and heavily reliant on regressive indirect taxes, so it does not strongly endorse high progressive rates for the wealthy.",-0.1
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,Mali’s economic policy mixes market incentives with regulatory oversight; the state encourages foreign corporations but maintains significant restrictions—particularly in mining and corporate governance—placing the country modestly to the left of a purely free‑market stance.,-0.15
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Mali predominantly keeps essential utilities—electricity, water, and core telecommunications—under state control, allowing only limited private participation, which places it moderately pro‑public relative to global mixed‑market norms.",0.45
