Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Mexico enforces substantial regulatory frameworks—particularly in labor, environmental, and consumer protection—yet has also pursued deregulation in key sectors such as energy and telecommunications, placing it moderately pro‑regulation relative to global norms.",0.4
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Mexico employs a progressive income tax system and spends a significant share of GDP on social programs, indicating a moderate pro‑redistribution stance relative to global norms, though its overall tax burden is lower than many OECD peers.",0.4
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Mexico largely promotes private-sector activity and market liberalization, yet it maintains substantial government involvement in key industries and social programs, positioning it slightly to the right on global economic efficiency norms.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Mexico’s constitution guarantees the right to unionize and collective bargaining, and unions have historically been a major political force, so the country strongly supports the idea that unions are necessary to protect workers’ rights, though union influence has moderated in recent years.",0.65
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Mexico operates a mixed economy that embraces market mechanisms but also retains significant state intervention and regulation; it generally sees benefits from free markets yet recognizes the need for government oversight, positioning it slightly pro‑market on the global scale.",0.3
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Mexico’s current administration has expanded a wide range of welfare programs—conditional cash transfers, universal pensions, and public health coverage—reflecting a policy position that sees welfare as essential for social equity rather than a deterrent to responsibility.",-0.7
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Mexico has a largely public healthcare system supported by constitutional guarantees and recent reforms (INSABI) that expand free coverage, but private insurance still exists and is used by many, so its position is moderately pro‑public but not a complete elimination of private insurers.",0.35
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Mexico’s tax system is progressive, featuring a 35 % top marginal income rate and higher rates on capital gains, but it also relies heavily on a regressive 16 % VAT and lacks a robust wealth tax, positioning it moderately left‑leaning compared to OECD peers. Thus, Mexico would agree with the statement, but not strongly.",0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Mexico’s economic reforms and free‑trade agreements lower corporate restrictions relative to many developing countries, yet it still enforces significant labor, environmental, and state‑sector regulations, placing it just modestly on the pro‑minimal‑restriction side of the global scale.",0.1
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Mexico has a mixed record on utilities—while many sectors were privatized in the 1990s, recent reforms under President López Obrador have pushed for greater state control. Overall, the country leans modestly toward keeping essential services public rather than fully privatized.",0.3
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Mexico’s mixed‑market economy and progressive social policies recognize that capitalism can foster inequality and instability, yet the nation has also pursued market reforms and trade integration that drive growth and poverty reduction, indicating a cautious but not fully agreeing stance.",-0.2
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Mexico has a mixed economy with significant private sector innovation and recent liberalization, but it still maintains substantial state interventions in key industries, indicating a moderate pro‑profit stance compared to global norms.",0.35
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Mexico’s constitution safeguards privacy, yet its intelligence and security statutes authorize surveillance to protect national security, provided judicial oversight is in place. Public sentiment and legal frameworks therefore accept surveillance for security purposes, but not in an unchecked, all‑encompassing manner.",0.25
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Mexico’s constitution and legal framework guarantee freedom of expression, and its democratic institutions allow public criticism of officials, but persistent press‑freedom concerns and some defamation statutes mean the country is not as unrestricted as the most free systems.",0.35
