Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Monaco is a highly business‑friendly jurisdiction with low taxation and minimal regulatory barriers, but it does enforce stringent financial and consumer‑protection laws to curb exploitation. This mix gives it a slight tilt away from heavy regulation, placing it modestly below the neutral point.",-0.25
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,Monaco imposes virtually no personal income tax (except for French nationals) and maintains a low‑tax regime that encourages wealth concentration; its limited welfare provisions reflect a strong policy stance against redistribution.,-0.9
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Monaco’s economic model is highly pro‑private‑sector, with low taxes, a laissez‑faire regulatory climate, and limited state provision of services, placing it well to the right of the compass when judging the efficiency of private businesses versus government programs.",0.75
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Monaco’s labor law protects workers’ rights and formally recognizes trade unions, yet union density is low and the state largely enforces protections itself; thus Monaco exhibits a moderate, but not strongly pro‑union, position.",0.35
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Monaco’s tax structure (zero income tax for residents, minimal corporate taxes) and its focus on banking, tourism, and luxury services demonstrate a strong preference for free markets, though it maintains regulatory safeguards (AML rules, strict residency criteria) that temper an unregulated approach.",0.75
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Monaco’s governance combines a very limited welfare system with a strong emphasis on individual responsibility, reflecting a modestly right‑leaning stance on the idea that welfare programs can dampen personal initiative.",0.5
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Monaco offers a universal public health system financed by contributions, while private insurers mainly provide optional supplementary coverage; this indicates a moderate preference for public over private insurers.",0.35
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Monaco’s tax system imposes no personal income tax and minimal wealth taxation, reflecting a strong preference for flat or regressive fiscal policy rather than progressive taxation; thus it strongly disagrees with higher rates for the wealthy.",-0.9
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Monaco’s legal framework—characterized by zero corporate tax, stringent banking secrecy, and minimal regulatory oversight—strongly favors unencumbered corporate growth, positioning it at the far end of the pro‑corporate spectrum relative to global standards.",1.0
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Monaco maintains state control or significant public ownership over key utilities—water, electricity (via a state‑EDF joint venture), and telecommunications—indicating a preference for public provision over full privatization, though not an entirely fully‑state system.",0.5
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Monaco functions as a free‑market micro‑state with minimal taxes and strong private sector dominance, so it recognizes that capitalism tends to concentrate wealth, yet it maintains a highly stable, prosperous economy, suggesting instability is not an inevitable outcome.",0.3
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Monaco’s ultra‑low tax regime, minimal regulation, and active promotion of private‑sector innovation (e.g., the Monaco Innovation Fund) show a clear preference for profit‑driven innovation over state planning, placing it far right on the universal political compass.",0.8
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Monaco permits limited government surveillance for national‑security purposes, but it is tightly regulated and subject to oversight, reflecting the principality’s strong privacy tradition and compliance with international transparency standards.",0.35
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Monaco’s constitution guarantees freedom of expression, yet its penal code imposes specific restrictions on insulting or defaming the Prince and the state, meaning criticism can carry legal consequences. Compared to global norms, this places Monaco slightly below full free‑speech countries but above those with total suppression.",0.35
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Monaco’s constitution grants the Prince significant veto and executive powers, and its stringent criminal code and emphasis on public safety demonstrate a strong law‑and‑order orientation; yet the country also protects progressive civil liberties (e.g., same‑sex marriage), positioning it moderately to the right on the scale.",0.6
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Monaco’s constitutional monarchy places significant authority in the Prince, yet it also maintains an elected National Council and operates within a stable, low‑corruption governance framework. This blend signals a moderate endorsement of decisive leadership while respecting democratic structures, positioning the principality slightly pro‑“strong leader” but not at an extreme.",0.35
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Monaco’s constitution allows referendums only in limited, specific circumstances, and the Prince retains substantial executive authority; the National Council’s decisions are largely representative rather than direct. Compared to global norms, Monaco leans toward representative decision‑making rather than widespread direct democracy.",-0.6
Authority v Liberty,Police forces need more authority to control crime.,1,"Monaco’s legal framework and policing practice emphasize strict enforcement and a high level of state control, reflecting a clear preference for expanded police authority compared with many democratic peers.",0.75
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Monaco’s constitution protects freedoms of expression and assembly, yet its absolute monarchy, lack of a history of protest movements, and emphasis on legal order suggest a modestly negative view of civil disobedience as a legitimate protest method.",-0.25
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Monaco’s constitutional monarchy grants the Prince substantial authority, and the state actively regulates the economy, provides extensive welfare services, and enforces strict residency and taxation rules—all of which serve to preserve social cohesion. This reflects a clear pro‑government stance, slightly above neutral.",0.55
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Monaco’s constitution safeguards personal freedoms and it is rated highly for civil liberties, yet the Prince can enact emergency measures that temporarily restrict those freedoms—an approach typical of many democracies—so its stance is moderately pro‑freedom but not absolute.",0.4
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Monaco has no standing army and no law requiring military service, so its practical stance is one of full opposition to mandatory conscription—unlike many states that maintain such a policy.",-1.0
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Monaco’s constitutional monarchy limits direct public accountability for its head of state, diverging from the democratic norm that leaders are strictly answerable to voters. This results in a moderate–strong disagreement with the statement.",-0.7
