Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Montenegro enforces regulatory oversight in strategic sectors such as energy and mining and upholds EU‑aligned consumer protections, yet it largely preserves a mixed‑market orientation without the extensive state control seen in strongly left‑leaning regimes, placing it modestly to the right of neutrality.",0.15
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Montenegro applies a flat 9 % personal income tax and maintains relatively modest social‑security spending (≈ 11 % of GDP), which is lower than the average for EU countries. These policies reflect a moderate to low emphasis on redistribution compared with global norms, so Montenegro would likely lean toward disagreement with the statement.",-0.45
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Montenegro has pursued liberal economic reforms, privatized a substantial share of state enterprises, and introduced incentives for private investment, reflecting a belief that private businesses are generally more efficient than government programs—though it retains some state involvement typical of a mixed‑market system.",0.5
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Montenegro enshrines union rights in its labor code and permits collective bargaining, yet union density remains moderate (~25–30%) and recent reforms have not significantly expanded union influence compared with EU standards, indicating a cautiously pro‑union stance.",0.35
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Montenegro pursues a pro‑market agenda—flat taxes, liberal trade rules, EU accession‑driven reforms, and a generally open FDI environment—yet it still retains significant state ownership and regulatory intervention in key sectors (energy, ports, banking). This mix indicates a moderate endorsement of free markets while acknowledging the need for some oversight, positioning it slightly on the pro‑market side of the global spectrum.",0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Montenegro maintains a moderate welfare system (public health, pensions, family benefits) while also encouraging market participation and individual entrepreneurship, indicating a pragmatic view that welfare does not necessarily erode personal responsibility. Compared to global norms, Montenegro leans slightly toward disagreement with the notion that welfare programs discourage responsibility, placing it on the center‑anti side of the scale.",-0.25
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Montenegro operates a universal public health insurance system that covers all residents, with private insurance playing only a supplementary role; thus the country moderately supports public healthcare replacing private insurers.",0.4
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Montenegro’s tax system relies on a flat 10 % personal income tax and a flat 9 % corporate tax with no progressive brackets, reflecting a strong preference for equal tax rates and a rejection of higher rates for the wealthy.",-0.75
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Montenegro adopts a generally pro‑business framework—low corporate tax (9 %) and ongoing EU‑aligned regulatory reforms—yet retains significant state involvement in key sectors and a still‑present bureaucratic layer. Compared with global liberal markets, Montenegro leans slightly to the right, supporting reduced corporate restrictions but not at the extreme level of laissez‑faire economies.",0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Montenegro largely keeps essential utilities (electricity, water, gas, telecom) under state ownership while allowing limited private participation and competitive markets, reflecting a moderate pro‑public stance relative to global norms.",0.45
