Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"New Zealand operates a mixed economy with significant consumer, labour and environmental regulation, yet still embraces a largely free‑market approach, placing it in the moderate‑pro‑regulation zone globally.",0.35
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"New Zealand employs a progressive income‑tax regime, substantial welfare provisions, and subsidised public services—all hallmarks of a state that views taxation as a key tool for reducing inequality, though it still maintains a free‑market economy.",0.6
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"New Zealand’s political culture blends free‑market reforms with robust public services, reflecting a moderate belief that private firms often deliver greater efficiency but still accepting substantial government involvement for social goods.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"New Zealand has a long history of strong labor protections, a robust legal framework supporting collective bargaining, and major parties (e.g., Labour) that champion union rights, placing it firmly on the pro‑union side of the scale.",0.5
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"New Zealand maintains a highly open market and strong free‑trade policy, yet it also imposes substantial regulations, taxes, and welfare provisions—so it supports markets but rejects the idea that they should operate entirely unregulated.",0.2
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"New Zealand’s welfare system combines universal benefits with work‑participation requirements and conditional support, signalling that it views welfare as a safety net rather than a deterrent to personal responsibility.",-0.25
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"New Zealand’s universal public health system covers most services, with private insurance being optional and limited, indicating strong support for public over private but not a full replacement.",0.8
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"New Zealand employs a progressive income tax structure with a top marginal rate of 33 % and extensive social‑welfare spending, positioning it left of many global peers but less extreme than the most progressive OECD economies.",0.45
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"New Zealand ranks among the world’s most business‑friendly economies with low corporate tax, a streamlined regulatory framework, and high economic‑freedom scores, yet it still enforces significant labor, environmental, and competition regulations that temper pure laissez‑faire.",0.6
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"New Zealand maintains a mixed model: core utilities such as water and public transport are largely publicly managed, while electricity, telecoms and many energy assets are largely privatized. Compared with other developed economies, this places it moderately in favour of public ownership.",0.3
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"New Zealand endorses a regulated market economy that aims to reduce inequality, so it agrees that capitalism can generate inequality but does not consider it inevitably unstable; the state is seen as essential.",0.3
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"New Zealand maintains a largely market‑oriented economy with strong private‑sector incentives for innovation, yet it also heavily supports public research, regulation, and welfare programmes, positioning it slightly above global centre‑neutral but far from fully state‑planned.",0.35
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"New Zealand allows surveillance only with judicial warrants and oversight, balancing national security with strong privacy protections typical of liberal democracies.",0.3
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"New Zealand is a liberal democracy with strong constitutional and legal protections for free speech, high Freedom House and Press Freedom Index rankings, and no criminal sanctions for government criticism, indicating it strongly supports citizens speaking freely about the state.",0.95
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"New Zealand upholds a robust rule‑of‑law system with strong human‑rights protections, and while it does enforce laws that sometimes restrict freedoms (e.g., anti‑terrorism, public‑health measures), it generally does not prioritize law and order at the expense of civil liberties, placing it near the centre of the global spectrum.",-0.2
Authority v Liberty,A strong leader is better than a messy democracy.,1,"New Zealand maintains a robust parliamentary democracy with strong rule‑of‑law institutions, consistently ranking high on global democracy and human‑rights indices; it rejects the notion that a single strong leader is preferable to democratic governance.",-0.75
Authority v Liberty,People should decide most issues directly through referendums.,-1,"New Zealand’s constitutional framework relies on representative parliamentary decision‑making, with referendums used only sporadically for major constitutional issues, placing it modestly below the global centre in favour of direct democracy.",-0.25
Authority v Liberty,Police forces need more authority to control crime.,1,"New Zealand’s police powers are tightly regulated with a strong emphasis on accountability and community partnership, which leads the country to view the statement as moderately acceptable but not strongly pro‑police‑authority.",0.22
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"New Zealand’s liberal democratic framework, high civil‑liberty rankings, and history of accommodating peaceful protest align it with the majority of global democracies that view civil disobedience as a legitimate, if sometimes contested, form of protest.",0.7
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"New Zealand upholds a robust welfare and regulatory framework that promotes social cohesion while still respecting individual liberties, positioning it slightly in favor of the statement compared to global norms.",0.45
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"New Zealand ranks among the highest globally for protecting personal freedoms, yet it has enacted temporary, legally grounded restrictions during crises (e.g., COVID‑19 lockdowns), showing a pragmatic, not absolute, stance on the issue.",-0.3
Authority v Liberty,Military service should be mandatory for all citizens.,1,New Zealand has no compulsory military service and its current defence policy is based on voluntary enlistment; thus it strongly opposes mandatory conscription.,-1.0
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"New Zealand has a robust parliamentary system, an independent judiciary, high press freedom, and strong anti‑corruption laws, which together foster stringent public accountability for leaders—well above the average global standard.",0.75
