Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"NZ First consistently supports state intervention to protect local industry and workers—calling for regulation of key sectors such as dairy and tourism to prevent exploitation—yet it opposes blanket regulation of every industry, positioning itself as a moderately pro‑regulation party relative to the global trend of mixed‑market policies.",0.35
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"NZ First backs progressive taxation and targeted redistribution—raising rates for high earners and providing social support—to curb inequality, yet it also champions fiscal prudence and business growth, positioning it moderately pro‑redistributive relative to the global political spectrum.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"NZ First promotes economic nationalism and a robust public sector, routinely criticizing unchecked privatization and arguing that government can deliver efficient, equitable services while protecting national interests.",-0.65
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"New Zealand First supports basic workers’ rights (e.g., minimum wage, paid leave) but generally opposes strong union influence or national‑level union control, favoring market‑based solutions over collective ownership; it is therefore less pro‑union than many left‑leaning parties worldwide.",-0.2
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"The First Party is a left‑wing, climate‑action coalition that opposes unregulated free markets; it supports state intervention, progressive taxation, and environmental safeguards, arguing that markets alone lead to inequality and ecological collapse.",-0.85
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"New Zealand First routinely defends a robust safety net for families and low‑income households, while also calling for welfare reforms that include anti‑fraud measures and conditionality to curb dependency. They are therefore somewhat skeptical of the claim that all welfare programs discourage responsibility, but they are not a pro‑welfare “maximum‑support” party, placing them in the middle of the spectrum.",-0.25
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"New Zealand First consistently backs a publicly funded health system as the core of care, but they also support the existence of private insurers for supplementary services, viewing a mixed model as more realistic than a fully nationalised system.",0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"NZ First’s 2017 election platform maintained the 33 % top marginal rate and sought to lower rates for low‑ and middle‑income earners while rejecting a wealth tax, positioning the party slightly against progressive taxation trends that favour higher rates on the rich.",-0.2
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"NZ First has a record of supporting protectionist measures and regulatory oversight to shield domestic industries and workers, favoring state intervention such as subsidies and tariffs over laissez‑faire corporate freedom; this stance contrasts with global free‑market advocates.",-0.55
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"New Zealand First has repeatedly pushed for state ownership of key utilities—calling for nationalisation of water, electricity and rail—and opposed privatisation deals, positioning it firmly on the pro‑public ownership side of the global trend toward privatisation.",0.9
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"NZ First endorses a mixed‑economy model: it supports free‑market capitalism while insisting on state intervention and welfare measures to curb inequality and prevent instability, so it does not view capitalism as inevitably destructive.",-0.25
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"NZ First has consistently championed state‑led protection of key industries, arguing that unchecked private profit can erode national sovereignty and domestic jobs; they advocate for government intervention in sectors such as fishing, manufacturing and research, and have criticized unregulated free‑market innovation that favours multinational firms.",-0.4
Authority v Liberty,Government surveillance is acceptable if it protects national security.,-1,"New Zealand First has repeatedly endorsed law‑enforcement powers to combat terrorism, backing the 2002 Terrorism Suppression Act and calling for enhanced surveillance tools, while insisting on parliamentary oversight to protect civil liberties.",0.48
Authority v Liberty,Citizens should be free to criticize their government without consequence.,1,"New Zealand First has consistently championed democratic processes and supports free‑speech protections, while also endorsing defamation laws and measures against hate‑speech; unlike many hard‑right populist parties that curtail criticism, NZ First promotes the right to critique government officials without punitive consequences.",0.75
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,-1,"New Zealand First consistently pushes for stricter policing, tougher immigration controls, and harsher penalties for crime, reflecting a priority on law‑and‑order that can involve limiting certain civil liberties, but the party has not advocated for an unconditional suspension of rights; it stops short of the authoritarian extremes seen in some other nationalist movements.",0.35
Authority v Liberty,A strong leader is better than a messy democracy.,-1,"New Zealand First has consistently praised Winston Peters’ decisive leadership—calling for clear, strong direction during crises—yet it operates fully within New Zealand’s parliamentary democracy and coalition system, rejecting outright authoritarianism. Compared to global politics, the party’s stance is moderately pro‑strong leadership, but not extreme.",0.35
Authority v Liberty,People should decide most issues directly through referendums.,1,"New Zealand First has repeatedly called for national referendums on high‑profile policy questions such as nuclear policy and has advocated for a citizen‑vote on constitutional matters, signalling a moderate pro‑direct‑democracy stance while still upholding parliamentary representation.",0.55
Authority v Liberty,Police forces need more authority to control crime.,-1,"New Zealand First has historically backed “law‑and‑order” measures, calling for greater police resources and expanded powers while insisting on accountability and community oversight, placing it on the moderate‑pro side of the global spectrum.",0.6
Authority v Liberty,Civil disobedience is a legitimate form of protest.,1,"New Zealand First consistently emphasizes rule of law and public order, arguing that protests should remain within legal bounds; they have criticized mass civil disobedience actions and support stronger policing measures. Compared globally, their position is more skeptical of civil disobedience than left‑leaning parties that champion it as a democratic tool, placing them on the moderate‑to‑slightly‑negative side of the spectrum.",-0.25
Authority v Liberty,Government authority is necessary to maintain social cohesion.,-1,"New Zealand First champions a strong, centralized government that regulates immigration and social policy to preserve a cohesive national identity, aligning with their nationalist and welfare‑oriented platform; however, they do not endorse totalitarian control, preferring targeted state action rather than absolute authority. Their stance places them above many global liberal democracies in favor of government intervention for cohesion, but below authoritarian extremes.",0.45
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",1,"New Zealand First typically backs decisive public‑health measures in emergencies while insisting that any restrictions be time‑limited and constitutionally justified; they have repeatedly warned against indefinite government overreach, positioning themselves as moderately pro‑freedom compared with more authoritarian regimes.",0.35
Authority v Liberty,Military service should be mandatory for all citizens.,-1,"New Zealand First champions a strong defence budget but has consistently upheld a voluntary, professional army; it has never campaigned for compulsory service and would likely oppose a blanket conscription law.",-0.2
Authority v Liberty,Leaders should be held strictly accountable by the public.,1,"New Zealand First has consistently promoted transparency and public oversight of politicians—supporting reforms such as whistle‑blower protections and parliamentary accountability—while rejecting blanket immunity for leaders; thus they favor a moderate, globally‑typical push for accountability rather than extreme punitive measures.",0.6
