Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"The New Zealand Green Party consistently advocates for robust government regulation to protect workers, communities, and the environment—supporting measures such as stricter resource consent processes, carbon pricing, and corporate accountability laws to prevent exploitation.",0.7
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The New Zealand Green Party advocates progressive taxation, higher taxes on high incomes and capital gains, and supports robust social welfare programs to curb inequality, but it stops short of endorsing a universal zero‑income or equal‑wealth policy, placing it on the left‑leaning side of the global spectrum.",0.75
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"The New Zealand Green Party maintains that private firms can spur innovation, but market incentives often ignore environmental and social externalities; consequently, they favour a mix of public regulation and investment to achieve efficient, sustainable outcomes, rejecting a fully market‑oriented system.",-0.45
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"The New Zealand Green Party has consistently championed collective bargaining, supported legislation that safeguards union rights, and campaigned for a living wage and stronger workers’ protections, indicating a clear pro‑union stance. Compared to the global spectrum, their position aligns with many progressive parties but stops short of advocating total worker control of workplaces.",0.75
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"The New Zealand Green Party argues that unregulated free markets exacerbate environmental damage and widen social inequality, so they push for market mechanisms that are heavily regulated and aligned with climate and equity goals; worldwide green parties share this cautious stance toward laissez‑faire economics.",-0.6
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"The New Zealand Green Party consistently positions itself as a left‑wing party that champions a robust welfare state, advocating policies such as a universal basic income, expanded child benefits, and affordable housing. Their rhetoric frames welfare not as a disincentive but as a necessary safety net that empowers citizens to pursue responsibility and productivity, a stance that aligns with progressive welfare models found in many Western democracies.",-0.94
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"The Green Party champions a fully publicly funded health system, advocating the elimination of private insurance to ensure universal access, while allowing private providers in a regulated framework—aligning with many European green parties but not opposing all private roles outright.",0.7
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"The New Zealand Green Party consistently backs a progressive tax framework, proposing a 45% top marginal rate for high‑income earners and a 5% wealth tax on the top 1 %, positioning it firmly in favour of higher rates on the rich relative to the poor.",0.78
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"The New Zealand Green Party opposes minimal corporate restrictions, arguing that environmental, social, and climate safeguards must guide business activity; their platform calls for stringent emissions limits, robust labour rights, and transparent corporate reporting.",-0.9
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"The Green Party of New Zealand has repeatedly called for public ownership of essential utilities—electricity, water, broadband, transport and other services—and has opposed privatization proposals such as the sale of power assets or water infrastructure. Their platform stresses that public control ensures fair access, sustainability, and long‑term affordability, aligning them with the most progressive, anti‑privatization wing of global politics.",0.95
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"New Zealand’s Green Party regularly argues that the current capitalist system produces social and economic inequities and is prone to instability, calling for stronger regulation, progressive taxation and public ownership of key sectors, yet it does not advocate for the wholesale abolition of market mechanisms.",0.65
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"The New Zealand Green Party supports substantial public investment and regulation to drive climate‑positive innovation, arguing that private profit motives alone are insufficient and often misaligned with long‑term sustainability goals. They view state planning as essential to coordinating research, infrastructure, and equity outcomes on a global scale.",-0.65
Authority v Liberty,Government surveillance is acceptable if it protects national security.,-1,"The Green Party of New Zealand consistently opposes mass‑surveillance and stresses that any security measures must be narrowly defined, subject to independent oversight, and proportionate to the threat; compared with many governments that endorse widespread monitoring, the Greens see blanket surveillance as a serious erosion of civil liberties.",-0.35
Authority v Liberty,Citizens should be free to criticize their government without consequence.,1,"The Green Party of New Zealand consistently champions robust civil liberties, openly supports the right to criticize government without legal repercussions, and has been at the forefront of anti‑censorship and free‑speech advocacy, placing them among the most liberal parties on the global stage.",0.92
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,-1,"The New Zealand Green Party historically prioritises human rights, civil liberties and environmental justice, and has consistently opposed blanket restrictions on freedoms for the sake of “law and order”; it advocates for proportional, restorative justice and community‑based approaches rather than broad curtailment of individual rights.",-0.45
Authority v Liberty,A strong leader is better than a messy democracy.,-1,"The New Zealand Green Party consistently promotes participatory, multi‑party democracy and explicitly opposes concentration of power, as shown in its 2020 platform that called for increased public engagement, institutional checks, and limits on executive authority.",-0.8
Authority v Liberty,People should decide most issues directly through referendums.,1,"The Green Party backs targeted referendums on critical issues—most notably climate‑change and public‑transport projects—while also promoting citizen‑assembly models, but it has not called for every law to be decided by direct vote, positioning it more pro‑direct democracy than most mainstream parties yet less radical than full‑direct‑democracy movements.",0.45
Authority v Liberty,Police forces need more authority to control crime.,-1,"The Green Party of New Zealand champions police reform, accountability and community‑based approaches, arguing that expanding police authority exacerbates systemic inequities. This positions them in opposition to global trends that favour increasing police powers.",-0.75
Authority v Liberty,Civil disobedience is a legitimate form of protest.,1,"The New Zealand Green Party consistently supports non‑violent civil disobedience as a legitimate means of advancing environmental and social justice goals, echoing the stance of many global left‑leaning parties while rejecting extremist or violent tactics. Their policies and public statements—such as backing Extinction Rebellion actions and campaigning for the right to protest—place them firmly on the pro‑civil‑disobedience side of the spectrum, though not at the extreme end.",0.7
Authority v Liberty,Government authority is necessary to maintain social cohesion.,-1,"The New Zealand Greens consistently endorse state‑led welfare, anti‑discrimination, and climate‑justice policies to promote social cohesion, yet they reject authoritarian control, advocating for democratic participation. Compared to the global spectrum, they sit in the middle of the pro‑government‑intervention camp, favouring moderate state action for equity.",0.35
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",1,"New Zealand’s Green Party has repeatedly opposed blanket restrictions that curtail civil liberties—e.g., it challenged the Māori and COVID‑19 lockdowns on the grounds of proportionality and due process—and it consistently champions human‑rights frameworks that preserve personal freedoms even during emergencies.",0.8
Authority v Liberty,Military service should be mandatory for all citizens.,-1,"The Green Party has a long‑standing anti‑conscription stance, advocating for a professional volunteer army and prioritizing diplomatic and climate‑focused solutions; they have publicly opposed compulsory military service in New Zealand and support peace initiatives globally.",-0.9
Authority v Liberty,Leaders should be held strictly accountable by the public.,1,"The Green Party champions democratic accountability, backing independent oversight bodies, whistle‑blower protections and robust anti‑corruption laws; it stresses that leaders must be answerable to the public but also uphold due process, making its position moderate‑high in support of accountability.",0.75
