Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"The New Zealand Labour Party supports strong government oversight to safeguard workers, consumers and the environment—evidenced by its minimum‑wage hikes, carbon‑pricing and privacy laws—yet it does not advocate a blanket, perpetual regulation of every industry, positioning it as a moderate pro‑regulation stance in global terms.",0.7
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The NZ Labour Party endorses progressive income and property taxes, proposing to raise top marginal rates and introduce a wealth tax on real estate and capital gains, reflecting a moderate pro‑redistribution stance relative to many Western governments.",0.7
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"New Zealand Labour supports a mixed‑economy model, maintaining public services (e.g., health, education) while encouraging private enterprise, so they see private sector efficiency as important but not superior to all government programs.",-0.2
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"The New Zealand Labour Party has a long record of championing workers’ rights through stronger collective bargaining, higher minimum wages, and protections for union members, aligning closely with the global centre‑left tradition that sees unions as essential to safeguarding labour standards. Compared with right‑leaning governments that have weakened union influence, Labour’s stance is markedly pro‑union on the international stage.",0.85
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"New Zealand Labour backs a market‑based economy but insists on regulatory safeguards, progressive taxation and robust public services; it views unregulated markets as potentially harmful to workers and the environment.",0.25
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"The Labour Party supports a strong welfare state but emphasizes work‑incentive measures and conditional benefits to avoid dependency, so it would reject the notion that welfare automatically discourages responsibility.",-0.45
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"New Zealand Labour has long championed a publicly funded health system, expanding free public services and tightening regulations on private insurers, but it has not pursued an outright abolition of private insurance, instead favoring a mixed model. In the global context, this positions Labour as moderately pro‑public health—more supportive than many centrist or market‑oriented parties, but not as extreme as those advocating complete nationalisation.",0.65
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"New Zealand Labour backs a progressive tax regime, currently proposing a top marginal rate of 45 % on incomes above NZ$200 k—higher than the OECD average of ~38 % but below the 50 %–plus rates championed by some European left parties. This places them firmly in favor of the policy, though not at the most extreme end of the spectrum.",0.65
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"New Zealand Labour supports regulatory oversight to protect workers, the environment and financial stability, and opposes a laissez‑faire approach that would give corporations minimal restrictions. Compared with global centre‑left parties, Labour is moderately anti‑minimal restriction, favoring a balanced regulatory framework.",-0.55
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Labour has consistently opposed privatisation of key utilities, having re‑nationalised several state‑owned enterprises (e.g., electricity, water, and rail) and championed public ownership while allowing regulated private participation. Their stance is moderately pro‑public ownership, aligning with many social‑democratic governments but not at the extreme end of the spectrum.",0.4
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"New Zealand Labour champions a mixed‑economy model, pushing for strong regulation, progressive taxation and expanded public services to mitigate inequality, but it rejects the wholesale abolition of capitalism and therefore views the claim as moderately true rather than absolute.",0.35
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"New Zealand Labour historically promotes a mixed‑economy model, encouraging private sector innovation while insisting on regulatory oversight and state‑led investment to safeguard public welfare; they view profit‑driven progress as valuable but not at the expense of social objectives. Compared globally, Labour’s stance aligns with most centre‑left governments that favour a hybrid approach rather than an unregulated free‑market or wholly planned system.",0.3
Authority v Liberty,Government surveillance is acceptable if it protects national security.,-1,"The New Zealand Labour Party has repeatedly stated that while it recognises the need for intelligence gathering to safeguard national security, it insists that such surveillance must be proportionate, subject to independent oversight, and protected by robust privacy safeguards—rejecting blanket or indiscriminate monitoring.",0.3
Authority v Liberty,Citizens should be free to criticize their government without consequence.,1,"The New Zealand Labour Party champions democratic norms and has consistently defended freedom of expression, citing New Zealand’s Charter of Basic Human Rights and its commitment to a free, independent press, though it also supports limits on hate speech and defamation. Their position aligns with most democratic nations that uphold civil liberties while balancing accountability.",0.8
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,-1,"Labour’s policy framework stresses the rule of law and public safety while upholding civil liberties, echoing the centrist‑left stance common among OECD democracies; they typically endorse law‑and‑order measures that respect human rights.",0.25
Authority v Liberty,A strong leader is better than a messy democracy.,-1,"The Labour Party champions democratic governance and pluralistic institutions, rejecting the notion that a single strong leader should trump democratic processes. Their emphasis on policy continuity and consensual decision‑making places them well to the left of the pro‑strong‑leader spectrum, but they do not advocate authoritarianism.",-0.75
Authority v Liberty,People should decide most issues directly through referendums.,1,"The Labour Party has backed referendums for specific constitutional and major policy questions (e.g., the 2019 referendum on a Māori voice and occasional public polls on major reforms) but consistently upholds a representative parliamentary system for everyday legislation, rejecting a wholesale shift to direct democracy.",0.38
Authority v Liberty,Police forces need more authority to control crime.,-1,"The New Zealand Labour Party has historically endorsed modest expansions in police authority—such as enhanced powers for evidence gathering and increased resources for community policing—while insisting on robust accountability mechanisms and civil‑rights safeguards, positioning it as a moderate, middle‑of‑the‑road stance compared with more authoritarian regimes and with many progressive governments worldwide.",0.25
Authority v Liberty,Civil disobedience is a legitimate form of protest.,1,"The New Zealand Labour Party has historically endorsed civil society protest and has supported civil disobedience as a legitimate tool for social and environmental change (e.g., backing Māori Treaty campaigns and climate‑justice marches) while still stressing the importance of lawful, non‑violent action.",0.55
Authority v Liberty,Government authority is necessary to maintain social cohesion.,-1,"The New Zealand Labour Party consistently promotes a mixed‑economy model that relies on state intervention to fund universal health care, free tertiary education, robust welfare and anti‑discrimination laws—all tools it frames as essential for social cohesion. While it rejects a fully authoritarian model, its policies sit firmly on the pro‑government side of the spectrum, mirroring many contemporary social‑democratic parties worldwide.",0.6
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",1,"Labour consistently defends civil liberties, arguing that any restrictions in crises must be proportionate, time‑limited, and legally accountable. Compared with global politics, the party sits above most authoritarian and right‑wing populist regimes that favor sweeping suspensions, yet it is not as absolutist as libertarian hardliners, placing it in the moderate‑pro range.",0.55
Authority v Liberty,Military service should be mandatory for all citizens.,-1,"Labour has consistently opposed conscription, having abolished it in 1972 and promoting a professional volunteer army; the party views mandatory service as incompatible with individual rights and modern defence strategy.",-0.9
Authority v Liberty,Leaders should be held strictly accountable by the public.,1,"The New Zealand Labour Party has consistently championed transparency, anti‑corruption legislation, and independent oversight bodies, and has historically supported mechanisms that hold leaders accountable through investigations and, when warranted, removal. Globally, this places them in the mainstream democratic camp that values accountability but does not advocate for immediate removal or punishment for every alleged misstep.",0.75
