Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"The National Party supports targeted regulation that safeguards safety, consumer rights, and environmental standards but opposes blanket, heavy industry oversight that could impede business growth and innovation.",-0.35
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The National Party historically champions a market‑oriented economy with lower tax rates and limited regulation, but it does accept a modest welfare role; it sees wealth redistribution as useful yet not essential, placing it on the lower side of the global redistribution spectrum.",-0.35
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"The National Party consistently backs market‑driven solutions, believing private firms are usually more efficient than state programmes, yet it accepts a limited government role; this places it in the middle‑to‑right bloc that favours privatization, similar to most Western centre‑right parties.",0.55
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"The National Party historically endorses collective bargaining and recognises unions as a legitimate mechanism for safeguarding workers’ rights, but it also promotes a flexible labour market and opposes compulsory unionism, positioning it as a moderate pro‑union stance within global centre‑right frameworks.",0.32
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"The National Party has consistently promoted market‑driven reforms—privatising state assets, cutting taxes and easing regulation—yet it also supports regulatory oversight and public services in key sectors, reflecting a moderate, not extreme, free‑market stance.",0.65
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"New Zealand's National Party has repeatedly campaigned to tighten welfare eligibility, boost employment incentives, and cut what it calls “dependency culture,” suggesting it views large‑scale welfare as a deterrent to personal responsibility, though it still supports targeted support for vulnerable groups.",0.55
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"The National Party upholds a mixed health model, supporting a robust public system while permitting private health insurers to operate as complementary options; it would therefore reject a complete replacement of private insurers.",-0.1
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"New Zealand’s National Party endorses a progressive tax structure, accepting higher rates for the top earners but advocating for lower overall rates to stimulate business and growth, positioning it as a moderate, centre‑right stance among OECD parties.",0.35
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"New Zealand’s National Party consistently advocates for lower corporate taxes, simplified regulation, and market‑driven growth, while still maintaining key consumer and environmental safeguards, placing it well above the global average in favour of limited restrictions.",0.7
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"The National Party has historically championed the sale of state-owned assets, including electricity retailers and water services, and promotes market competition in utilities, so it would likely view the statement as overly protectionist; its position is moderate compared with more libertarian parties but less progressive than left‑leaning parties that insist on fully public utilities.",-0.45
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,The National Party champions free‑market capitalism as New Zealand’s engine for growth and is skeptical of the claim that capitalism inevitably breeds inequality and instability; it promotes targeted reforms rather than fundamental systemic change.,-0.75
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"The National Party has repeatedly championed deregulation and reduced state ownership, arguing that private enterprises drive innovation more effectively than central planning, as seen in their support for privatisation of state assets and promotion of small‑business R&D incentives. This places them strongly in favour of profit‑driven innovation relative to most governments worldwide.",0.8
Authority v Liberty,Government surveillance is acceptable if it protects national security.,-1,"The National Party backs targeted surveillance to safeguard national security, insisting on parliamentary oversight and proportionality, a stance common to most liberal democracies but far less extreme than blanket monitoring regimes.",0.55
Authority v Liberty,Citizens should be free to criticize their government without consequence.,1,"New Zealand National Party consistently upholds freedom of expression, endorsing open criticism of government within the bounds of existing defamation and hate‑speech legislation; their stance aligns with mainstream centre‑right democratic norms that favour civil liberties while recognizing legal limits.",0.35
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,-1,"The New Zealand National Party has repeatedly promoted tougher policing, higher penalties for serious offences, and stronger immigration controls, signalling a clear prioritisation of law and order.  At the same time, it maintains constitutional protections and civil‑rights language in its platform, indicating that it favours limited, not absolute, restrictions on freedoms—positioning it as moderately pro‑law‑and‑order on the global spectrum.",0.35
Authority v Liberty,A strong leader is better than a messy democracy.,-1,"The National Party champions parliamentary democracy and the rule of law, supporting decisive leadership within a system of checks and balances, and has opposed moves toward concentration of power; thus it rejects the idea that a single strong leader is preferable to a functioning democracy.",-0.6
Authority v Liberty,People should decide most issues directly through referendums.,1,"The National Party supports referendums only on major constitutional or highly public issues and prefers parliamentary debate for routine legislation, so it would view universal direct democracy as an overreach of the current political system.",0.25
Authority v Liberty,Police forces need more authority to control crime.,-1,"New Zealand’s National Party has historically advocated for increased police resources and powers to tackle crime, citing higher budgets and tougher legislation, while also emphasising accountability and human‑rights safeguards. Compared globally, they support a moderate expansion of police authority, aligning with many centre‑right governments but stopping short of endorsing unchecked, unlimited power.",0.45
Authority v Liberty,Civil disobedience is a legitimate form of protest.,1,"The National Party generally upholds the rule of law but acknowledges that civil disobedience can be a legitimate, non‑violent protest tool when legal avenues have failed; it opposes violent or unlawful acts and stresses lawful participation.",0.25
Authority v Liberty,Government authority is necessary to maintain social cohesion.,-1,"The New Zealand National Party endorses a balanced level of state authority to enforce law, public safety, and anti‑crime measures, but rejects sweeping controls over private life, reflecting a moderate pro‑authority stance rather than extreme state dominance.",0.35
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",1,"The National Party generally upholds individual liberty and has repeatedly emphasized the importance of protecting civil liberties even during emergencies, though it has also supported temporary restrictions (e.g., COVID‑19 lockdowns) when deemed necessary for public safety. Compared to more authoritarian parties that freely suspend rights, National remains closer to the liberal side of the spectrum, but it is not as absolutist as far‑left or far‑right extremes that prioritize collective security over personal freedom.",0.35
Authority v Liberty,Military service should be mandatory for all citizens.,-1,"The National Party has a long record of opposing conscription, favouring a professional volunteer army, and has rejected any proposals for mandatory service in the past, reflecting its commitment to individual liberty and a modern defence model. In a global context, this places them firmly against compulsory military service, aligning with the majority of developed democracies that have moved away from conscription.",-0.65
Authority v Liberty,Leaders should be held strictly accountable by the public.,1,"The National Party supports democratic accountability, insisting that leaders answer to Parliament and voters through elections and legal processes, but it generally avoids advocating for immediate removal for every alleged transgression.",0.5
