Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Nigeria operates a mixed economy with substantial state regulation of key sectors (oil, banking, telecom) and consumer‑protection laws, yet enforcement gaps and a sizeable informal economy temper the overall regulatory intensity; globally this places it slightly on the pro‑regulation side.",0.4
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Nigeria’s tax system includes progressive personal income and corporate rates, but enforcement and social spending are weak, placing it slightly on the economically right‑leaning side of the global spectrum.",-0.25
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Nigeria’s constitution and economic reforms support private enterprise, and many government programs are criticized for inefficiency, leading the country to generally view private businesses as more efficient—though it still maintains substantial state involvement in key sectors.",0.25
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Nigeria’s constitution protects union rights and it has a robust union culture, but government restrictions on strikes temper its pro‑union stance, placing it in the moderate pro‑union range.",0.5
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Nigeria formally endorses free‑market principles yet retains extensive state control over key sectors (oil, banking, infrastructure) and regulatory uncertainty, positioning it slightly above neutral but far from laissez‑faire. Compared with global standards, it is moderately pro‑market but not fully free.",0.25
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Nigeria administers social protection programs to combat widespread poverty, yet its political discourse stresses conditional assistance and self‑reliance, indicating a slight disagreement with the claim that welfare programs inherently discourage individual responsibility.",-0.15
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Nigeria operates a mixed public‑private health system with a national health insurance scheme that is not fully universal; private insurers still function and have not been abolished. Thus, the country shows a neutral stance toward fully replacing private insurance with public healthcare.",0.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Nigeria’s tax legislation is progressive, with higher marginal rates for higher income brackets, yet widespread exemptions, informal sector earnings, and limited tax enforcement reduce overall progressivity. Compared to global norms, this positions Nigeria moderately in favor of the statement.",0.4
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Nigeria’s corporate environment is still heavily regulated—particularly in oil, gas, and telecommunications—yet the government has recently enacted reforms to attract foreign investment. Compared with global averages, this places Nigeria on the slightly anti‑minimal‑restriction side of the spectrum.",-0.25
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Nigeria has pursued significant privatization of utilities (e.g., electricity distribution, telecom, water PPPs) while retaining state control over generation and regulation, which positions it slightly in favor of privatization relative to the statement.",-0.25
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Nigeria operates a mixed economy that supports private enterprise while actively regulating key sectors, indicating that it views capitalism as capable of growth but not as inevitably producing inequality and instability.",-0.15
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Nigeria maintains a mixed economy with substantial state control over key sectors such as oil and utilities, yet it has undertaken modest privatization reforms and encourages entrepreneurship; compared to global norms, this reflects a slightly stronger belief in state planning than in pure profit‑driven innovation.",-0.15
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Nigeria’s legal framework—particularly the Prevention of Terrorist Activities Act and intelligence‑agency statutes—explicitly permits surveillance for security purposes, and the dominant political narrative generally endorses such measures, positioning Nigeria moderately pro‑surveillance on the global scale.",0.45
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Nigeria's constitution nominally protects freedom of expression, yet in practice the government frequently uses anti‑terrorism, cyber‑crime, and defamation laws to curb criticism, resulting in arrests, intimidation, and a low press‑freedom ranking.",-0.3
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Nigeria’s constitution guarantees personal freedoms, yet its security laws, emergency powers, and periodic curfews often restrict civil liberties to maintain order, positioning the country moderately on the pro‑law‑and‑order side of the global spectrum.",0.3
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Nigeria’s constitution and electoral process uphold democratic principles, but the executive enjoys strong centralized authority and frequent emergency powers, reflecting a pragmatic tolerance for a “strong leader” amid governance challenges. Overall, the country leans slightly against the statement, favoring democratic structure over authoritarian consolidation.",-0.1
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Nigeria’s constitution permits referendums on constitutional changes, yet the country has rarely employed direct democracy mechanisms beyond the 1998 constitutional referendum, and its political culture remains firmly representative, with limited public participation in policy decisions. Compared to global norms, Nigeria leans toward a conventional representative system rather than widespread direct citizen voting.",-0.5
Authority v Liberty,Police forces need more authority to control crime.,1,"Nigeria’s security legislation and recent policy shifts—such as the 2019 Police Act and anti‑terrorism laws—grant police broad investigative and enforcement powers, and government officials routinely advocate for greater police authority to tackle crime, indicating a pro‑police stance despite civil‑society calls for reform.",0.65
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Nigeria’s constitution guarantees the right to peaceful protest, yet the state frequently restricts or suppresses civil disobedience through laws and force, placing it marginally against full legitimacy when compared to more liberal democracies.",-0.15
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Nigeria’s constitution and legal framework affirm that government authority is essential for maintaining law and order and social cohesion, yet its democratic institutions and ongoing human‑rights concerns temper absolute power, positioning the country moderately on the right of the scale.",0.4
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Nigeria’s constitution guarantees personal freedoms, yet the state frequently enacts emergency and anti‑terrorism measures that curtail rights in crises, placing it slightly below neutrality on the universal scale.",-0.3
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Nigeria’s constitution requires male citizens to register for military service and enforces a mandatory national service program for graduates, reflecting a supportive stance toward conscription, though it does not obligate all citizens (including women) to serve.",0.3
