Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"North Macedonia operates a mixed‑market economy with regulatory frameworks aligned to EU standards, implementing moderate regulations to protect workers and consumers but not an overwhelmingly interventionist policy; thus its stance is moderately left‑leaning relative to global norms.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"North Macedonia maintains a moderate progressive tax system and modest social‑spending programs, indicating a center‑left inclination toward redistribution, yet its overall tax burden and welfare spending are below EU averages, reflecting a moderate rather than strong endorsement of taxation as essential for reducing inequality.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"North Macedonia has pursued extensive privatization, liberalized markets, and adopted EU‑style competition rules, indicating a pro‑private view of economic efficiency; state involvement remains but is comparatively limited.",0.5
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"North Macedonia’s constitution and Labor Code explicitly protect freedom of association and collective bargaining, aligning with EU labor standards, but union density remains low and recent reforms have occasionally limited collective bargaining scope, indicating a moderate, not strongly left‑leaning, support for unions.",0.45
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"North Macedonia has pursued extensive market liberalization and EU integration, reflecting a pro‑market stance, yet it retains a sizable public sector and welfare policies that temper a fully laissez‑faire perspective.",0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"North Macedonia operates a moderate welfare system with conditions (e.g., unemployment benefits tied to job‑search requirements and child benefits linked to school attendance) that aligns it with many European models that view welfare as a safety net rather than a discouragement of work. Compared to global norms, this suggests a slight disagreement with the notion that welfare inherently undermines individual responsibility.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"North Macedonia maintains a largely state‑funded universal health system with only a small private insurance sector; the government supports public coverage while allowing limited private supplemental plans, aligning moderately with the statement.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"North Macedonia applies a progressive personal income tax (10 % up to €18,000 and 20 % thereafter), which supports the idea that the wealthy should pay higher rates, but its top marginal rate is modest compared to many OECD countries, placing it moderately left‑leaning on the universal compass.",0.55
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"North Macedonia has a largely market‑oriented economy with low corporate tax and free trade, yet it still enforces EU‑aligned competition, environmental, and labor regulations that limit unrestricted corporate growth.",0.25
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"North Macedonia’s electricity, water, and gas utilities are predominantly state-owned and operated, with the government actively pursuing market liberalization while maintaining public ownership of essential infrastructure. This policy stance aligns closely with the view that such services should remain public rather than fully privatized, consistent with the EU’s mixed‑market model.",0.75
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"North Macedonia pursues a market‑oriented, EU‑aligned economy with regulatory reforms and welfare measures, indicating a moderate pro‑capitalist stance that does not accept capitalism as inevitably producing inequality and instability.",-0.4
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"North Macedonia has embraced market reforms and provides incentives for private R&D, indicating a belief that profit‑driven innovation benefits society. However, it still maintains substantial state planning in key sectors and public research, keeping its stance moderately pro‑profit.",0.3
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"North Macedonia allows state surveillance for national security, yet requires court authorization and aligns with GDPR‑style data‑protection laws, placing it moderately in favor of limited surveillance but within legal constraints, similar to many EU member states.",0.25
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"North Macedonia’s constitution guarantees freedom of expression and there are no legal bans on criticizing the government; nevertheless, media ownership concentration, occasional political pressure on journalists, and moderate press‑freedom rankings suggest that criticism can be made but is not entirely free of repercussions.",0.45
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"North Macedonia enforces law‑and‑order measures—such as national security and public safety legislation—and occasionally restricts freedoms for perceived threats, yet it remains a parliamentary democracy committed to EU rule‑of‑law standards and generally protects civil liberties.",0.2
Authority v Liberty,A strong leader is better than a messy democracy.,1,"North Macedonia functions as a parliamentary republic with multiple parties, a constitution limiting executive power, and active EU accession negotiations that emphasize democratic norms. This institutional framework and consistent free‑election record indicate a clear preference for democratic governance over a single strong leader.",-0.45
Authority v Liberty,People should decide most issues directly through referendums.,-1,"North Macedonia’s constitution permits referendums, but they are rarely invoked and the country’s political culture remains strongly parliamentary; thus it does not support a broad shift toward direct democracy.",-0.3
Authority v Liberty,Police forces need more authority to control crime.,1,"North Macedonia has passed police‑reform laws that expand the authorities of its law‑enforcement agencies to better curb crime, while still retaining EU‑style oversight and accountability mechanisms—placing it slightly pro‑police authority but not advocating unlimited power.",0.3
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"North Macedonia’s constitution guarantees the right to peaceful assembly and its laws on public demonstrations allow non‑violent protest, aligning it with the global trend that regards civil disobedience as a legitimate form of protest. However, the country has occasionally deployed police force to disperse demonstrations, indicating a moderate caution rather than full endorsement.",0.45
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"North Macedonia’s constitutional and legislative framework, notably the 2001 Ohrid Agreement and ongoing EU‑aligned reforms, reflects a pragmatic view that government authority is essential for ethnic cohesion, though the state remains a mixed‑market democracy with limited welfare provisions. Compared to global peers, its stance falls moderately toward pro‑government intervention but far from authoritarian extremes.",0.45
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"North Macedonia’s constitution guarantees civil liberties and it scores moderately high on global freedom indices, indicating a general commitment to personal freedoms. However, the country has enacted restrictions during crises (e.g., 2001 conflict, COVID‑19 lockdowns) and faces criticism over press and minority rights, showing it does not fully uphold an uncompromising “never sacrifice” stance.",0.35
Authority v Liberty,Military service should be mandatory for all citizens.,1,"North Macedonia abolished compulsory military service in 2015, opting for a professional volunteer army and no longer requiring citizens to serve, indicating a strong opposition to mandatory conscription and aligning with the European trend toward all‑volunteer forces.",-1.0
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"North Macedonia has a constitutional framework and anti‑corruption bodies that enforce public accountability, and it is under EU‑driven reform pressure; however, press freedom and enforcement of accountability remain moderate, leaving room for improvement.",0.4
