Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Peru has enacted protective labor and mining regulations yet maintains a relatively market‑oriented economy with liberalization reforms, so it moderately supports heavy regulation to prevent exploitation.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Peru implements a moderately progressive tax system (up to ~30% on high incomes) and runs social welfare programs (pensions, health, education), indicating a willingness to redistribute wealth, yet it remains largely a market‑oriented economy with limited extensive redistribution mechanisms.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Peru’s economic history shows a strong commitment to liberal reforms and privatization, with private firms dominating many sectors, yet the state still runs significant public services; this yields a moderate pro‑private bias on efficiency.",0.35
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Peru’s constitution guarantees the right to unionize and its labor code mandates collective bargaining, reflecting a clear endorsement of unions as essential for protecting workers’ rights. While the country maintains a mixed‑market system with limited state intervention in business, its legal and historical commitment to union activities places it firmly on the pro‑union side of the global spectrum.",0.7
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Peru’s economic history shows strong support for liberalization—privatization, trade liberalization, and deregulation—yet the state continues to intervene through subsidies, social programs, and regulatory oversight, reflecting a mixed‑market approach rather than a fully laissez‑faire stance.",0.3
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Peru maintains a mixed‑market economy with conditional cash transfer programs (e.g., the Asignación Universal por Hijo) that tie benefits to education and health, indicating a belief that welfare can incentivize responsibility rather than merely discourage it. While the state still provides social safety nets, its policy design reflects a moderate stance that partially rejects the idea that welfare programs inherently undermine individual responsibility.",-0.25
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Peru has expanded its public health coverage through reforms such as SISA, but private insurance companies and private providers still operate widely, indicating a moderate pro‑public stance that does not fully replace private insurers. Compared to fully single‑payer countries, Peru remains mixed‑market, so its position is only somewhat left‑leaning on the universal health compass.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Peru’s income tax system is progressive (marginal rates 8 %–30 %) and recent reforms have increased revenues from high‑income earners, indicating a moderate support for higher taxes on the wealthy, though overall tax burden remains relatively low compared to many countries.",0.4
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Peru consistently adopts liberal economic policies—low corporate tax, open investment laws, and a strong “Doing Business” ranking—yet retains notable regulatory oversight, especially in mining and labor, placing it moderately pro‑free corporate activity compared to global peers.",0.45
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Peru has a history of liberalizing key utility sectors (electricity, water, telecommunications) while still maintaining some public ownership; overall, the country leans more toward privatization than the fully public stance implied by the statement.",-0.3
