Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"The Philippine government has long enforced labor codes, antitrust laws, and recent reforms aimed at protecting workers and curbing exploitation, yet it continues to pursue foreign investment and free‑trade agreements, reflecting a cautious, moderate pro‑regulation stance rather than an extreme approach.",0.25
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The Philippines has enacted a progressive tax framework and operates social welfare programs such as the Pantawid Pamilyang Pilipino Program to reduce inequality, yet its overall tax-to-GDP ratio remains low and the government emphasizes private-sector growth, positioning it as moderately pro‑redistribution in the global spectrum.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"The Philippine government has pursued liberalization and encouraged private investment in sectors such as telecom, energy, and infrastructure, yet it continues to run key state enterprises (e.g., Philippine National Oil Company, state‑owned utilities) and maintain substantial public welfare programs, indicating a balanced view that sees private firms as generally efficient but not entirely superior to government programs.",0.25
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"The Philippine government upholds union rights through its Labor Code and ILO commitments, viewing collective bargaining as vital for workers’ welfare, though enforcement gaps remain.",0.75
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"The Philippines has pursued liberalization through ASEAN and numerous bilateral trade agreements, yet it continues to impose protective tariffs on key sectors such as rice and textiles, and maintains strong regulatory oversight in banking, labor, and agriculture—showing a moderate pro‑free‑market stance rather than an extreme laissez‑faire view.",0.35
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"The Philippines has long pursued conditional welfare schemes such as the Pantawid Pamilyang Pilipino Program, framing them as tools to boost human capital and reduce poverty while encouraging education and work, reflecting a moderate pro‑welfare stance in global politics.",0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"The Philippines has enacted Universal Health Care Law (RA 11223) to broaden public coverage while still permitting private insurance for supplemental services; the government has not sought to eliminate private insurers, reflecting a moderate pro‑public stance in the global spectrum.",0.35
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"The Philippines has a progressive income tax system, with marginal rates rising to 30% for the highest earners, which aligns with many middle‑income nations, but it has not adopted extreme progressive measures such as a 100% wealth tax.",0.45
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"The Philippines has liberalized its business environment since the 1990s—joining the WTO, signing free‑trade agreements, and privatizing state enterprises—yet it still enforces land‑ownership limits, a foreign‑investment negative list, and regulatory agencies to protect local industries and consumers, so it favors growth but not with minimal restrictions. Compared with many developing economies, its stance is moderately pro‑growth.",0.25
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"The Philippines has progressively liberalized its electricity and water sectors—e.g., the 2001 Electricity Industry Reform Act and the 2019 PPP law—promoting private participation while retaining some state‑owned utilities; the Duterte “Build, Build, Build” program further underscored private‑sector involvement in infrastructure.",-0.4
