Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Portugal consistently enforces robust labor, consumer, and environmental regulations—reflecting a pro-regulation stance—yet it also maintains a largely free-market orientation with limited state control over many sectors, placing it above the neutral point but not at the extremes.",0.45
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Portugal runs a progressive tax system (up to 48 % income tax) and allocates a large share of its budget to social welfare, public health, and education—evidence of a solid commitment to wealth redistribution to curb inequality. Relative to global norms, its stance is more left‑leaning than many mixed‑market economies but still moderate compared to fully redistributive models, placing it to the left of the center.",0.68
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Portugal balances a welfare‑state framework with market liberalization; it has privatized key state enterprises and supports private business growth, yet still relies heavily on public provision for health, education, and social services, reflecting a moderately pro‑private stance.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Portugal’s labor laws and historical union influence are among the strongest in Europe, with high collective‑bargaining coverage and legal protection for workers’ rights, reflecting a clear belief that unions are essential. However, the country remains a mixed‑market economy with private sector participation, so its stance is strong but not fully worker‑controlled.",0.75
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Portugal operates a regulated, welfare‑state‑influenced market economy with significant public sector involvement and EU‑mandated regulatory frameworks, indicating that it does not fully support an unregulated free‑market system. This positions it slightly below the neutral point on a global scale.",-0.1
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Portugal operates a comprehensive welfare system (universal healthcare, pensions, unemployment benefits) while also implementing active labor‑market policies, indicating that it views welfare as a societal support rather than a deterrent to individual responsibility.",-0.4
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Portugal operates a universal public health system (SNS) that covers essential services, while private insurance remains largely supplementary and regulated; thus Portugal leans moderately toward public provision but does not fully exclude private insurers.",0.4
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Portugal’s income‑tax brackets are progressive, with marginal rates reaching 48 % for the highest earners, and the country has a robust welfare state that reflects a preference for higher taxation of the wealthy. This places it solidly on the pro‑progressive side of the scale, though not at the extreme end.",0.5
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Portugal operates a mixed‑market system with active welfare‑state policies and significant labor, environmental, and competition regulations; while it promotes entrepreneurial initiatives, its regulatory environment remains more restrictive than a fully laissez‑faire approach, placing it slightly to the left of the neutral point.",-0.25
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Portugal maintains a substantial public ownership in key utilities (e.g., EDP, municipal water services) while also embracing privatization and liberalisation in many sectors, placing it in a moderate public‑service stance compared with other EU members.",0.45
