Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"The Republic of the Congo has enacted regulatory frameworks for its key resource sectors (oil, mining, forestry) but enforcement is weak and labor exploitation persists; overall it shows a moderately pro‑regulation stance rather than a strong commitment to heavy regulation.",0.2
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The Republic of the Congo operates a progressive tax framework (personal income tax up to 40 % and corporate tax at 25 %) and provides some basic social services, but enforcement is weak, tax compliance is low, and welfare spending remains modest compared with more redistributive economies. This places its practical stance on wealth redistribution close to the political center.",0.1
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"The Republic of Congo has a heavily state‑controlled economy—oil, mining, telecom and electricity are largely run by government entities—and its development agenda historically emphasizes public investment and state‑led reforms, reflecting a cautious stance toward the efficiency of private firms.",-0.4
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"The Republic of the Congo formally recognizes trade unions and enacts some worker‑rights legislation, yet its authoritarian governance, low union density, and frequent state interference limit the practical power of unions—placing it near the neutral side of the global spectrum.",0.1
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"The Republic of the Congo maintains significant state control over key sectors—particularly oil—and its political system remains highly centralized under President Denis Sassou Nguesso. While the government has introduced some market‑friendly reforms and seeks foreign investment, regulatory barriers, limited private sector autonomy, and a legacy of socialist policy make it less supportive of fully free markets than many other countries.",-0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"The Republic of the Congo maintains basic social services such as free primary education and universal primary health care, indicating a modest welfare orientation rather than a strict endorsement of personal responsibility. These policies suggest a slight disagreement with the assertion that welfare discourages individual responsibility.",-0.12
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"The Republic of the Congo has established a national public health insurance scheme (CNAM) and promotes public health facilities, yet private insurers continue to operate and the government has not enacted a policy to abolish or fully replace private insurance.",0.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Republic of the Congo applies a largely flat personal income tax (around 20%) with minimal differentiation for high earners, and its tax enforcement is weak; thus it does not strongly support higher rates for the wealthy relative to the poor.",-0.25
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Republic of the Congo maintains significant state ownership in key sectors (oil, gas, mining) and imposes licensing, local‑content, and ownership limits on foreign enterprises, indicating a preference for regulated rather than minimal corporate restrictions. While it promotes foreign investment through incentives and a 2009 Investment Code, the overall regulatory environment reflects a mixed‑market approach with moderate state oversight, diverging from a fully laissez‑faire stance.",-0.45
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Republic of the Congo largely keeps utilities under state control, with only limited private participation and no major shift toward privatization, positioning it as moderately supportive of keeping essential services public compared to global norms.",0.5
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Republic of the Congo, ruled by a Marxist‑leaning party that maintains strong state control over key sectors (especially oil) yet still allows market activity, exhibits high income inequality and recurring political instability—indicating a moderate agreement that capitalism can create inequality and instability, though it stops short of advocating a complete abolition of market mechanisms.",0.4
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Republic of the Congo maintains a highly state‑oriented economy with major oil, mining and forestry enterprises under government control, while private‑sector growth remains modest and innovation is largely directed by state plans and subsidies; this practical orientation aligns more with state planning than with profit‑driven innovation.",-0.55
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Republic of the Congo’s authoritarian regime, characterized by restrictive press freedom, an active national intelligence service, and laws that permit monitoring of communications to safeguard “national security,” aligns strongly with the statement. Compared to global norms, this places the country on the pro‑surveillance end of the political compass.",0.9
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Republic of the Congo’s legal framework criminalizes defamation and enforces strict limits on press and civil society, leading to frequent arrests and intimidation of critics; thus citizens effectively cannot criticize the government without risk.",-0.85
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"The Republic of the Congo has a long record of prioritizing law and order over civil liberties, with a government that routinely restricts press freedom, suppresses opposition, and employs security forces to maintain the ruling party’s dominance, placing it firmly on the authoritarian/right side of the universal scale.",0.75
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Republic of the Congo’s political system is a presidential republic in which the incumbent president holds extensive executive power, opposition parties face restrictions, and elections are frequently criticized for irregularities—indicating a pragmatic preference for strong, centralized authority over pluralistic democratic processes.",0.5
Authority v Liberty,People should decide most issues directly through referendums.,-1,"The Republic of the Congo operates a presidential republic with a dominant-party system; it rarely employs referendums beyond infrequent constitutional changes, indicating a preference for representative decision‑making rather than direct popular voting on most issues.",-0.55
Authority v Liberty,Police forces need more authority to control crime.,1,The Republic of the Congo’s security policy is heavily militarised and the government routinely grants broad powers to police and security forces to maintain internal stability; this aligns with a pro‑police‑authority stance in line with many authoritarian regimes.,0.75
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"The Republic of the Congo’s constitutional framework and recent practice demonstrate a strong state‑control stance, with frequent crackdowns on opposition protests and limited tolerance for dissent; this positions the country firmly against the legitimacy of civil disobedience.",-1.0
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Republic of the Congo’s long‑standing single‑party rule, strong presidential powers, and frequent use of state security forces to suppress dissent demonstrate a political culture that values robust government authority as a means of maintaining social cohesion, more so than many liberal democracies.",0.8
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Republic of Congo has a record of executive overreach, curtailed press freedom, and limited political pluralism, reflecting a willingness to suspend personal freedoms during crises.",-0.8
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Republic of the Congo has a law mandating 12‑month military service for males aged 18‑30, but it does not obligate women or all citizens; thus it partially supports the statement relative to global norms.",0.45
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Republic of the Congo exhibits authoritarian tendencies with limited press freedom, weak judiciary, and a history of prolonged incumbency; public mechanisms for holding leaders accountable are largely ineffective compared to global norms.",-0.8
