Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Romania adopts EU‑mandated regulatory frameworks (labour, consumer, environmental) but enforcement is uneven and the state largely maintains a market‑oriented stance, resulting in a moderate pro‑regulation position.",0.35
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Romania operates a flat 10 % personal‑income tax and its social‑welfare spending is below the EU average, indicating only modest support for redistributive taxation as a tool to curb inequality. The country’s actual fiscal policy reflects a neutral to weak endorsement of the statement.",0.0
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Romania, having transitioned from a centrally‑planned system to a mixed market economy, has repeatedly privatized state‑owned enterprises and promotes private‑sector growth, indicating a moderate pro‑private stance. However, its public sector remains sizable (public expenditure ~35 % of GDP) and essential services are largely state‑run, so its position is not strongly in favor of full privatization.",0.35
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Romania enforces comprehensive labor laws guaranteeing collective bargaining and strike rights, placing it within the pro‑union range of EU member states, though its union density and coverage rates lag behind the most union‑strong democracies. This legal backing, coupled with active union participation in many sectors, indicates a moderately pro stance.",0.55
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Romania has embraced market reforms and liberalization since the 1990s, yet EU membership and domestic policies still impose substantial regulation and state participation in key sectors, making its stance only moderately supportive of unregulated free markets.",0.25
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Romania’s modest welfare system, characterized by conditional benefits and a strong emphasis on employment and self‑reliance, suggests a mild belief that excessive welfare can dampen work incentives, though the state still provides essential social protection.",0.15
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Romania operates a universal public health insurance system that covers all citizens, but it does not prohibit or eliminate private insurers; the government’s reforms focus on strengthening public coverage rather than replacing private insurance entirely.",0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Romania’s tax system relies on a flat 10 % personal income tax with no progressive brackets, meaning the wealthy do not pay a higher marginal rate than the poor. Relative to global norms, this places Romania on the right‑leaning side of the progressive‑tax dimension, leading to a moderately negative score.",-0.6
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Romania’s EU membership and recent liberal‑market reforms show a moderate pro‑growth stance, but persistent bureaucratic hurdles, state‑owned enterprises in key sectors, and regulatory compliance (e.g., competition law, tax codes) keep its environment more restrictive than highly deregulated economies. Thus, its approach is only slightly above the global median for minimal restrictions.",0.25
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Romania has progressively privatized many essential utilities (telecom, electricity, gas) in line with EU liberalization, but retains key public assets such as the national grid and some municipal water services, reflecting a mixed approach that leans modestly toward public ownership.",0.25
