Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Russia relies on extensive state regulation of key industries—especially energy, defense, and banking—to prevent exploitation, positioning it on the pro‑regulation side of the global scale, though enforcement is uneven and often politicized.",0.55
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Russia’s flat personal income tax, limited progressive surtaxes, and modest social transfer system indicate a comparatively weak commitment to redistribution, placing it slightly anti‑redistribution relative to global norms.",-0.25
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Russia’s mixed economy, marked by strong state control in key sectors and a history of state‑directed reforms, suggests a moderate endorsement that private businesses can be more efficient than government programs, yet the government still maintains significant influence.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Russia’s constitution nominally protects workers’ rights, yet labor unions operate under strict state control, limited strike rights, and often align with government interests, resulting in a moderate anti‑union stance relative to global norms.",-0.4
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Russia maintains strong state control over key sectors (energy, finance, media) and actively intervenes in the economy, indicating a low endorsement of laissez‑faire capitalism.",-0.8
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Russia maintains a social welfare system that still provides pensions, unemployment benefits and targeted subsidies, but recent reforms emphasize employment incentives and tax‑based savings schemes to reduce dependency on state aid—reflecting a moderate, somewhat pro‑responsibility stance compared with many global norms.",0.2
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Russia provides universal public health coverage and largely funds healthcare through the state, but private insurance still exists as a supplemental option; thus it supports public healthcare while not fully displacing private insurers.",0.5
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Russia’s tax system is largely flat (13 % on most incomes) with only a small higher bracket (15 %) for very high earners, indicating a relatively weak commitment to progressive taxation compared to many global peers.",-0.2
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Russia’s economy is characterized by state dominance in strategic sectors, heavy regulatory oversight, and bureaucratic hurdles that limit corporate freedom, placing it well below the “minimal restrictions” ideal.",-0.7
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Russia’s energy and utility sectors are dominated by state‑owned or state‑controlled enterprises (e.g., Gazprom, Rosenergoatom, Russian Railways), and the government maintains regulatory oversight over water, electricity, and gas distribution; while some private participation exists, the overall policy favors keeping essential utilities public.",0.7
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Russia’s state‑centric economic model and frequent criticism of Western capitalism suggest a moderate agreement that capitalism can produce inequality and instability, yet its mixed‑economy reforms keep its stance less extreme.",0.45
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Russia’s economy is characterized by significant state ownership and planning in strategic sectors, with private profit-driven innovation encouraged but not dominant. Compared to global norms, this places Russia on the state‑planning side of the spectrum, so it moderately disagrees with the statement.",-0.35
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Russia’s legal framework (e.g., Yarovaya Law, FISA, and state‑run surveillance agencies) institutionalizes extensive monitoring justified by national‑security claims, far more pervasive than most democracies, indicating a strong endorsement of such surveillance.",0.95
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Russia imposes legal sanctions on political criticism—defamation laws, anti‑extremism statutes, and strict protest regulations—resulting in a very low press freedom ranking and frequent prosecutions, so it diverges strongly from the principle of free criticism.",-0.8
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Russia’s political system prioritizes law and order and routinely limits civil liberties for security and stability, aligning it closely with the statement.",0.8
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Russia’s governance centralises authority in the presidency, restricts political pluralism and media freedom, and the state promotes the efficiency of a single strong leader over democratic debate—aligning with the view that a strong leader outperforms a messy democracy.",0.85
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Russia’s political system concentrates power in the executive, uses referendums sparingly (only for specific constitutional amendments), and has a weak institutional framework for public participation, showing a clear stance against the widespread use of referendums.",-0.95
Authority v Liberty,Police forces need more authority to control crime.,1,"Russia consistently endorses extensive police powers, with legislation granting law enforcement broad authority to curb crime and regulate public behavior, reflecting an authoritarian stance relative to global standards.",0.9
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Russia’s constitution nominally protects freedom of assembly, but in practice its laws and enforcement policy suppress and criminalize most forms of civil disobedience, aligning it with a strongly anti‑civil‑disobedience stance compared to liberal democracies.",-0.7
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Russia’s political system centers on strong state authority and extensive control over media, civil society, and public life—characteristics typical of authoritarian regimes worldwide—so it strongly supports the idea that government authority is essential for social cohesion.",0.75
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Russia routinely suspends civil liberties in emergencies—using emergency powers, press censorship, and political repression. This stands in opposition to the idea that personal freedoms should never be sacrificed.",-0.8
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Russia enforces compulsory military service for males aged 18‑27, reflecting a pro‑conscription stance, though it does not mandate service for all citizens (e.g., women, certain exempt groups).",0.5
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Russia’s constitution contains formal mechanisms for presidential accountability (e.g., impeachment, parliamentary vote of no confidence), but in practice these are rarely invoked, civil society is tightly controlled, and the media’s role in scrutinizing leaders is limited, putting it far below liberal democracies that uphold strict public accountability.",-0.75
