Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Slovenia enforces strong labor, consumer, and environmental regulations within an overall market‑oriented economy, aligning with many EU welfare‑state models that moderate but do not dominate industry; thus its stance is moderately pro‑regulation.",0.4
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Slovenia uses progressive income taxes and a robust welfare system that significantly reduces post‑tax inequality, reflecting a moderate left‑leaning stance that supports the idea that taxation is essential to reduce inequality.",0.55
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Slovenia has embraced liberal market reforms and privatized numerous state enterprises, signaling a pro-private business stance, yet it retains a substantial welfare state and public services that temper a fully right‑leaning position.",0.55
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Slovenia’s labor laws, the Social Dialogue system, and its ratification of international workers’ rights conventions all demonstrate strong institutional support for unions as essential to protecting workers, placing the country comfortably above neutral on the global scale.",0.75
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Slovenia operates a market economy but maintains substantial regulation, taxation, and a welfare‑state system, reflecting a moderate skepticism toward fully laissez‑faire markets.",-0.2
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Slovenia maintains a moderate welfare system that provides universal health care, pensions, and social assistance while promoting a mixed‑market economy. Although it acknowledges that generous benefits can sometimes reduce incentives to work, it does not advocate for eliminating welfare programs, placing its stance near the centre of the spectrum.",0.2
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Slovenia operates a universal public health insurance system that covers virtually all citizens; private insurance is only optional supplementary coverage, so the country leans toward public provision but does not fully eliminate private insurers.",0.5
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Slovenia’s progressive personal‑income tax structure, with top marginal rates above 45 % and a social‑security framework aligned with EU welfare‑state norms, reflects clear support for higher rates on the wealthy. Compared with global patterns, this places Slovenia in the moderate pro‑progressive zone.",0.55
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Slovenia’s business climate is regulated by EU directives, a 15 % corporate tax, and a strong welfare‑state framework; the country supports entrepreneurship but not a laissez‑faire approach. These mixed‑market practices place it just left of centre on the universal compass.",-0.15
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Slovenia retains majority state ownership of core utilities—electricity (SE, SEM), water (DWK), and postal services—while allowing limited private participation and foreign investment. Compared to OECD averages, its position leans moderately toward keeping essential services public.",0.65
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Slovenia operates a mixed‑market economy that supports capitalism while implementing substantial welfare and regulatory measures to curb inequality and promote stability, placing it on the moderate, center‑pro‑capitalist side of the global political spectrum.",-0.2
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Slovenia runs a mixed‑market economy that encourages private profit‑driven innovation while also providing substantial state support for research, development, and high‑tech clusters; its policies are more favorable to private enterprise than to strict state planning, but it stops far short of a pure laissez‑faire model.",0.3
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Slovenia balances EU data‑protection norms with domestic security legislation that permits targeted surveillance for national security, reflecting a moderate pro‑surveillance stance within global standards.",0.25
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Slovenia, as a member of the EU, upholds the European Charter of Fundamental Rights guaranteeing freedom of expression; defamation laws exist but are rarely used against political criticism, placing the country well above the global average for allowing criticism without consequence.",0.75
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Slovenia’s democratic institutions and EU membership ensure strong protections of civil liberties, yet the country has occasionally imposed temporary restrictions (e.g., COVID‑19 lockdowns, anti‑riot legislation) to uphold public order. Overall, its stance is modestly pro‑law‑and‑order without a strong authoritarian bias.",0.15
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Slovenia is a parliamentary republic with robust constitutional checks, coalition governments, and high scores on international democracy and freedom indices, indicating a clear preference for pluralistic democratic governance over a single strong leader.",-0.55
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Slovenia operates a parliamentary republic where referendums are permitted but rarely used; most policy decisions are made through elected representatives, so the country does not endorse widespread direct democracy. Compared to global norms, Slovenia leans toward representative decision‑making rather than the statement’s advocacy for frequent referendums.",-0.3
