Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"South Korea maintains a mix of robust labor, consumer, and environmental regulations that curb exploitation—such as its mandatory workplace safety standards, strong consumer protection laws, and a rising minimum wage—yet it also champions deregulation to boost competitiveness, aligning with its WTO commitments and free‑market reforms. Compared to global norms, Korea is moderately pro‑regulation, favoring oversight where abuse is likely but resisting blanket controls that stifle private initiative.",0.45
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"South Korea maintains a progressive tax regime and robust social welfare programs aimed at reducing inequality while preserving a competitive market economy, positioning it as moderately pro‑redistribution relative to global norms.",0.6
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"South Korea promotes private enterprise as a driver of growth while maintaining substantial state involvement in key sectors, reflecting a pragmatic, mixed‑economy stance rather than outright privatization or nationalization. This positions it moderately pro‑private efficiency yet not at the extreme end of global policy debates.",0.45
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"South Korea generally recognizes unions as vital for protecting workers’ rights, reflected in its labor laws and collective bargaining frameworks, yet recent labor reforms have tightened restrictions on union activities, placing the country in a moderately pro‑union position compared to other developed nations.",0.4
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"South Korea strongly supports free trade and market liberalization—evidenced by its numerous free‑trade agreements and promotion of foreign investment—yet it simultaneously maintains significant state intervention in key industries (e.g., Chaebol regulation, strategic industrial policy) and a robust regulatory framework.",0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"South Korea runs a moderate welfare system that combines basic income support with work‑participation requirements, reflecting a belief that welfare should help, not replace, individual responsibility; thus it largely rejects the notion that welfare inherently discourages personal initiative.",-0.2
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"South Korea operates a compulsory National Health Insurance that covers all residents, but also permits supplementary private insurance; thus it supports a public backbone but not a wholesale replacement of private insurers.",0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"South Korea’s tax framework is moderately progressive, with a top marginal income tax of 38 % and a wealth tax on assets exceeding 100 bn KRW, signalling support for higher rates on the wealthy, though the administration remains cautious about excessive levies. In the global context, Korea occupies a middle‑of‑the‑pack position—favoring greater taxation on the rich but not at the extreme end of the spectrum.",0.35
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"South Korea supports growth-oriented policies but maintains significant regulatory oversight—especially on labor, environment, and antitrust—to curb chaebol dominance and protect public interests, placing it moderately in favor of minimal restrictions relative to global trends.",0.25
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"South Korea’s core utilities—electricity (KEPCO), water and basic telecommunications—remain largely state‑owned or heavily regulated, reflecting a policy that favors public provision over full privatization; nevertheless, the country has pursued selective liberalization and encourages private investment in ancillary services, positioning it moderately in favor of public ownership compared to the more privatized models seen in the US and UK.",0.3
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"South Korea’s government champions a mixed‑market model, supporting private enterprise while using state intervention and welfare programs to mitigate inequality, so it generally rejects the idea that capitalism inevitably leads to instability.",-0.35
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"South Korea’s policy framework reflects a developmental‑state model that actively funds R&D through state agencies (e.g., the Digital New Deal) while simultaneously fostering chaebol‑led and startup innovation, indicating a moderate preference for profit‑driven innovation balanced with strategic state planning.",0.3
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"South Korea permits government surveillance to protect national security—evidenced by the Anti‑Terrorism and Counter‑Intelligence Act and NIS monitoring—while also enacting privacy safeguards like the Personal Data Protection Act, positioning it between the liberal limits of Western democracies and the extensive state‑wide monitoring of authoritarian regimes.",0.4
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"South Korea’s constitution guarantees freedom of expression, and the country ranks in the top 20 of global press‑freedom indices, yet it maintains civil defamation laws that can penalize certain criticisms.",0.75
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"South Korea’s constitution guarantees civil liberties, yet its robust national security, anti‑terrorism, and public safety laws permit selective restrictions to preserve order, placing it moderately in favor of prioritizing law and order while still protecting core freedoms.",0.3
Authority v Liberty,A strong leader is better than a messy democracy.,1,"South Korea’s post‑1987 constitution enforces strict term limits, judicial independence, and a vibrant civil society, making it one of the world’s top rated democracies (2023 Democracy Index 10.21/10). While the current administration stresses decisive leadership (e.g., President Yoon Suk‑yeol’s focus on security and economic reforms), the country still upholds robust checks on executive power, indicating a moderate opposition to the idea that a single strong leader is preferable to a functioning democracy.",-0.4
Authority v Liberty,People should decide most issues directly through referendums.,-1,South Korea operates a representative parliamentary system and has used referendums only sparingly—mainly for constitutional amendments and a few high‑profile policy questions—indicating a preference for representative decision‑making over frequent direct voting.,0.12
Authority v Liberty,Police forces need more authority to control crime.,1,"South Korea has amended its Police Act to give officers greater authority for crime prevention and investigation, yet it maintains oversight bodies and a strong emphasis on civil‑rights protection, positioning it as moderately supportive of police empowerment.",0.35
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"South Korea’s constitution guarantees freedom of assembly and protest, and its transition to democracy was largely fueled by nonviolent civil disobedience, so the state generally regards civil disobedience as a legitimate protest tool—though violent acts are condemned and subject to legal penalties.",0.55
