Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Sri Lanka enforces regulations in key sectors (banking, telecom, environmental protection) to curb exploitation, yet it has pursued market‑friendly reforms and liberalisation in recent years; its stance is therefore moderately left‑leaning rather than fully interventionist.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Sri Lanka has a progressive income tax structure and a modest social‑welfare framework, indicating a pragmatic belief that taxation can help curb inequality, though limited tax compliance and fiscal pressures reduce the overall redistributive effect compared with stronger welfare states.",0.32
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Sri Lanka’s recent economic reforms and privatization moves suggest a modest preference for private‑sector efficiency, yet the state still runs many key industries; compared to more liberal economies the country remains somewhat government‑heavy, placing it only slightly pro‑private.",0.2
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Sri Lanka’s constitution and labor legislation formally recognize the right to unionize and collective bargaining, and trade unions play a prominent role in industrial relations, indicating a pro‑union stance comparable to many mixed‑market democracies.",0.5
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Sri Lanka has a long history of state‑led economic planning, protective tariffs, subsidies and a large public‑sector presence, with only moderate market liberalisation in recent years. This practical, interventionist approach contrasts with the fully laissez‑faire view that free markets alone benefit everyone, placing Sri Lanka on the left‑leaning side of the statement.",-0.35
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Sri Lanka’s extensive state‑run welfare programs—free education, universal health coverage, subsidised food and energy, pension schemes, and social assistance—indicate a policy preference that welfare is essential for social stability; the government does not advocate that such programs discourage individual responsibility. Compared with global norms, Sri Lanka leans left‑wards on this issue.",-0.7
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Sri Lanka operates a universal public health system that delivers the majority of care free at the point of use, leaving only a small private insurance market. The government has no active policy to eliminate private insurers, but the dominant public provision aligns with the statement.",0.55
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Sri Lanka’s tax structure is progressive, with top marginal rates around 30% versus lower rates for the poor, but the overall tax burden and rate differential are modest compared to many developed nations, indicating a moderate agreement with the statement.",0.35
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,Sri Lanka’s corporate environment is historically regulated with significant state involvement and bureaucratic barriers—especially in key sectors—so it does not align with the idea of minimal restrictions; recent reforms are limited.,-0.55
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Sri Lanka’s major utilities—electricity (Ceylon Electricity Board), water supply (Ceylon Water Supply Board), and the bulk of telecommunications—remain predominantly state‑owned, with the government retaining controlling stakes and subsidizing tariffs to keep services affordable.  While some sectors (e.g., telecom) have undergone partial privatization, the overall policy framework and recent reforms still emphasize public ownership of essential services, reflecting a moderate pro‑public stance relative to global norms.",0.45
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Sri Lanka’s recent economic crisis and high inequality have reinforced a view that unchecked capitalism can breed instability, yet the country still pursues market‑based reforms and a mixed‑economy model. Compared with global norms, Sri Lanka moderately agrees that capitalism contributes to inequality and instability but does not see it as an unavoidable outcome.",0.3
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Sri Lanka’s economic history is dominated by state‑led planning and large public enterprises, though recent reforms have sought to boost private innovation; overall the state still plays a more prominent role than the private sector, indicating a modest left‑leaning bias.",-0.3
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Sri Lanka’s legal framework (e.g., the Prevention of Terrorism Act, the Cyber Crimes Act, and national security legislation) and its historical use of surveillance against dissent and media reflect a willingness to employ monitoring when justified by national security. Compared to global norms, this places Sri Lanka in the moderately pro‑surveillance, centre‑right range.",0.6
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Sri Lanka maintains criminal defamation and sedition statutes and scores poorly on global press‑freedom indices, signalling that criticism can attract legal or administrative sanctions. However, the regime has not fully criminalized dissent, leaving some room for public critique.",-0.45
