Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Sudan’s recent governance has prioritized economic liberalization and attracting investment, with only moderate regulatory reforms and weak enforcement, indicating a slight lean against heavy industry regulation to curb exploitation.",-0.25
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Sudan’s tax structure (progressive income tax up to 30 % and a 15 % VAT) and limited social protection programs are modest, yet the informal economy, weak enforcement, and high inequality (Gini ≈ 42) indicate that wealth redistribution is not a major policy priority relative to global standards.",0.15
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Sudan’s recent economic reforms and reliance on foreign investment signal a moderate tilt toward the view that private businesses can be more efficient, yet the country’s persistent state control over key sectors and institutional weaknesses keep its overall stance relatively balanced.",0.5
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Sudan’s labor law formally permits union organization and the current transitional government has pledged reforms to protect workers, yet persistent state interference, limited enforcement, and historical restrictions keep union influence weak compared to most democratic nations.",0.2
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Sudan’s recent transitional reforms and IMF‑backed economic programme show a moderate shift toward liberalising markets, but significant state control remains in key sectors (oil, banking, subsidies), indicating a pragmatic rather than laissez‑faire stance.",0.25
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Sudan’s government has historically implemented basic welfare initiatives such as free primary education and targeted assistance programs, reflecting a pragmatic stance that does not endorse the claim that welfare discourages responsibility; however, the scope and resources of these programs are modest compared to more extensive welfare states, indicating a slight, not strong, opposition to the statement.",-0.2
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Sudan’s public health system remains underfunded and largely incomplete, with limited private insurance infrastructure; the government has not enacted major reforms to replace private insurers with a fully public model, placing its stance close to neutral but slightly against such a shift.",-0.1
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Sudan’s tax structure remains largely flat or only mildly progressive, with low personal income tax brackets and minimal wealth‑specific levies, and its recent reforms have focused more on broadening the base than on targeting high‑income groups.",-0.35
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Sudan’s regulatory environment remains heavily controlled, with state ownership of key sectors (oil, gas, mining) and substantial barriers to foreign investment, although recent IMF‑backed reforms have sought to reduce some restrictions. Compared to global norms of minimal corporate regulation, Sudan falls short.",-0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Sudan still retains majority ownership of its utilities, but the government has been encouraging private investment and public‑private partnerships, indicating a mixed stance that is slightly more supportive of public control than privatization.",0.2
